0,1,2,5,6
X,ZMH,ZION,SHW,YHOO
WPX,YUM,XYL,ORLY,WYN
WIN,XLNX,XRX,NFLX,WPI
URBN,WHR,XRAY,MA,WMB
SWN,WFM,XOM,ISRG,VLO
SPLS,WDC,XL,HUM,UNH
RRC,WAT,XEL,GWW,TXT
RDC,VRSN,WYNN,CMG,TSS
QEP,VFC,WY,AZO,TSO
OXY,VAR,WU,AMZN,TRIP
OI,V,WMT,,THC
NWSA,UNP,WM,,STZ
NTAP,TYC,WFC,,STX
NRG,TXN,WEC,,SLM
NFX,TWX,VZ,,SEE
NEM,TWC,VTR,,SBUX
NE,TMO,VNO,,ROST
NBR,TMK,VMC,,RHT
MOS,TJX,VIAB,,RAI
JOY,TIF,UTX,,PSX
JCP,TEL,USB,,PLL
HPQ,SWK,UPS,,PHM
HCBK,STT,UNM,,PCS
GNW,STJ,TSN,,PCLN
FTR,SRE,TRV,,NWL
FSLR,SRCL,TROW,,NI
FE,SPG,TGT,,MYL
FCX,SNA,TER,,MU
EXC,SJM,TEG,,MPC
ETR,SIAL,TE,,MO
ESV,ROP,TDC,,MNST
DVN,ROK,TAP,,MCO
DO,RL,T,,MAS
DNR,PXD,SYY,,M
COH,PX,SYMC,,LYB
CNX,PSA,SYK,,LUV
CLF,PRGO,STI,,LTD
CHK,PPG,SO,,LNC
BTU,PM,SNI,,LEN
AVP,PH,SNDK,,KRFT
ATI,PFG,SLB,,KR
APOL,PETM,SE,,KMX
APA,PCP,SCHW,,IPG
ANF,OKE,SCG,,IP
AMD,NOC,S,,HD
ADT,NKE,RTN,,HAR
,NEE,RSG,,GT
,NDAQ,RRD,,GILD
,MSI,RHI,,EXPE
,MON,RF,,ETFC
,MMM,R,,EMN
,MMC,QCOM,,EBAY
,MKC,PWR,,EA
,MCK,PRU,,DLTR
,MAR,PPL,,DIS
,LOW,POM,,DHI
,LO,PNW,,DFS
,LMT,PNR,,CTAS
,LLY,PNC,,CRM
,LLL,PLD,,COG
,LEG,PKI,,CMCSA
,KMB,PGR,,CF
,KLAC,PG,,CELG
,JWN,PFE,,CBS
,ITW,PEP,,CBG
,IR,PEG,,BSX
,INTU,PDCO,,BIIB
,IFF,PCL,,AN
,ICE,PCG,,ALXN
,IBM,PCAR,,AGN
,HSY,PBI,,AET
,HRL,PBCT,,ABC
,HON,PAYX,,AAPL
,GS,ORCL,,
,GD,OMC,,
,FOSL,NVDA,,
,FMC,NUE,,
,FLS,NTRS,,
,FISV,NSC,,
,FIS,NOV,,
,FDX,NBL,,
,EW,MWV,,
,EL,MUR,,
,EFX,MTB,,
,ECL,MSFT,,
,DVA,MS,,
,DTV,MRO,,
,CVS,MRK,,
,CTSH,MJN,,
,COST,MET,,
,CL,MDT,,
,CI,MDLZ,,
,CERN,MCHP,,
,CCE,MCD,,
,CB,MAT,,
,CAH,LUK,,
,BXP,LRCX,,
,BWA,LM,,
,BMY,LLTC,,
,BLL,LH,,
,BEN,L,,
,BDX,KSS,,
,BCR,KO,,
,AVB,KMI,,
,ARG,KIM,,
,APH,KEY,,
,APD,K,,
,AON,JPM,,
,AMP,JNPR,,
,AMGN,JNJ,,
,ALTR,JEC,,
,ALL,JDSU,,
,AIZ,JCI,,
,ADSK,JBL,,
,ADP,IVZ,,
,ADI,IRM,,
,ADBE,INTC,,
,ACN,IGT,,
,ACE,HST,,
,,HSP,,
,,HRS,,
,,HRB,,
,,HP,,
,,HOT,,
,,HOG,,
,,HIG,,
,,HES,,
,,HCP,,
,,HCN,,
,,HBAN,,
,,HAS,,
,,HAL,,
,,GPS,,
,,GPC,,
,,GME,,
,,GLW,,
,,GIS,,
,,GE,,
,,GAS,,
,,FTI,,
,,FLR,,
,,FLIR,,
,,FITB,,
,,FII,,
,,FHN,,
,,FFIV,,
,,FDO,,
,,FAST,,
,,F,,
,,EXPD,,
,,ETN,,
,,ESRX,,
,,EQT,,
,,EQR,,
,,EOG,,
,,EMR,,
,,EMC,,
,,EIX,,
,,ED,,
,,DUK,,
,,DTE,,
,,DRI,,
,,DPS,,
,,DOW,,
,,DOV,,
,,DNB,,
,,DISCA,,
,,DHR,,
,,DGX,,
,,DG,,
,,DF,,
,,DE,,
,,DD,,
,,D,,
,,CVX,,
,,CVH,,
,,CVC,,
,,CTXS,,
,,CTL,,
,,CSX,,
,,CSCO,,
,,CSC,,
,,CPB,,
,,COP,,
,,COL,,
,,COF,,
,,CNP,,
,,CMS,,
,,CMI,,
,,CME,,
,,CMA,,
,,CLX,,
,,CINF,,
,,CHRW,,
,,CFN,,
,,CCL,,
,,CCI,,
,,CAT,,
,,CAM,,
,,CAG,,
,,CA,,
,,C,,
,,BRCM,,
,,BMS,,
,,BLK,,
,,BK,,
,,BIG,,
,,BHI,,
,,BBY,,
,,BBT,,
,,BBBY,,
,,BAX,,
,,BAC,,
,,BA,,
,,AXP,,
,,AVY,,
,,APC,,
,,AMT,,
,,AMAT,,
,,AKAM,,
,,AIV,,
,,AIG,,
,,AFL,,
,,AES,,
,,AEP,,
,,AEE,,
,,ADM,,
,,ABT,,
,,AA,,
,,A,,
