0,1,2
ZMH,X,WYN
ZION,WPX,WMB
YUM,WIN,WDC
YHOO,URBN,VRSN
XYL,TE,VLO
XRX,SYY,VFC
XRAY,SWN,V
XOM,SPLS,UNP
XLNX,RRC,UNH
XL,RDC,TWX
XEL,QEP,TWC
WYNN,PPL,TSO
WY,PBCT,TRIP
WU,OXY,TMO
WPI,OI,TMK
WMT,NWSA,TJX
WM,NUE,TEL
WHR,NTAP,STZ
WFM,NRG,STX
WFC,NFX,SPG
WEC,NEM,SNA
WAT,NE,SIAL
VZ,NBR,SHW
VTR,MUR,SBUX
VNO,MOS,ROST
VMC,LUK,ROP
VIAB,L,ROK
VAR,KMI,RAI
UTX,JOY,PXD
USB,JEC,PSX
UPS,JCP,PSA
UNM,IGT,PRGO
TYC,HPQ,PPG
TXT,HES,PLL
TXN,HCBK,PCS
TSS,GNW,PCP
TSN,GLW,ORLY
TRV,FTR,NOC
TROW,FSLR,NKE
TIF,FLIR,NI
THC,FE,NFLX
TGT,FCX,MYL
TER,EXC,MPC
TEG,ETR,MNST
TDC,ESV,MMM
TAP,DVN,MMC
T,DO,MCO
SYMC,DNR,MCK
SYK,CTL,MA
SWK,COH,M
STT,CNX,LYB
STJ,CLF,LOW
STI,CHK,LO
SRE,BTU,LMT
SRCL,BBY,KRFT
SO,BAC,KR
SNI,AVP,KMX
SNDK,ATI,KLAC
SLM,APOL,ISRG
SLB,APA,INTU
SJM,ANF,ICE
SEE,AMD,IBM
SE,ADT,HUM
SCHW,AAPL,HD
SCG,AA,HAR
S,,GWW
RTN,,GILD
RSG,,GD
RRD,,FOSL
RL,,FISV
RHT,,EXPE
RHI,,EW
RF,,EL
R,,EFX
QCOM,,ECL
PX,,EA
PWR,,DLTR
PRU,,DIS
POM,,DFS
PNW,,CVS
PNR,,CTAS
PNC,,CRM
PM,,COST
PLD,,COG
PKI,,CMG
PHM,,CI
PH,,CF
PGR,,CERN
PG,,CELG
PFG,,CBS
PFE,,BWA
PETM,,BMY
PEP,,BLL
PEG,,BIIB
PDCO,,BCR
PCLN,,AZO
PCL,,APH
PCG,,AON
PCAR,,AMZN
PBI,,AMP
PAYX,,AMGN
ORCL,,ALXN
OMC,,AGN
OKE,,AET
NWL,,ADBE
NVDA,,ACN
NTRS,,ABC
NSC,,
NOV,,
NEE,,
NDAQ,,
NBL,,
MWV,,
MU,,
MTB,,
MSI,,
MSFT,,
MS,,
MRO,,
MRK,,
MON,,
MO,,
MKC,,
MJN,,
MET,,
MDT,,
MDLZ,,
MCHP,,
MCD,,
MAT,,
MAS,,
MAR,,
LUV,,
LTD,,
LRCX,,
LNC,,
LM,,
LLY,,
LLTC,,
LLL,,
LH,,
LEN,,
LEG,,
KSS,,
KO,,
KMB,,
KIM,,
KEY,,
K,,
JWN,,
JPM,,
JNPR,,
JNJ,,
JDSU,,
JCI,,
JBL,,
IVZ,,
ITW,,
IRM,,
IR,,
IPG,,
IP,,
INTC,,
IFF,,
HSY,,
HST,,
HSP,,
HRS,,
HRL,,
HRB,,
HP,,
HOT,,
HON,,
HOG,,
HIG,,
HCP,,
HCN,,
HBAN,,
HAS,,
HAL,,
GT,,
GS,,
GPS,,
GPC,,
GME,,
GIS,,
GE,,
GAS,,
FTI,,
FMC,,
FLS,,
FLR,,
FITB,,
FIS,,
FII,,
FHN,,
FFIV,,
FDX,,
FDO,,
FAST,,
F,,
EXPD,,
ETN,,
ETFC,,
ESRX,,
EQT,,
EQR,,
EOG,,
EMR,,
EMN,,
EMC,,
EIX,,
ED,,
EBAY,,
DVA,,
DUK,,
DTV,,
DTE,,
DRI,,
DPS,,
DOW,,
DOV,,
DNB,,
DISCA,,
DHR,,
DHI,,
DGX,,
DG,,
DF,,
DE,,
DD,,
D,,
CVX,,
CVH,,
CVC,,
CTXS,,
CTSH,,
CSX,,
CSCO,,
CSC,,
CPB,,
COP,,
COL,,
COF,,
CNP,,
CMS,,
CMI,,
CME,,
CMCSA,,
CMA,,
CLX,,
CL,,
CINF,,
CHRW,,
CFN,,
CCL,,
CCI,,
CCE,,
CBG,,
CB,,
CAT,,
CAM,,
CAH,,
CAG,,
CA,,
C,,
BXP,,
BSX,,
BRCM,,
BMS,,
BLK,,
BK,,
BIG,,
BHI,,
BEN,,
BDX,,
BBT,,
BBBY,,
BAX,,
BA,,
AXP,,
AVY,,
AVB,,
ARG,,
APD,,
APC,,
AN,,
AMT,,
AMAT,,
ALTR,,
ALL,,
AKAM,,
AIZ,,
AIV,,
AIG,,
AFL,,
AES,,
AEP,,
AEE,,
ADSK,,
ADP,,
ADM,,
ADI,,
ACE,,
ABT,,
A,,
