"","AAPL.Open","AAPL.High","AAPL.Low","AAPL.Close","AAPL.Volume","AAPL.Adjusted"
"1",244.83997,250.98003,242.199989,250.509979,194089000,33.616038
"2",248.230007,253.859962,247.369987,253.509968,136439800,34.018608
"3",255.959957,259.150017,254.009979,254.279972,150740100,34.121935
"4",255.640003,259.850006,255.5,259.690002,146268500,34.847909
"5",261.099995,267.75,260.630024,267.249989,195919500,35.862387
"6",270.599972,272.899971,269.5,271.869987,218213800,36.482346
"7",272.250023,274.999966,271.420017,274.070011,196155400,36.777568
"8",277.689987,279.009991,268.729996,270.169975,194122600,36.254221
"9",272.160007,275.970028,271.499966,273.850006,179315500,36.748046
"10",274.579983,274.659985,267.900017,270.969994,192114300,36.361576
"11",271.000034,273.199978,268.099995,268.999989,178569300,36.09722
"12",270.060013,270.270004,265.810009,266.699989,137485600,35.788582
"13",266.930008,269.749966,264.519993,268.299999,146237000,36.003288
"14",264.12001,264.390003,254.299999,256.169975,283336200,34.375555
"15",256.710014,257.970016,250.009968,251.530029,184863000,33.752919
"16",254.299999,254.800011,243.219959,248.479973,255724000,33.343631
"17",250.490032,250.929989,243.200012,246.939991,173460700,33.13698
"18",250.999977,252.800018,246.159973,248.62999,153808900,33.363761
"19",250.490032,258.769981,249.749989,258.670033,163639000,34.711039
"20",262.479973,262.899982,254.890026,258.089993,184536100,34.633203
"21",256.889992,259.899994,255.160019,259.619987,108330600,34.838514
"22",258.530029,261.849972,254.859985,257.289974,140719600,34.525848
"23",256.319992,256.399994,246.430019,251.800022,297731000,33.789149
"24",249.379967,255.800007,249.000011,252.73003,203011900,33.913948
"25",248.230007,256.969994,247.299999,251.450001,206216500,33.74218
"26",253.18,254.970028,248.409985,249.900005,259964600,33.534185
"27",249.879978,249.879978,239.599983,245.580013,256119500,32.954484
"28",242.900005,252.899994,240.009979,251.890038,268737700,33.801229
"29",265.089993,265.149994,253.999966,254.239998,296417800,34.116571
"30",257.680023,260.000023,255.310009,259.020027,161329700,34.758005
"31",257.08997,260.379978,256.280018,259.940022,133347200,34.881459
"32",260.000023,260.099972,257.709957,259.280006,105137900,34.792892
"33",260.869976,264.799999,260.299976,264.079983,146192900,35.437002
"34",263.669987,265.989986,260.249989,260.959991,129996300,35.018329
"35",260.710026,262.650017,256.09996,258.11002,160951700,34.635891
"36",255.889969,259.699989,254.90004,257.25,112052500,34.520484
"37",260.43998,262.590015,259.619987,261.849972,107013900,35.137756
"38",261.009979,263.259991,259.42001,261.93,104413400,35.148495
"39",262.839981,264.280041,260.30999,262.979984,105093800,35.289393
"40",261.729996,263.179989,260.550022,261.699982,72274300,35.117629
"41",259.780018,261.489964,257.630035,260.089958,111224400,34.901579
