0,1
ZMH,ZION
YUM,XYL
YHOO,XRX
XLNX,XRAY
XL,XOM
WYN,XEL
WY,X
WPI,WYNN
WMB,WU
WHR,WPX
WFM,WMT
WFC,WM
WDC,WIN
WAT,WEC
VRSN,VZ
VMC,VTR
VLO,VNO
VIAB,UTX
VFC,USB
VAR,URBN
V,UPS
UNP,UNM
UNH,TROW
TYC,TGT
TXT,TEG
TXN,TE
TWX,TDC
TWC,TAP
TSS,T
TSO,SYY
TSN,SYMC
TRV,SWN
TRIP,STI
TMO,SPLS
TMK,SO
TJX,SNI
TIF,SNDK
THC,SLB
TER,SE
TEL,SCG
SYK,S
SWK,RSG
STZ,RRD
STX,RRC
STT,RF
STJ,RDC
SRE,QEP
SRCL,PWR
SPG,PPL
SNA,POM
SLM,PNW
SJM,PNC
SIAL,PLD
SHW,PGR
SEE,PG
SCHW,PEP
SBUX,PEG
RTN,PDCO
ROST,PCLN
ROP,PCL
ROK,PCG
RL,PCAR
RHT,PBI
RHI,PBCT
RAI,PAYX
R,OXY
QCOM,OMC
PXD,OI
PX,NWSA
PSX,NUE
PSA,NTRS
PRU,NTAP
PRGO,NRG
PPG,NOV
PNR,NFX
PM,NEM
PLL,NE
PKI,NBR
PHM,NBL
PH,MUR
PFG,MS
PFE,MRO
PETM,MRK
PCS,MOS
PCP,MJN
ORLY,MET
ORCL,MCHP
OKE,MCD
NWL,MAT
NVDA,LUK
NSC,LM
NOC,LLTC
NKE,LH
NI,L
NFLX,KSS
NEE,KO
NDAQ,KMI
MYL,KIM
MWV,KEY
MU,K
MTB,JPM
MSI,JOY
MSFT,JNPR
MPC,JNJ
MON,JEC
MO,JDSU
MNST,JCP
MMM,IRM
MMC,INTC
MKC,IGT
MDT,HST
MDLZ,HSP
MCO,HRS
MCK,HPQ
MAS,HOT
MAR,HIG
MA,HES
M,HCP
LYB,HCN
LUV,HCBK
LTD,HBAN
LRCX,HAS
LOW,HAL
LO,GPS
LNC,GNW
LMT,GLW
LLY,GIS
LLL,GE
LEN,GAS
LEG,FTR
KRFT,FTI
KR,FSLR
KMX,FLR
KMB,FLIR
KLAC,FITB
JWN,FII
JCI,FHN
JBL,FFIV
IVZ,FE
ITW,FCX
ISRG,FAST
IR,F
IPG,EXPD
IP,EXC
INTU,ETR
IFF,ESV
ICE,ESRX
IBM,EQR
HUM,EOG
HSY,EMR
HRL,EMC
HRB,EIX
HP,ED
HON,DVN
HOG,DUK
HD,DTE
HAR,DRI
GWW,DO
GT,DNR
GS,DISCA
GPC,DGX
GME,DE
GILD,D
GD,CVX
FOSL,CVH
FMC,CVC
FLS,CTXS
FISV,CTL
FIS,CSCO
FDX,CSC
FDO,CPB
EXPE,COP
EW,COL
ETN,COH
ETFC,CNX
EQT,CNP
EMN,CMI
EL,CME
EFX,CMA
ECL,CLF
EBAY,CHRW
EA,CHK
DVA,CCL
DTV,CAT
DPS,CAM
DOW,CAG
DOV,CA
DNB,C
DLTR,BTU
DIS,BRCM
DHR,BMS
DHI,BLK
DG,BK
DFS,BIG
DF,BHI
DD,BBY
CVS,BBT
CTSH,BBBY
CTAS,BAX
CSX,BAC
CRM,AVP
COST,ATI
COG,APOL
COF,APA
CMS,ANF
CMG,AMD
CMCSA,AMAT
CLX,AIV
CL,AFL
CINF,AES
CI,AEP
CFN,AEE
CF,ADT
CERN,AAPL
CELG,AA
CCI,
CCE,
CBS,
CBG,
CB,
CAH,
BXP,
BWA,
BSX,
BMY,
BLL,
BIIB,
BEN,
BDX,
BCR,
BA,
AZO,
AXP,
AVY,
AVB,
ARG,
APH,
APD,
APC,
AON,
AN,
AMZN,
AMT,
AMP,
AMGN,
ALXN,
ALTR,
ALL,
AKAM,
AIZ,
AIG,
AGN,
AET,
ADSK,
ADP,
ADM,
ADI,
ADBE,
ACN,
ACE,
ABT,
ABC,
A,
