0,1,2,3
X,YHOO,ZMH,SHW
WPX,WYN,ZION,PPG
WIN,WPI,YUM,PCP
URBN,WMB,XYL,ORLY
SWN,WHR,XRX,NFLX
SPLS,WDC,XRAY,MA
RRC,VRSN,XOM,ISRG
RDC,VLO,XLNX,IBM
QEP,VFC,XL,HUM
OXY,V,XEL,GWW
OI,UNP,WYNN,CMG
NWSA,UNH,WY,BCR
NTAP,TXT,WU,AZO
NRG,TXN,WMT,AMZN
NFX,TWX,WM,
NEM,TWC,WFM,
NE,TSS,WFC,
NBR,TSO,WEC,
MOS,TRIP,WAT,
L,TMO,VZ,
JOY,TMK,VTR,
JEC,TJX,VNO,
JCP,TIF,VMC,
HPQ,THC,VIAB,
HCBK,TEL,VAR,
GNW,STZ,UTX,
FTR,STX,USB,
FSLR,STT,UPS,
FE,SRE,UNM,
FCX,SPG,TYC,
EXC,SNA,TSN,
ETR,SLM,TRV,
ESV,SIAL,TROW,
DVN,SEE,TGT,
DO,SBUX,TER,
DNR,ROST,TEG,
CTL,ROP,TE,
COH,ROK,TDC,
CNX,RHT,TAP,
CLF,RHI,T,
CHK,RAI,SYY,
BTU,PXD,SYMC,
BBY,PSX,SYK,
AVP,PSA,SWK,
ATI,PRGO,STJ,
APOL,PLL,STI,
APA,PETM,SRCL,
ANF,PCS,SO,
AMD,PCLN,SNI,
ADT,OKE,SNDK,
AAPL,NWL,SLB,
AA,NOC,SJM,
,NKE,SE,
,NI,SCHW,
,NDAQ,SCG,
,MYL,S,
,MU,RTN,
,MPC,RSG,
,MON,RRD,
,MO,RL,
,MNST,RF,
,MMM,R,
,MMC,QCOM,
,MCO,PX,
,MCK,PWR,
,MAS,PRU,
,MAR,PPL,
,M,POM,
,LYB,PNW,
,LUV,PNR,
,LTD,PNC,
,LOW,PM,
,LO,PLD,
,LNC,PKI,
,LMT,PHM,
,LLY,PH,
,LEN,PGR,
,LEG,PG,
,KRFT,PFG,
,KR,PFE,
,KMX,PEP,
,KLAC,PEG,
,IR,PDCO,
,IPG,PCL,
,IP,PCG,
,INTU,PCAR,
,IFF,PBI,
,ICE,PBCT,
,HRL,PAYX,
,HON,ORCL,
,HD,OMC,
,HAR,NVDA,
,GT,NUE,
,GILD,NTRS,
,GD,NSC,
,FOSL,NOV,
,FISV,NEE,
,EXPE,NBL,
,EW,MWV,
,ETFC,MUR,
,EMN,MTB,
,EL,MSI,
,EFX,MSFT,
,ECL,MS,
,EBAY,MRO,
,EA,MRK,
,DLTR,MKC,
,DIS,MJN,
,DHI,MET,
,DFS,MDT,
,CVS,MDLZ,
,CTSH,MCHP,
,CTAS,MCD,
,CRM,MAT,
,COST,LUK,
,COG,LRCX,
,CMCSA,LM,
,CI,LLTC,
,CF,LLL,
,CERN,LH,
,CELG,KSS,
,CCE,KO,
,CBS,KMI,
,CBG,KMB,
,CAH,KIM,
,BWA,KEY,
,BSX,K,
,BMY,JWN,
,BLL,JPM,
,BIIB,JNPR,
,APH,JNJ,
,AON,JDSU,
,AN,JCI,
,AMP,JBL,
,AMGN,IVZ,
,ALXN,ITW,
,ALTR,IRM,
,AGN,INTC,
,AET,IGT,
,ADI,HSY,
,ADBE,HST,
,ACN,HSP,
,ABC,HRS,
,,HRB,
,,HP,
,,HOT,
,,HOG,
,,HIG,
,,HES,
,,HCP,
,,HCN,
,,HBAN,
,,HAS,
,,HAL,
,,GS,
,,GPS,
,,GPC,
,,GME,
,,GLW,
,,GIS,
,,GE,
,,GAS,
,,FTI,
,,FMC,
,,FLS,
,,FLR,
,,FLIR,
,,FITB,
,,FIS,
,,FII,
,,FHN,
,,FFIV,
,,FDX,
,,FDO,
,,FAST,
,,F,
,,EXPD,
,,ETN,
,,ESRX,
,,EQT,
,,EQR,
,,EOG,
,,EMR,
,,EMC,
,,EIX,
,,ED,
,,DVA,
,,DUK,
,,DTV,
,,DTE,
,,DRI,
,,DPS,
,,DOW,
,,DOV,
,,DNB,
,,DISCA,
,,DHR,
,,DGX,
,,DG,
,,DF,
,,DE,
,,DD,
,,D,
,,CVX,
,,CVH,
,,CVC,
,,CTXS,
,,CSX,
,,CSCO,
,,CSC,
,,CPB,
,,COP,
,,COL,
,,COF,
,,CNP,
,,CMS,
,,CMI,
,,CME,
,,CMA,
,,CLX,
,,CL,
,,CINF,
,,CHRW,
,,CFN,
,,CCL,
,,CCI,
,,CB,
,,CAT,
,,CAM,
,,CAG,
,,CA,
,,C,
,,BXP,
,,BRCM,
,,BMS,
,,BLK,
,,BK,
,,BIG,
,,BHI,
,,BEN,
,,BDX,
,,BBT,
,,BBBY,
,,BAX,
,,BAC,
,,BA,
,,AXP,
,,AVY,
,,AVB,
,,ARG,
,,APD,
,,APC,
,,AMT,
,,AMAT,
,,ALL,
,,AKAM,
,,AIZ,
,,AIV,
,,AIG,
,,AFL,
,,AES,
,,AEP,
,,AEE,
,,ADSK,
,,ADP,
,,ADM,
,,ACE,
,,ABT,
,,A,
