"","AEP.Open","AEP.High","AEP.Low","AEP.Close","AEP.Volume","AEP.Adjusted"
"1",53.48,53.790001,53.27,53.459999,2508500,51.52615
"2",53.400002,53.48,52.5,52.529999,2741500,50.629791
"3",52.459999,52.759998,51.599998,52.59,2368900,50.687622
"4",52.52,52.939999,52.169998,52.779999,1610100,50.870748
"5",52.740002,53.709999,52.720001,53.09,2415300,51.169535
"6",52.82,52.990002,52.290001,52.810001,1821300,50.899665
"7",52.919998,54.139999,52.849998,54.119999,3582800,52.162275
"8",54.259998,54.990002,54.150002,54.900002,3078400,52.914062
"9",54.900002,54.950001,54.439999,54.48,2506500,52.509253
"10",54.529999,54.57,54.07,54.450001,1794000,52.480339
"11",54.25,54.82,54.25,54.650002,1959900,52.673105
"12",54.540001,55.240002,54.450001,55.119999,2183700,53.126101
"13",55.130001,55.130001,54.830002,55,2534800,53.010443
"14",54.98,55.41,54.75,55.330002,2644400,53.328508
"15",55.43,55.939999,55.16,55.77,2343200,53.75259
"16",55.830002,55.91,55.189999,55.209999,1807000,53.212846
"17",55.110001,55.189999,53.740002,54.169998,2731400,52.210466
"18",53.810001,53.84,53.189999,53.759998,2020600,51.815297
"19",53.540001,54.110001,53.540001,53.77,2562900,51.824937
"20",53.84,54.59,53.84,54.549999,3120500,52.576721
"21",54.790001,54.939999,54.299999,54.709999,2651900,52.730933
"22",54.5,54.889999,54.5,54.799999,2153200,52.817677
"23",54.75,54.950001,54.130001,54.310001,1986400,52.345404
"24",54.389999,54.560001,53.529999,53.599998,3134200,51.661085
"25",53.580002,54.189999,53.580002,53.93,2701200,51.979149
"26",54.040001,54.27,53.75,54.209999,2044700,52.24902
"27",54.16,54.259998,53.48,53.48,2043000,51.545427
"28",53.73,54.450001,53.540001,54.389999,1936200,52.422509
"29",54.32,54.360001,53.610001,54.040001,2035900,52.085171
"30",54.240002,54.32,53.939999,54.049999,1213800,52.094807
"31",54.060001,54.23,53.900002,53.970001,1785400,52.017703
"32",53.959999,54.049999,53.73,54.009998,2192700,52.056254
"33",54.25,54.720001,52.919998,53.220001,3061600,51.294834
"34",53.139999,54.66,53.029999,54.650002,2907900,52.673105
"35",54.799999,54.889999,54.07,54.09,2069600,52.133361
"36",54.110001,54.23,52.57,53,2890000,51.082791
"37",52.759998,52.93,51.959999,51.990002,2509600,50.109328
"38",52,52.810001,51.959999,52.310001,2605500,50.417752
"39",52.200001,52.200001,50.48,51.400002,5778300,49.54067
"40",51.279999,51.560001,50.700001,50.84,2880800,49.000926
"41",50.299999,50.330002,49.060001,49.279999,5967200,47.969121
"42",49.490002,50.150002,49.490002,49.84,2914000,48.514226
"43",49.849998,50.560001,49.849998,50.52,2811700,49.176138
"44",50.52,50.84,50.27,50.34,1942800,49.000926
"45",50.110001,50.68,50.110001,50.41,2444800,49.069064
"46",50.529999,50.939999,50.419998,50.77,2732300,49.419488
"47",50.779999,51.259998,50.779999,51.139999,2181900,49.779645
"48",51.16,51.619999,51.139999,51.419998,2452900,50.052195
"49",51.439999,51.849998,51.369999,51.470001,2580700,50.100868
"50",51.630001,52.209999,51.490002,52.200001,2260400,50.811449
"51",52.130001,52.439999,51.919998,52.380001,2067800,50.986662
"52",52.459999,52.970001,52.419998,52.799999,2427500,51.395488
"53",52.700001,52.869999,52.060001,52.540001,2322800,51.142405
