"","PCG.Open","PCG.High","PCG.Low","PCG.Close","PCG.Volume","PCG.Adjusted"
"1",45.98,46.290001,45.889999,46.169998,1937200,44.088503
"2",46.110001,46.580002,45.799999,46.279999,3883000,44.193544
"3",46.189999,46.52,45.490002,46.32,2769000,44.231742
"4",46.299999,46.610001,46.080002,46.549999,1854600,44.451372
"5",46.5,47.220001,46.439999,46.880001,2058100,44.766497
"6",46.740002,46.970001,46.580002,46.880001,1200000,44.766497
"7",46.810001,47.799999,46.810001,47.700001,3012900,45.549528
"8",47.66,48.240002,47.540001,48.23,4436000,46.055633
"9",48.349998,48.639999,48.060001,48.189999,5126500,46.017435
"10",48.189999,48.259998,47.389999,47.619999,4006700,45.473133
"11",47.66,48.040001,47.5,47.73,3336800,45.578174
"12",47.549999,47.82,47.18,47.5,3721200,45.358544
"13",46.990002,47.299999,46.790001,47.200001,1973300,45.507988
"14",47.16,47.689999,47.009998,47.529999,1705300,45.826157
"15",47.57,48.099998,47.459999,48.02,2440500,46.298593
"16",48.040001,48.09,47.220001,47.23,2258900,45.536912
"17",47.16,47.18,46.389999,46.630001,2634200,44.958422
"18",46.41,46.639999,45.84,46.029999,3307200,44.379928
"19",46.09,46.799999,46.060001,46.490002,2186800,44.823441
"20",46.330002,46.860001,46.330002,46.82,2249400,45.141609
"21",46.82,46.98,46.599998,46.860001,2068600,45.180176
"22",46.540001,47.310001,46.540001,47.200001,2741400,45.507988
"23",47.209999,47.330002,46.98,47.119999,3101100,45.430854
"24",47.18,47.34,46.799999,46.93,2777600,45.247667
"25",46.919998,47.439999,46.919998,47.290001,2638400,45.594762
"26",47.330002,47.509998,46.91,47.509998,2055300,45.806873
"27",47.34,47.400002,46.849998,46.869999,2050800,45.189816
"28",47.130001,47.330002,46.799999,47.27,2766800,45.575479
"29",47.169998,47.25,46.860001,47.130001,1801700,45.440498
"30",47.34,47.380001,47.060001,47.16,1953200,45.469421
"31",47.200001,47.279999,46.98,47.139999,807500,45.450138
"32",47.290001,47.470001,47.110001,47.369999,2184900,45.671892
"33",47.330002,47.540001,47.029999,47.099998,989400,45.411571
"34",46.639999,47.57,46.509998,47.369999,1882600,45.671892
"35",47.349998,47.580002,46.540001,46.599998,2786500,44.929495
"36",46.299999,46.709999,45.689999,45.700001,3010700,44.06176
"37",45.349998,45.93,44.650002,44.669998,3581700,43.06868
"38",44.82,45.220001,44.639999,44.900002,2681800,43.290439
"39",44.860001,44.970001,43.799999,44.48,3732900,42.885493
"40",44.43,44.630001,43.610001,43.73,2432000,42.162379
"41",43.57,43.810001,42.919998,43,4753700,41.458548
"42",43.209999,43.549999,43.110001,43.279999,2537500,41.728509
"43",43.419998,44.130001,43.419998,44.119999,2701000,42.538397
"44",44.099998,44.360001,43.849998,43.93,1648700,42.35521
"45",43.950001,44.200001,43.830002,43.919998,1932300,42.345566
"46",44.07,44.150002,43.73,44.07,1976100,42.490191
"47",44.09,44.59,44.09,44.52,1425500,42.92406
"48",44.84,45.41,44.830002,45.200001,6126800,43.579684
"49",45.279999,45.509998,44.919998,44.990002,2489500,43.377213
"50",45.040001,45.75,44.900002,45.740002,2287800,44.100327
"51",45.68,46.110001,45.560001,45.84,2348300,44.196741
"52",45.990002,46.110001,45.720001,45.849998,1381000,44.20638
"53",45.389999,45.990002,45.369999,45.639999,1465500,44.003909
"54",45.77,46.080002,45.669998,45.919998,1654400,44.273871
"55",45.959999,46.150002,45.400002,45.41,1123800,43.782155
