"","FLR.Open","FLR.High","FLR.Low","FLR.Close","FLR.Volume","FLR.Adjusted"
"1",79.129997,79.5,78.779999,79.209999,790400,78.161803
"2",78.800003,78.949997,77.82,78.449997,917800,77.411858
"3",78.230003,78.419998,76.970001,77.470001,890000,76.444831
"4",77.330002,77.660004,76.800003,77.639999,855600,76.61258
"5",77.269997,77.5,76.580002,76.980003,738000,75.961317
"6",76.699997,78.540001,76.389999,77.82,1233000,76.790198
"7",77.82,78,76.129997,77.470001,1214100,76.444831
"8",77.400002,78.25,77.040001,77.349998,1319000,76.326416
"9",77.639999,78.809998,77.5,78.519997,1798700,77.480932
"10",78.440002,79.120003,77.589996,77.910004,658100,76.879011
"11",77.629997,77.989998,76.290001,76.379997,949400,75.369251
"12",76.379997,76.779999,75.809998,76.459999,793200,75.448194
"13",76.529999,76.730003,75.559998,76.419998,646600,75.408723
"14",76.239998,77.230003,76.239998,76.879997,950800,75.862635
"15",77.07,77.260002,76.239998,76.900002,693100,75.882374
"16",77.25,78.589996,77,78.199997,1044700,77.165167
"17",78.230003,78.440002,77.510002,77.910004,658000,76.879011
"18",78.139999,79.199997,78.040001,78.989998,815100,77.944713
"19",78.540001,78.989998,77.489998,77.93,1066100,76.898743
"20",77.779999,77.779999,77.199997,77.529999,554600,76.504035
"21",77.900002,78.75,77.5,78.019997,801300,76.987548
"22",76.629997,78.089996,76.629997,77.580002,884100,76.553376
"23",77.360001,78.230003,76.559998,77,1428200,75.981049
"24",77.709999,78.080002,77.550003,77.82,955900,76.790198
"25",78.059998,78.639999,77.809998,77.949997,889400,76.918475
"26",78.449997,78.449997,77.690002,77.739998,822000,76.711255
"27",77.400002,77.620003,76.260002,76.300003,1005600,75.290316
"28",76.669998,77,76.449997,76.760002,956100,75.744227
"29",76.849998,77.150002,76.239998,76.82,899800,75.803431
"30",77.099998,77.809998,76.739998,77.400002,902700,76.375758
"31",78.019997,78.279999,77.529999,77.790001,926900,76.760596
"32",77.669998,78.139999,77.25,77.43,1178700,76.405359
"33",76.940002,77.050003,75.550003,76.019997,1233800,75.014015
"34",76,76.169998,75.010002,75.699997,922300,74.698249
"35",75.699997,75.959999,74.589996,74.599998,1023900,73.612807
"36",74.720001,75.360001,74.220001,75.040001,1147000,74.046987
"37",74.559998,75.050003,72.769997,72.870003,2007200,71.905705
"38",73.919998,75.550003,72.989998,73.25,2257500,72.280674
"39",73.220001,73.25,71.889999,72.980003,1426600,72.01425
"40",72.480003,73.269997,71.93,72.230003,1501900,71.274175
"41",71.669998,72.309998,71.029999,71.849998,1581600,70.899198
"42",72.32,72.330002,70.82,71.120003,1205200,70.178863
"43",71.169998,72.260002,70.940002,72.209999,849000,71.254435
"44",72.790001,73.650002,72.650002,73,788700,72.033982
"45",72.769997,73.440002,72.010002,72.239998,603200,71.284037
"46",72.519997,73.110001,72.260002,73.099998,664900,72.132657
"47",72.910004,73.230003,72.480003,73.029999,716700,72.063584
"48",73.330002,73.599998,71.949997,72.25,869500,71.293907
"49",73.029999,74,72.980003,73.980003,758900,73.001017
"50",74,74.089996,73.540001,73.669998,871800,72.695114
"51",73.730003,74.489998,73.519997,74.290001,861400,73.306912
"52",74.230003,74.599998,73.589996,74.110001,774000,73.129294
"53",73.989998,74.269997,73.730003,73.93,570600,72.951675
