"","PNR.Open","PNR.High","PNR.Low","PNR.Close","PNR.Volume","PNR.Adjusted"
"1",78.239998,78.43,77.910004,78.059998,671900,76.584126
"2",77.68,77.889999,77.239998,77.419998,774700,75.956227
"3",77.379997,77.620003,75.160004,75.349998,1265800,73.925364
"4",75.370003,75.580002,74.900002,75.18,783000,73.75858
"5",75.099998,75.919998,74.940002,75.480003,1200200,74.052911
"6",75.150002,75.760002,75.050003,75.459999,1298500,74.033285
"7",75.580002,75.690002,74.290001,74.900002,951300,73.483875
"8",74.940002,74.940002,74.220001,74.669998,1647700,73.258221
"9",74.82,75.589996,74.629997,75.370003,1600500,73.94499
"10",75.370003,75.610001,75.230003,75.419998,673200,73.99404
"11",75.620003,75.699997,74.900002,74.940002,1042300,73.52312
"12",74.730003,74.870003,73.870003,74.139999,1378400,72.738242
"13",73.919998,74.120003,73.010002,73.169998,1293500,71.786581
"14",72.720001,73.150002,72.370003,72.760002,2021900,71.384337
"15",72.639999,73.360001,71.93,72.120003,2119000,70.756438
"16",72.57,72.769997,71.910004,72.5,1460400,71.12925
"17",72.279999,72.639999,71.849998,71.900002,1402700,70.540596
"18",72.339996,72.730003,72.080002,72.199997,766600,70.834919
"19",71.93,71.980003,70.919998,71.050003,1642100,69.706668
"20",71,71.050003,70.010002,70.239998,1669100,68.911978
"21",70.510002,71.110001,70.339996,70.970001,2190400,69.628179
"22",70.089996,70.790001,69.660004,70.480003,1186500,69.147446
"23",70.68,71,70.010002,70.839996,1253400,69.500632
"24",71.5,72.449997,71.330002,72.239998,2680300,70.874164
"25",72,72.650002,71.550003,72.5,2204900,71.12925
"26",72.900002,73.629997,72.529999,73.220001,1883500,71.835639
"27",72.949997,72.949997,71.43,71.57,1750700,70.216833
"28",71.709999,72.470001,71.550003,72.379997,1866900,71.011517
"29",72.190002,73,71.93,72.599998,984500,71.227358
"30",73.019997,73.169998,72.330002,72.419998,1280900,71.050761
"31",72.25,72.410004,71.690002,71.839996,812300,70.774914
"32",71.760002,72.300003,71.629997,71.779999,1200500,70.715806
"33",71.650002,72.459999,71.599998,72.269997,765600,71.198539
"34",72.18,72.190002,71.209999,71.800003,688200,70.735513
"35",71.690002,72.010002,69.949997,69.959999,1113500,68.922789
"36",70.169998,70.290001,69.129997,69.589996,2076600,68.558272
"37",66,67.18,63.59,64.07,7434100,63.120113
"38",63.529999,64.389999,62.91,63.650002,4456500,62.706342
"39",63.75,65.43,63.66,65.080002,3161200,64.115141
"40",64.769997,65.68,64.43,64.709999,2338800,63.750624
"41",63.84,65.459999,63.84,65.080002,1984300,64.115141
"42",65.519997,66.730003,65.510002,66.550003,2386900,65.563349
"43",66.5,67.190002,66.080002,67.150002,2035400,66.154452
"44",67.800003,68.739998,67.769997,68.360001,1865600,67.346512
"45",68,69.110001,68,68.449997,1264000,67.435174
"46",68.779999,69.089996,68.349998,68.529999,1270900,67.513989
"47",68.75,69.040001,68.339996,68.5,1289200,67.484435
"48",68.860001,68.860001,67.269997,67.940002,2238500,66.93274
"49",68.419998,69.610001,68.419998,69.389999,1428200,68.36124
"50",69.5,70.199997,69.480003,69.830002,1349000,68.794719
"51",69.690002,70.449997,69.690002,70.010002,1419100,68.972051
"52",70.190002,70.330002,69.720001,70.019997,960700,68.981897
"53",69.730003,69.959999,69.160004,69.400002,1422900,68.371094
"54",69.699997,70.309998,69.489998,69.889999,783000,68.853827
"55",70.019997,70.32,68.650002,68.690002,1347700,67.671621
"56",68.839996,69.120003,68.440002,68.639999,976700,67.622359
"57",68.290001,68.68,67.879997,68.510002,690600,67.494289
"58",68.599998,68.629997,67.610001,68.07,1281000,67.06081
"59",68.080002,68.25,67.32,67.690002,2233100,66.686447
"60",68.150002,68.25,67.169998,67.550003,936800,66.548523
"61",67.889999,68.07,66.910004,67.010002,1434000,66.016528
"62",67.07,67.360001,66.269997,67.32,1747400,66.321929
"63",67.129997,67.5,66.669998,66.919998,1125500,65.927858
"64",67,67.57,66.75,67.32,5711100,66.321929
"65",67.230003,67.639999,66.68,67.190002,1297700,66.19386
"66",67,67.940002,66.82,67.790001,1096000,66.784963
"67",67.849998,67.910004,67.260002,67.389999,985400,66.390891
"68",67.209999,67.800003,66.879997,67.330002,885100,66.331783
"69",67.129997,67.610001,66.769997,67.360001,869400,66.361337
"70",67.5,68.040001,67.120003,67.360001,1048200,66.361337
"71",67.720001,67.949997,67.370003,67.690002,753100,66.686447
"72",68.110001,68.300003,67.379997,67.900002,1839200,66.893332
"73",67.610001,67.68,66.830002,67.07,2156200,66.075636
"74",66.660004,67.199997,66.5,66.809998,1621400,65.819488
"75",66.589996,67.339996,66.239998,67.279999,1335200,66.282522
"76",67.230003,67.230003,66.790001,66.790001,2213900,65.799788
"77",66.779999,67.610001,66.480003,67.410004,1721800,66.410599
"78",66.690002,66.690002,65.660004,66.169998,1776200,65.188978
"79",66.279999,66.480003,65.349998,65.489998,2596700,64.519059
"80",65.400002,65.690002,64.5,64.610001,2621300,63.652108
"81",64.419998,64.900002,64.199997,64.660004,2270300,63.70137
"82",65.160004,65.269997,64.599998,65.139999,1284500,64.174249
"83",65.389999,65.900002,65.129997,65.339996,795200,64.371281
"84",64.650002,65.07,63.849998,63.849998,1217500,62.903374
"85",63.93,64.949997,63.369999,64.879997,1778700,63.918102
"86",64.699997,64.739998,62.630001,62.720001,1560400,61.790129
"87",62.669998,63.119999,61.779999,62.150002,2205900,61.22858
"88",62.630001,62.919998,61.25,61.310001,2443700,60.401034
"89",61.549999,62.82,61.380001,61.810001,2100100,60.893621
"90",60.779999,61.919998,59.09,60.849998,3356700,59.947851
"91",59.740002,62.25,59.740002,61.810001,3330000,60.893621
"92",62.43,64.07,62.389999,63.740002,2827200,62.795008
"93",63.549999,64.489998,63.43,64.230003,2630800,63.277745
"94",65.889999,66.470001,64.900002,65,3509200,64.036326
"95",65.040001,65.970001,64.629997,64.660004,2387400,63.996739
"96",65.43,67.040001,65.43,66.349998,1586000,65.669399
"97",66.400002,67.080002,66.07,66.93,1010700,66.243451
"98",66.580002,66.779999,65.849998,66.050003,1605300,65.372481
"99",66.629997,67.330002,65.860001,67.330002,1614100,66.639349
"100",67.540001,67.540001,66.18,66.849998,811000,66.16427
"101",66.5,67.290001,66.18,67.190002,715000,66.500786
"102",68.080002,68.18,66.809998,67.050003,1457700,66.362223
"103",67.25,67.440002,66.459999,66.730003,1161900,66.045506
"104",66.730003,66.730003,65.610001,66.169998,1422000,65.491245
"105",66.800003,67.239998,66.089996,67.160004,858100,66.471095
"106",67.300003,67.980003,66.959999,67.879997,1047800,67.183703
"107",67.93,68.099998,67.610001,68.080002,759200,67.381656
"108",68.110001,68.5,67.889999,68.290001,688600,67.589501
"109",68.25,68.5,67.720001,68.120003,704200,67.421247
"110",67.800003,68.510002,67.529999,68.440002,751400,67.737964
"111",68.379997,68.919998,68.029999,68.470001,2209400,67.767655
"112",68.150002,69.139999,68.059998,68.660004,1849400,67.955709
"113",68.82,69.309998,68.190002,69,1161600,68.292217
"114",68.949997,69.199997,68.410004,68.510002,1035700,67.807246
"115",68.400002,68.400002,67.080002,67.639999,1226800,66.946167
"116",67.279999,67.900002,67.059998,67.800003,713200,67.10453
"117",68.75,69.050003,68.32,68.57,690900,67.866628
"118",68.82,69.019997,68.440002,68.82,878700,68.114063
"119",69,69.370003,68.93,69.080002,1119000,68.371398
"120",69.199997,69.199997,67.959999,68.029999,680400,67.332166
"121",67.650002,67.650002,64.360001,64.709999,1315300,64.046222
"122",64.080002,64.080002,61.869999,62.75,3412300,62.106328
"123",62.470001,62.919998,61.509998,62.810001,3050900,62.165714
"124",63.009998,64.510002,62.720001,64.410004,1430500,63.749304
"125",64.459999,64.57,63.880001,64.190002,951000,63.531559
"126",63.25,63.939999,63.02,63.209999,1084100,62.561609
"127",63.189999,63.189999,61.25,61.43,1073500,60.799869
"128",60.650002,62.790001,60.52,62.75,1403600,62.106328
"129",62.700001,62.700001,60.77,60.82,1930300,60.196125
"130",61.040001,62.189999,60.82,61.360001,1382500,60.730587
"131",60.630001,61.200001,60.009998,60.02,1256800,59.404332
"132",60.119999,60.540001,59.48,59.84,1319500,59.226178
"133",59.669998,61.75,59.669998,60.959999,2164000,60.334688
"134",61.119999,63.779999,61.009998,63.709999,3220200,63.05648
"135",64.75,65.120003,62.959999,65.040001,2567300,64.372839
"136",65.260002,66.699997,64.959999,66.610001,2938500,65.926734
"137",66.18,66.93,65.919998,66.860001,1225100,66.174169
"138",67.260002,67.75,66.940002,67.080002,929000,66.391914
"139",67.139999,67.349998,66.849998,66.989998,366800,66.302833
"140",67.209999,67.419998,66.940002,67.120003,394100,66.431504
"141",67.120003,67.489998,66.940002,67.25,739400,66.560168
"142",67.370003,67.370003,66.809998,67.129997,828000,66.441396
"143",67.019997,67.480003,66.309998,66.419998,1028500,65.73868
"144",66.779999,67.190002,66.260002,66.68,1570800,65.996015
"145",66.260002,66.260002,63.75,63.959999,1744300,63.303915
"146",64.220001,64.709999,62.68,63.41,1958100,62.759558
"147",64,64.199997,63.32,63.889999,1183600,63.234634
"148",64.089996,65.559998,64.040001,65.550003,1538300,64.877609
"149",65.690002,65.760002,65,65.120003,1373000,64.45202
"150",64.790001,65.209999,64.129997,64.629997,1402000,63.967041
"151",65.160004,65.839996,63.82,65,2040700,64.333248
"152",63.869999,65.5,63.869999,65.309998,2235800,64.640066
"153",65.790001,66.559998,64.879997,64.959999,2222100,64.293658
"154",64.910004,65.050003,63.599998,64.480003,2835900,63.818585
"155",64.82,65.059998,64.019997,64.830002,1685500,64.164994
"156",64.660004,66.519997,64.660004,66.309998,1463200,65.629808
"157",66.18,66.720001,65.309998,66.309998,1953200,65.629808
"158",65.959999,66.209999,63.830002,64.25,2254900,63.590941
"159",64.360001,64.629997,63.66,63.98,1309300,63.323711
"160",63.040001,63.709999,62.040001,62.700001,1675700,62.056842
"161",62.669998,63,61.310001,61.360001,1633500,61.042123
"162",61.279999,62.610001,60.73,62.369999,2648000,62.046889
"163",61.970001,62.25,61.16,61.810001,2337700,61.489792
"164",62.330002,64.290001,62.189999,64.279999,2291100,63.946994
"165",63.779999,66.080002,63.779999,65.690002,2306500,65.349693
"166",64.610001,64.720001,63.209999,63.529999,2209800,63.200879
"167",63.889999,64,63.459999,63.950001,1275900,63.618705
"168",64.139999,64.529999,63.91,64.32,1981700,63.986788
"169",64.209999,65.559998,64.209999,65.470001,1506900,65.130831
"170",65.919998,66.239998,64.309998,65.050003,1632500,64.713009
"171",64.779999,65.239998,64.290001,64.639999,871200,64.305129
"172",65.139999,65.82,64.959999,65.779999,987000,65.439223
"173",64.82,67.199997,64.650002,66.870003,1541700,66.52358
"174",66.739998,67.18,65.949997,67.059998,1106700,66.712591
"175",67.199997,67.919998,66.699997,66.860001,1094800,66.51363
"176",66.529999,67.220001,66.32,66.949997,844200,66.60316
"177",66.879997,68.239998,66.290001,68.029999,1173500,67.677567
"178",68,68.099998,66.529999,66.949997,886800,66.60316
"179",66.849998,67.830002,66.709999,67.629997,796000,67.279638
"180",67.580002,68,67.169998,67.540001,683500,67.190107
"181",67.419998,67.769997,66.889999,67.339996,865300,66.991139
"182",67.330002,67.620003,66.349998,66.470001,1204700,66.125651
"183",66.470001,66.730003,65.919998,66.209999,1141300,65.866996
"184",65.75,66.230003,65.639999,65.870003,1098400,65.528761
"185",65.550003,65.610001,64.129997,64.389999,1495200,64.056425
"186",64.519997,64.849998,64.25,64.800003,902700,64.464304
"187",64.129997,64.790001,63.16,63.41,1050300,63.081502
"188",63.41,64.32,63.040001,64.25,1343200,63.91715
"189",63.529999,63.91,62.799999,62.860001,983800,62.534352
"190",63.009998,63.060001,62.02,62.5,1066700,62.176216
"191",62.900002,64.370003,62.709999,64.190002,1305400,63.857464
"192",63.990002,63.990002,63.130001,63.759998,1173600,63.429687
"193",63.98,64.639999,63.439999,64.489998,1362000,64.155905
"194",64.129997,64.940002,63.939999,64.610001,1573600,64.275286
"195",64.160004,66.690002,63.419998,66.059998,2340400,65.717771
"196",65.489998,65.5,63.66,64.379997,1784900,64.046474
"197",64.440002,64.839996,64.040001,64.639999,3433600,64.305129
"198",64.589996,64.739998,64.029999,64.089996,946900,63.757976
"199",64.029999,64.330002,63.630001,64.209999,743800,63.877357
"200",64.25,64.339996,62.82,62.82,739800,62.494558
"201",62.299999,63.25,62.290001,62.860001,1265200,62.534352
"202",62.66,62.66,62.060001,62.389999,1022900,62.066786
"203",62.700001,63.610001,62.700001,63.529999,765000,63.200879
"204",63.200001,63.200001,62.299999,62.889999,1184300,62.564195
"205",62.709999,63.48,61.98,62.990002,1130500,62.66368
