"","EIX.Open","EIX.High","EIX.Low","EIX.Close","EIX.Volume","EIX.Adjusted"
"1",55.650002,55.849998,55.400002,55.52,978700,53.72229
"2",55.57,55.669998,54.869999,54.889999,1465000,53.112688
"3",54.700001,54.950001,53.779999,54.77,2364600,52.996575
"4",54.669998,55.07,54.290001,54.889999,1530200,53.112688
"5",54.98,55.98,54.799999,55.610001,2118600,53.809376
"6",55.380001,55.639999,55.099998,55.610001,1268100,53.809376
"7",55.540001,57.16,55.389999,57.110001,2204700,55.260807
"8",57.119999,57.849998,56.950001,57.84,2753100,55.967169
"9",57.759998,58.099998,57.549999,57.59,1652000,55.725264
"10",57.549999,57.91,56.959999,57.57,2066700,55.705911
"11",57.41,57.810001,57.279999,57.68,1565900,55.81235
"12",57.549999,58.139999,57.540001,57.91,1287100,56.034903
"13",57.32,57.740002,57.099998,57.599998,1456800,56.078715
"14",57.470001,57.91,57.32,57.369999,1899100,55.85479
"15",57.610001,58.240002,57.48,58.110001,1821300,56.575247
"16",58.02,58.110001,57.48,57.529999,2156500,56.010564
"17",57.349998,57.48,56.209999,56.419998,1712300,54.92988
"18",56.169998,56.200001,55.330002,55.82,1127500,54.345728
"19",55.849998,56.220001,55.77,55.889999,1714200,54.413879
"20",56.32,56.889999,56.240002,56.720001,2224200,55.221959
"21",56.700001,56.779999,56.119999,56.439999,1425900,54.949352
"22",56.290001,57.16,56.290001,56.990002,1344700,55.484829
"23",56.950001,57.029999,56.380001,56.619999,1317000,55.124598
"24",56.790001,56.799999,55.869999,55.959999,2225000,54.48203
"25",55.990002,56.77,55.990002,56.549999,1935600,55.056447
"26",56.630001,56.810001,56.290001,56.799999,1550300,55.299844
"27",56.880001,57.119999,56.509998,56.549999,1834400,55.056447
"28",56.779999,57.130001,56.369999,57.110001,1241300,55.601658
"29",56.98,57.279999,56.689999,57,1066300,55.494563
"30",57.200001,57.259998,56.950001,56.959999,1008100,55.455619
"31",56.93,57.09,56.580002,56.650002,939400,55.153808
"32",56.759998,57.189999,56.580002,56.959999,977100,55.455619
"33",57.290001,57.880001,56.560001,56.619999,1349400,55.124598
"34",56.599998,57.630001,56.459999,57.470001,1142600,55.952151
"35",57.470001,57.869999,57.009998,57.02,1701600,55.514035
"36",57.169998,57.189999,55.580002,55.779999,1684000,54.306783
"37",55.380001,55.869999,54.720001,54.799999,1855300,53.352667
"38",55.200001,56.540001,55.200001,55.939999,3219600,54.462557
"39",55.849998,56.009998,54.509998,55.830002,4429000,54.355466
"40",55.689999,56.150002,55.240002,55.650002,3322500,54.18022
"41",55.380001,55.619999,54.32,54.860001,4375100,53.411083
"42",55.009998,55.700001,54.990002,55.549999,2452600,54.082858
"43",55.580002,56.98,55.580002,56.919998,3067200,55.416674
"44",57.18,57.290001,56.459999,56.490002,2718200,54.998034
"45",56.419998,56.560001,56.119999,56.150002,1649400,54.667014
"46",56.220001,56.630001,55.959999,56.48,2547900,54.988296
"47",56.689999,57.139999,56.490002,57.060001,1843300,55.55298
"48",57.18,57.700001,56.84,57.349998,2236300,55.835318
"49",57.419998,57.84,57.18,57.540001,1672300,56.020302
"50",57.529999,58.560001,57.52,58.419998,2610800,56.877057
"51",58.389999,58.830002,58.32,58.740002,1359900,57.188609
"52",58.759998,59.18,58.23,58.32,1728700,56.7797
"53",58.02,58.91,58.02,58.490002,1428600,56.945212
"54",58.779999,58.91,58.389999,58.599998,1135600,57.052304
"55",58.650002,58.830002,57.630001,57.740002,1692100,56.21502
"56",57.700001,58.380001,57.599998,58.349998,1889000,56.808906
"57",58.16,58.630001,57.959999,58.470001,1733900,56.92574
"58",58.490002,59.150002,58.360001,59.139999,1582900,57.578042
"59",59.25,59.349998,58.23,58.639999,2283000,57.091248
"60",58.860001,59.529999,58.759998,59.299999,2490000,57.733817
"61",59.169998,59.299999,58.580002,58.990002,1975800,57.432006
"62",58.990002,59.540001,58.990002,59.48,1084000,57.909063
"63",59.279999,59.380001,58.34,58.709999,2369200,57.159399
"64",58.560001,58.650002,57.880001,57.959999,1307300,56.429207
"65",57.959999,58.02,57.439999,57.66,1325700,56.137131
"66",57.720001,58,57.279999,58,1628100,56.468152
"67",57.740002,57.759998,56.73,56.880001,1233300,55.377733
"68",57.119999,57.439999,56.869999,57.119999,1944900,55.611393
"69",57.09,58.25,57.080002,58.119999,1954800,56.584981
"70",58.34,58.43,57.84,58.07,1717100,56.536303
"71",58.080002,58.25,57.619999,57.709999,2503100,56.18581
"72",57.91,58.060001,57.689999,57.91,1827400,56.380529
"73",57.91,58,57.279999,57.299999,1532200,55.786639
"74",57.27,57.349998,56.580002,56.82,2456100,55.319317
"75",56.990002,57.060001,56.259998,56.52,1862300,55.027241
"76",56.5,56.830002,56.009998,56.02,1726800,54.540446
"77",55.720001,55.98,55.080002,55.790001,2005300,54.662922
