"","TXN.Open","TXN.High","TXN.Low","TXN.Close","TXN.Volume","TXN.Adjusted"
"1",47.779999,47.98,47.650002,47.970001,2697000,46.750563
"2",47.860001,48.240002,47.669998,48.09,3333300,46.867512
"3",47.889999,48.240002,47.830002,48.139999,5782600,46.91624
"4",48.279999,48.450001,47.91,48.330002,4763500,47.101412
"5",48.049999,48.290001,47.799999,48.130001,4473200,46.906496
"6",47.959999,48.32,47.919998,48.259998,3845300,47.033188
"7",48.279999,48.299999,47.630001,47.869999,3973100,46.653103
"8",48.080002,48.209999,47.619999,47.91,5185400,46.692087
"9",48.060001,48.220001,47.560001,47.939999,8463900,46.721323
"10",47.98,48.169998,47.82,48.080002,3002500,46.857768
"11",47.889999,48.200001,47.639999,47.709999,3732800,46.497171
"12",46.66,48.110001,46.549999,48.040001,3645000,46.818784
"13",48.040001,48.049999,47.380001,47.790001,3533000,46.575139
"14",47.720001,47.779999,47.369999,47.759998,4105900,46.545899
"15",47.669998,47.950001,47.48,47.790001,3109800,46.575139
"16",48.029999,48.73,47.93,48.490002,4714500,47.257345
"17",48.330002,48.669998,48.330002,48.509998,2825500,47.276833
"18",48.580002,48.98,48.5,48.950001,1689500,47.70565
"19",48.73,49.09,48.73,48.919998,2912700,47.67641
"20",48.52,49.040001,48.52,48.849998,4789800,47.60819
"21",49.060001,49.41,48.830002,49.279999,4378200,48.02726
"22",48.759998,49.09,48.279999,49,4907400,47.754379
"23",48.830002,49.290001,48.830002,49.290001,4231400,48.037007
"24",49.439999,49.529999,48.860001,48.919998,5171500,47.67641
"25",48.98,49.119999,48.419998,48.66,5461600,47.423022
"26",49,49.200001,48.810001,49.049999,4894500,47.803107
"27",48.529999,48.93,48.060001,48.150002,5321300,46.925988
"28",48.419998,48.970001,48.169998,48.82,5178800,47.578954
"29",48.080002,49.34,48.080002,49.169998,7681800,47.920055
"30",49,49.240002,48.439999,49.119999,8210500,47.871327
"31",49.220001,49.240002,48.150002,48.200001,12255400,46.974716
"32",48.5,48.610001,47.779999,47.860001,9868300,46.643359
"33",47.73,47.73,46.77,46.82,9472100,45.629796
"34",46.849998,47.439999,46.380001,47.349998,11324800,46.146322
"35",47.189999,47.48,46.77,46.77,6139700,45.8717
"36",47,47.380001,46.759998,47.23,5408200,46.322864
"37",46.84,46.939999,46.02,46.25,8564900,45.361687
"38",46.27,46.630001,46.119999,46.240002,7316800,45.351881
"39",46.200001,46.509998,46.049999,46.389999,5327100,45.498998
"40",46.459999,46.459999,45.919998,45.990002,7867500,45.106683
"41",45.880001,46.439999,45.779999,46.169998,4940900,45.283222
"42",46.450001,46.5,45.599998,45.669998,6689400,44.792825
"43",45.900002,46.389999,45.849998,46.330002,4992300,45.440152
"44",46.200001,46.82,46.200001,46.5,3393300,45.606886
"45",46.25,46.740002,46.25,46.669998,3788200,45.773619
"46",47.200001,47.200001,46.830002,47.080002,5457800,46.175747
"47",47.18,47.330002,47.009998,47.259998,2550700,46.352287
"48",47.669998,47.73,46.990002,47.560001,5854100,46.646528
"49",47.549999,47.740002,47.360001,47.560001,3806300,46.646528
"50",47.610001,47.919998,47.450001,47.689999,3092200,46.774028
"51",47.68,47.990002,47.669998,47.880001,5266400,46.960381
"52",47.939999,48.23,47.799999,48.169998,3698600,47.244808
"53",48.259998,48.349998,47.959999,48.02,3196900,47.097692
"54",48.369999,48.5,47.259998,47.369999,4986900,46.460175
"55",47.459999,47.650002,47.310001,47.490002,4560400,46.577873
"56",47.619999,47.84,47.23,47.779999,4945900,46.8623
"57",47.610001,48.16,47.490002,48.02,3427300,47.097692
"58",48.310001,48.34,47.889999,48.18,3433000,47.254618
"59",48.43,48.43,47.650002,47.91,3321300,46.989804
"60",48.310001,48.369999,47.91,48.349998,3884300,47.421352
"61",48.5,48.560001,48.16,48.25,3480200,47.323274
"62",48.310001,48.59,48.209999,48.580002,3648600,47.646937
"63",48.389999,48.77,48.32,48.490002,3975400,47.558666
"64",48.389999,48.52,48.200001,48.279999,3153700,47.352696
"65",48.419998,48.419998,47.830002,47.990002,5503700,47.068269
"66",47.799999,48.220001,47.700001,48.150002,3165900,47.225196
"67",47.93,48.18,47.459999,47.830002,4838300,46.911342
"68",47.110001,47.950001,47.110001,47.59,3238700,46.67595
"69",47.349998,48.080002,47.099998,47.919998,5499600,46.99961
"70",47.970001,48.630001,47.91,48.369999,3854700,47.440968
"71",48.470001,49.040001,48.34,48.98,3778500,48.039252
"72",49,49.369999,48.650002,48.75,12560600,47.81367
"73",48.689999,48.75,48.259998,48.66,5756500,47.725399
"74",48.32,48.959999,48.32,48.66,5646900,47.725399
"75",48.66,48.950001,48.560001,48.810001,5125600,47.872519
"76",48.740002,48.84,48.060001,48.139999,5297300,47.215386
"77",48.18,48.470001,48.040001,48.330002,3601700,47.401739
"78",48.009998,48.470001,47.91,48.259998,3160800,47.33308
"79",48.200001,48.529999,47.549999,47.689999,6431700,46.774028
"80",47.509998,47.720001,46.82,46.880001,7854600,45.979588
"81",46.77,47.07,46.130001,46.84,5616100,45.940355
"82",47,47.400002,46.619999,46.82,5889900,45.920739
"83",46.970001,47.25,46.310001,46.630001,4733500,45.73439
"84",46.369999,46.52,45.900002,46.009998,8099700,45.126295
"85",46.169998,47.110001,45.700001,46.939999,8036300,46.038433
"86",46.709999,47.040001,45.98,46.02,8886100,45.136105
"87",44.299999,44.299999,41.57,42.740002,33229600,41.919105
"88",42.57,43.150002,41.470001,41.93,15196200,41.124661
"89",42.610001,43.049999,42.119999,42.310001,9357400,41.497363
"90",41.740002,43.130001,41.700001,42.759998,14593100,41.938717
"91",42.040001,43.900002,42.040001,43.59,11352100,42.752777
"92",43.950001,44.619999,43.580002,43.669998,12992200,42.831239
"93",43.490002,44.5,43.189999,44.41,9502200,43.557028
"94",45.540001,46.84,45.080002,46.77,15036700,45.8717
"95",47.41,47.68,46.59,46.619999,11651100,45.72458
"96",47.18,47.43,46.84,47,7005900,46.097282
"97",47.130001,47.630001,46.77,47.57,5606900,46.656334
"98",47.639999,48.060001,47.130001,47.950001,7576300,47.029036
"99",48.099998,48.5,47.84,48.5,6328700,47.568472
"100",48.130001,48.560001,47.990002,48.330002,8163900,47.736386
"101",48.139999,48.32,46.880001,47.529999,11485000,46.946209
"102",49.150002,50.209999,48.75,49.66,14551100,49.050048
"103",49.650002,50.299999,49.549999,50.080002,6921500,49.464892
"104",49.970001,50.459999,49.75,50.400002,6285500,49.780961
"105",50.48,51.18,50.27,51.130001,5302600,50.501994
"106",51.049999,51.349998,50.560001,50.91,6300700,50.284695
"107",51.099998,51.169998,50.580002,50.900002,4927500,50.27482
"108",50.900002,51.630001,50.849998,51.560001,4528100,50.926713
"109",51.799999,51.799999,51.130001,51.32,4269300,50.689659
"110",51.32,51.450001,50.75,51.279999,4093000,50.65015
"111",51.150002,51.689999,50.93,51.18,4411200,50.551379
"112",50.880001,51.650002,50.880001,51.630001,3575000,50.995853
"113",51.549999,51.619999,51.080002,51.549999,3218800,50.916834
"114",51.549999,52.080002,51.349998,51.84,4627300,51.203273
"115",51.799999,51.959999,51.349998,51.939999,6590400,51.302043
"116",51.75,52.259998,51.5,52.23,4759900,51.588482
"117",52.639999,52.98,52.040001,52.560001,5287300,51.914431
"118",53,53.119999,52.450001,52.849998,3441600,52.200866
"119",52.849998,53.040001,52.32,52.439999,5329000,51.795902
