"","SRE.Open","SRE.High","SRE.Low","SRE.Close","SRE.Volume","SRE.Adjusted"
"1",100.75,100.919998,100.07,100.169998,515100,97.005665
"2",99.980003,100.040001,98.68,99.209999,1025300,96.075992
"3",99.160004,99.889999,98.32,99.730003,988600,96.57957
"4",99.75,101.129997,99.279999,101.120003,1439500,97.92566
"5",101.110001,102.279999,100.739998,101.669998,1127900,98.458281
"6",101.199997,101.519997,100.699997,101.410004,862800,98.206499
"7",101.410004,104.190002,101.389999,104.129997,1262100,100.840569
"8",104.120003,105.25,103.639999,104.650002,1408000,101.344147
"9",105.059998,105.099998,103.900002,103.959999,1232000,100.675941
"10",104.18,104.449997,103.349998,103.68,544400,100.404788
"11",103.809998,104.470001,103.550003,104.160004,865500,100.869628
"12",104,104.970001,103.949997,104.720001,639700,101.411935
"13",104.510002,104.709999,104.040001,104.519997,647300,101.218249
"14",103.5,104.360001,102.779999,104.029999,1032700,101.383931
"15",103.739998,104.800003,103.510002,104.709999,1045800,102.046635
"16",104.529999,104.599998,103.440002,103.5,784200,100.867413
"17",103.300003,103.339996,101.769997,102.169998,847700,99.57124
"18",101.849998,101.860001,100.449997,100.730003,775000,98.167873
"19",101.019997,101.580002,100.589996,101.459999,1259700,98.8793
"20",101.309998,102.379997,101.309998,101.980003,1117400,99.386078
"21",101.959999,102.529999,101.010002,102.239998,1135200,99.639459
"22",101.919998,102.809998,101.919998,102.449997,590800,99.844117
"23",102.260002,102.800003,102.040001,102.239998,815300,99.639459
"24",102.300003,102.769997,101.120003,101.150002,841600,98.577188
"25",101.339996,102.029999,101.220001,101.809998,1226300,99.220396
"26",102.199997,102.410004,101.110001,102.230003,850000,99.629719
"27",101.980003,102.559998,101.559998,101.589996,908600,99.005991
"28",102.089996,102.589996,101.330002,102.510002,837700,99.902596
"29",101.989998,102.379997,101.519997,102.110001,729700,99.512769
"30",102.220001,102.339996,101.870003,102.220001,750300,99.619971
"31",102.199997,102.379997,101.919998,102.059998,690700,99.464038
"32",102.360001,102.839996,101.639999,102.080002,967900,99.483533
"33",101.800003,102.220001,101.379997,101.540001,676800,98.957267
"34",101.489998,103.279999,101.43,103.089996,782200,100.467838
"35",103,103.480003,102.419998,102.949997,1020200,100.331399
"36",103.050003,103.5,101.07,101.410004,914900,98.830577
"37",100.989998,101.410004,99.599998,99.709999,1059900,97.173813
"38",99.540001,100.610001,99.43,99.760002,948900,97.222544
"39",99.660004,99.790001,97.93,99.599998,2034500,97.06661
"40",99.120003,99.599998,97.510002,97.800003,1209400,95.312399
"41",97.269997,97.400002,96.129997,97.25,2663800,94.776385
"42",97.760002,100.809998,97.300003,99.519997,2205300,96.988643
"43",99.940002,101.18,99.540001,100.940002,1146200,98.37253
"44",101,101.849998,100.800003,100.949997,750700,98.382271
"45",100.900002,101.410004,100.559998,100.790001,862000,98.226344
"46",100.800003,101.550003,100.779999,101.25,496000,98.674643
"47",101.260002,102.610001,101.260002,102.370003,684500,99.766158
"48",102.879997,103.720001,102.660004,103.040001,1186800,100.419114
"49",103.139999,103.580002,102.68,102.809998,553800,100.194961
"50",102.900002,103.949997,102.809998,103.910004,594100,101.266988
"51",103.910004,104.120003,103.269997,103.839996,777100,101.198761
"52",103.370003,104.610001,103.370003,104.010002,617900,101.364443
"53",104,104.379997,103.019997,103.370003,735200,100.740722
"54",104.190002,104.190002,103.279999,103.629997,759400,100.994103
"55",103.800003,104,102.419998,102.470001,607800,99.863613
"56",102.879997,104.040001,102.449997,103.940002,850900,101.296223
"57",103.830002,105.32,103.650002,104.879997,806500,102.212309
"58",104.760002,106.089996,104.760002,105.970001,918400,103.274588
"59",106.279999,106.449997,105.150002,105.57,1438000,102.884761
"60",105.779999,106.519997,105.620003,106.050003,606900,103.352555
"61",105.790001,106.459999,105.629997,106.110001,907500,103.411026
"62",106.089996,107.389999,106.089996,107.360001,646900,104.629232
"63",107.559998,107.809998,106.809998,107.209999,789400,104.483046
"64",106.650002,106.879997,105.57,105.709999,761300,103.021199
"65",105.349998,105.690002,104.470001,104.879997,954900,102.212309
"66",104.93,106.040001,104.449997,105.980003,653700,103.284336
"67",105.690002,105.739998,103.400002,103.610001,840000,100.974615
"68",103.849998,104.669998,103.709999,104.309998,637500,101.656807
"69",104.220001,105.449997,104.089996,105.139999,526700,102.465698
"70",106.07,106.68,104.889999,105.339996,1485000,102.660608
"71",105.410004,105.970001,104.949997,105.330002,836100,102.650867
"72",105.940002,106.099998,105.330002,106,1293900,103.303824
"73",105.790001,105.849998,104.809998,105.32,728800,102.64112
"74",104.239998,104.610001,104.010002,104.150002,663500,102.140957
"75",104.309998,104.699997,103.43,104.209999,601800,102.199797
"76",104.209999,104.760002,103.160004,103.25,922700,101.258317
"77",103.349998,104.040001,102.339996,103.760002,891200,101.758481
"78",103.339996,104.949997,103.160004,104.830002,918800,102.80784
"79",104.959999,106.160004,104.559998,105.379997,1144700,103.347227
"80",105.529999,106.160004,104.790001,105.07,1128000,103.043209
"81",104.910004,105.589996,104.599998,104.889999,776500,102.866681
"82",105.389999,106.949997,104.540001,106.779999,1008900,104.720222
"83",106.790001,107.349998,106.269997,106.970001,1160800,104.906559
"84",106.849998,107.279999,106.279999,106.360001,991200,104.308326
"85",106.160004,108.129997,105.970001,108.040001,1156200,105.955919
"86",108.129997,108.660004,105.629997,105.709999,1473900,103.670863
"87",106.160004,107.519997,105.550003,105.699997,1315600,103.661053
"88",105.620003,106.300003,102.379997,102.669998,2300800,100.689503
"89",102.980003,103.260002,99.32,102,4334300,100.032429
"90",101.410004,101.809998,98.339996,100.239998,2712800,98.306377
"91",99.269997,101.989998,98.860001,101.610001,2111900,99.649953
"92",102.080002,103.550003,101.959999,103.360001,1238200,101.366195
"93",103.449997,104.699997,103.110001,104.599998,912500,102.582274
"94",105.099998,105.940002,104.75,105.82,1087900,103.778741
"95",105.849998,107.370003,105.589996,105.839996,933500,103.798352
"96",106.800003,107.419998,106.209999,106.639999,954700,104.582923
"97",107.029999,107.959999,106.709999,107.860001,766500,105.779391
"98",107.900002,108.400002,107.25,107.760002,822400,105.681321
"99",108.040001,109.050003,107.529999,109.040001,844600,106.936629
"100",108.910004,109.699997,107.43,108.510002,724700,106.416854
"101",109,110.889999,108.169998,110.489998,1411500,108.358656
"102",110.980003,111.360001,109.760002,110,1337100,107.87811
"103",110.25,111.440002,109.760002,110.839996,905000,108.701903
"104",110.75,111.870003,109.830002,110.900002,872700,108.76075
"105",111.25,113.580002,109.639999,113.440002,1686100,111.251755
