"","HUM.Open","HUM.High","HUM.Low","HUM.Close","HUM.Volume","HUM.Adjusted"
"1",124.919998,126.540001,124.199997,126.540001,657000,125.367886
"2",126.540001,127.169998,125.309998,126.889999,711800,125.714643
"3",126.510002,126.839996,124.93,125.239998,879200,124.079925
"4",125.160004,125.339996,124.010002,124.660004,1044300,123.505303
"5",124.779999,124.779999,122.870003,123.050003,987700,121.910215
"6",123.209999,123.470001,122.360001,122.93,857900,121.791324
"7",123.260002,124.989998,122.400002,124.860001,765000,123.703447
"8",124.910004,126.699997,124.529999,126.580002,640000,125.407517
"9",126.120003,127.220001,125.410004,127.150002,1156900,125.972236
"10",127.239998,127.669998,126.669998,127.32,450400,126.14066
"11",127.07,128,127.029999,127.07,672600,125.892976
"12",127,129.139999,127,128.949997,698300,127.755559
"13",128.850006,128.869995,126.190002,127.800003,613600,126.891749
"14",127.470001,127.989998,126.389999,127.410004,965600,126.504521
"15",127.25,129.360001,126.860001,127.720001,1008900,126.812316
"16",128.220001,129.899994,127.940002,129.289993,1369100,128.37115
"17",128.850006,129.660004,127.209999,129.600006,1587600,128.67896
"18",129.600006,130.419998,128.899994,130.210007,438900,129.284625
"19",129.899994,129.899994,128.039993,128.270004,905400,127.35841
"20",127.580002,127.93,126.889999,127.410004,813400,126.504521
"21",128.149994,128.949997,127.510002,127.699997,792700,126.792453
"22",126.019997,127.68,125.860001,127.080002,669700,126.176865
"23",127.07,127.790001,126.57,127.400002,506500,126.49459
"24",127.849998,128.979996,127.730003,128.5,1107400,127.586771
"25",128.5,129.649994,125.239998,128.639999,979100,127.725775
"26",128.990005,128.990005,127.360001,127.43,676700,126.524376
"27",127.07,133.649994,127.07,131.169998,1779100,130.237794
"28",131.429993,132.899994,130.75,132.600006,837600,131.657639
"29",131.789993,133.210007,130.899994,133.020004,802200,132.074652
"30",133.389999,134.929993,133.240005,133.559998,707100,132.610808
"31",133.910004,134.210007,132.5,133.059998,534200,132.114361
"32",133.509995,134.380005,132.570007,132.899994,1081700,131.955495
"33",127.019997,129.820007,127.019997,128.550003,1361100,127.636419
"34",129.029999,131.089996,128.940002,130.929993,1121400,129.999494
"35",130.570007,130.979996,126.580002,127.519997,1621800,126.613732
"36",125,125,118.529999,120.339996,3908200,119.484759
"37",120.68,120.68,116.379997,117.650002,3028600,116.813882
"38",117.300003,119.110001,117.300003,118.800003,1466100,117.95571
"39",118.699997,120.769997,118.260002,120.360001,1279500,119.504621
"40",119.150002,120.099998,118.529999,119.510002,1784300,118.660664
"41",119.050003,121.209999,119.050003,120.07,800200,119.216681
"42",119.940002,119.940002,115.510002,115.970001,1697800,115.145821
"43",116.290001,118.330002,115.660004,118.110001,1094400,117.270612
"44",118.110001,118.379997,117.050003,117.239998,908100,116.406792
"45",117.440002,118.239998,117.010002,117.660004,750700,116.823813
"46",117.660004,120.169998,117.489998,119.5,1279900,118.650733
"47",120.110001,120.290001,119.440002,120.129997,1041400,119.276253
"48",120.349998,121.059998,118.940002,120.449997,1284000,119.593978
