"","IR.Open","IR.High","IR.Low","IR.Close","IR.Volume","IR.Adjusted"
"1",62.349998,63,62.130001,62.959999,2381000,61.665457
"2",62.470001,62.529999,61.98,62.200001,2250200,61.163954
"3",62.029999,62.360001,61.849998,62.029999,2867000,60.996784
"4",62.060001,62.299999,61.73,62.299999,1826200,61.262287
"5",62.07,62.869999,61.959999,62.84,1990300,61.793293
"6",62.580002,63.23,62.240002,63.02,1954300,61.970295
"7",63,63.52,62.509998,63.470001,1388600,62.412801
"8",63.5,63.689999,63.310001,63.630001,1367900,62.570135
"9",63.849998,64.110001,63.639999,63.990002,2692900,62.92414
"10",63.669998,64.019997,63,63.110001,1439000,62.058796
"11",63.060001,63.400002,62.080002,62.209999,1892500,61.173786
"12",62.169998,62.849998,62.02,62.5,1635100,61.458956
"13",62.689999,62.73,61.98,62.57,1412200,61.52779
"14",62.310001,62.759998,62.200001,62.700001,3799400,61.655626
"15",62.529999,62.93,62.349998,62.509998,1622400,61.468788
"16",62.869999,63.34,62.619999,62.869999,1209300,61.822792
"17",62.849998,63.470001,62.630001,62.709999,1478400,61.665458
"18",62.849998,63.330002,62.84,63.099998,588200,62.048961
"19",62.919998,63.040001,62.240002,62.34,1105300,61.301622
"20",62.349998,62.360001,61.34,61.380001,2065200,60.357613
"21",61.700001,61.970001,61.540001,61.57,1498900,60.544447
"22",60.880001,61.310001,60.400002,60.990002,1969900,59.97411
"23",61.139999,61.610001,60.799999,61.349998,2140300,60.32811
"24",61.84,62.540001,61.799999,62.23,2208400,61.193453
"25",62.119999,62.5,61.360001,61.59,1935700,60.564114
"26",61.73,62.599998,61.700001,62.52,1513100,61.478624
"27",61.849998,62.080002,61.040001,61.080002,1833400,60.062611
"28",61.41,62.34,61.220001,62.200001,2142600,61.163954
"29",61.84,62.220001,61.540001,61.849998,2037800,60.819782
"30",63.009998,64.769997,62.759998,64.5,3271800,63.425643
"31",64.5,64.5,63.93,64.230003,2456500,63.160144
"32",64.169998,64.199997,63.02,63.07,2334600,62.019462
"33",62.779999,63.369999,62.75,63.080002,1461100,62.029297
"34",62.970001,63.119999,62.080002,62.18,2102000,61.144287
"35",62.169998,62.169998,61.169998,61.18,1857000,60.160944
"36",61.5,61.5,60.669998,60.93,2200800,59.915108
"37",60.25,60.400002,58.630001,58.790001,3093200,57.810754
"38",58.400002,59.189999,57.959999,59.150002,3727200,58.164758
"39",59.209999,59.439999,58.709999,59.310001,1516800,58.322093
"40",59.060001,59.970001,58.84,59.02,1326200,58.036922
"41",58.490002,58.950001,57.950001,58.529999,1885800,57.555082
"42",59.27,60.029999,58.849998,58.900002,1868000,57.918922
"43",59.130001,60.009998,58.93,59.93,1325200,58.931764
"44",60.27,60.759998,60.16,60.349998,1352700,59.344767
"45",60.200001,60.73,59.959999,60.279999,1147900,59.275933
"46",60.77,61.189999,60.490002,60.84,1118800,59.826607
"47",60.82,61.139999,60.470001,60.860001,1858400,59.846274
"48",61.130001,61.360001,60.02,60.549999,1993600,59.541436
"49",61.060001,62.189999,60.91,62.18,2551600,61.144287
"50",61.84,62.080002,61.450001,61.549999,2642100,60.52478
"51",61.57,62.130001,61.380001,61.959999,1287500,60.92795
