"","DHR.Open","DHR.High","DHR.Low","DHR.Close","DHR.Volume","DHR.Adjusted"
"1",80.279999,80.589996,79.980003,80.43,1396100,79.880713
"2",80.290001,80.400002,79.949997,80.089996,1955600,79.543031
"3",79.730003,80.309998,79.709999,80.129997,2675300,79.582759
"4",80.019997,80.489998,79.919998,80.269997,1727900,79.721802
"5",80.089996,80.339996,79.889999,80.07,2383200,79.523171
"6",80.18,80.349998,79.919998,80.169998,1633700,79.622487
"7",80.25,80.720001,79.800003,80.669998,1847100,80.119072
"8",80.510002,80.739998,79.970001,80.099998,3294700,79.552965
"9",80.209999,80.709999,79.830002,80.68,4576300,80.129006
"10",80.639999,80.699997,80.209999,80.330002,2049700,79.781398
"11",80.330002,80.330002,79.25,79.25,2789200,78.708772
"12",79.07,79.629997,78.589996,79.489998,2083100,79.046874
"13",79.419998,79.629997,78.68,79.099998,1988500,78.659049
"14",78.980003,79.32,78.760002,79.190002,2526100,78.748551
"15",79.309998,79.330002,78.559998,78.730003,3087900,78.291116
"16",79.160004,79.720001,79.120003,79.5,2722100,79.056821
"17",79.230003,79.480003,78.559998,78.769997,2561900,78.330887
"18",79.260002,79.669998,79.089996,79.449997,2066400,79.007096
"19",79.339996,79.400002,78.379997,78.510002,2598900,78.072342
"20",78.43,78.629997,77.989998,78.190002,2843400,77.754126
"21",78.400002,78.540001,78.010002,78.290001,2341000,77.853567
"22",77.639999,78.330002,77.480003,78,2258700,77.565182
"23",78,78.400002,77.760002,78.379997,1855900,77.943061
"24",78.75,79.129997,78.440002,78.809998,2420500,78.370665
"25",78.639999,79.139999,78.089996,78.239998,2804200,77.803842
"26",78.400002,78.709999,77.879997,78.5,2606400,78.062395
"27",75.709999,75.800003,73.989998,74.07,10008000,73.65709
"28",74.519997,75.440002,73.82,75.110001,5785000,74.691294
"29",74.910004,75.279999,74.57,75.150002,4091300,74.731072
"30",75.370003,76.230003,75.370003,75.800003,5383000,75.37745
"31",76,76.110001,75.410004,75.610001,3631900,75.188506
"32",75.720001,76.190002,75.25,75.970001,3311200,75.5465
"33",75.589996,75.940002,75.5,75.690002,1967600,75.268062
"34",75.529999,75.629997,74.980003,75.209999,2745700,74.790735
"35",75.099998,75.300003,73.940002,74.080002,5120400,73.667037
"36",74.269997,74.459999,73.599998,74.169998,4315500,73.756531
"37",73.75,74.050003,73.290001,73.879997,5065500,73.468147
"38",73.900002,73.93,73.019997,73.339996,5158200,72.931156
"39",73.370003,74.080002,73.059998,74,2845300,73.587481
"40",73.5,74.43,73.150002,73.559998,3393300,73.149931
"41",73.669998,74.269997,73.400002,74.07,4379400,73.65709
"42",74.400002,74.760002,73.790001,73.959999,2859000,73.547703
"43",74.120003,74.919998,73.800003,74.870003,2201000,74.452634
"44",75.099998,75.580002,75.029999,75.209999,2457200,74.790735
"45",74.980003,75.029999,74.160004,74.339996,3420300,73.925582
"46",74.800003,74.989998,74.459999,74.779999,2033600,74.363131
"47",74.540001,74.900002,74.400002,74.879997,2571300,74.462572
"48",75.379997,75.75,74.650002,75.150002,4763900,74.731072
"49",75.57,76.449997,75.370003,76.290001,2054200,75.864716
"50",76.309998,76.699997,76.120003,76.639999,1664800,76.212763
"51",76.629997,77.349998,76.43,77.190002,2460400,76.7597
"52",77.239998,77.510002,76.919998,77.449997,1770100,77.018245
"53",77.129997,77.400002,77,77.040001,2040500,76.610535
"54",77.330002,77.519997,77.139999,77.349998,1428200,76.918804
"55",77.480003,77.589996,77.25,77.330002,1950700,76.898919
"56",77.059998,77.330002,76.529999,76.650002,1119700,76.22271
"57",76.349998,76.5,75.980003,76.330002,1942800,75.904494
"58",76.589996,76.650002,76.019997,76.610001,1502900,76.182932
"59",76.669998,76.93,76.209999,76.419998,2300500,75.993988
"60",77.019997,77.019997,76.449997,76.589996,2423600,76.163039
"61",76.639999,76.940002,76.029999,76.239998,2262900,75.814992
"62",76.029999,77.209999,75.949997,77.139999,2133800,76.709976
"63",77.010002,77.379997,76.830002,77.050003,1965100,76.620481
"64",77,77.059998,76.339996,76.57,1976900,76.143154
"65",76.610001,77.129997,76.480003,76.93,1725700,76.501148
"66",76.669998,77.330002,76.550003,77.279999,1649000,76.849195
"67",77.25,77.279999,76.82,76.879997,1911700,76.451423
"68",77.029999,77.559998,76.550003,76.629997,4159500,76.202817
"69",76.440002,77.660004,76.150002,77.57,3094800,77.137579
