"","PCAR.Open","PCAR.High","PCAR.Low","PCAR.Close","PCAR.Volume","PCAR.Adjusted"
"41",60.849998,62.389999,60.689999,60.939999,1471800,59.224907
"42",61.380001,61.650002,60.509998,60.779999,1335100,59.06941
"43",61,61.990002,60.900002,61.869999,1492200,60.128733
"44",62.060001,62.400002,61.669998,61.900002,1077100,60.157891
"45",61.77,62.349998,61.41,61.720001,790900,59.982957
"46",60.810001,62.02,60.810001,61.98,737900,60.451115
"47",62.139999,62.34,62,62.32,670000,60.782728
"48",62.919998,62.919998,61.75,62.189999,1104400,60.655934
"49",62.73,63.470001,62.209999,63.450001,1070400,61.884855
"50",63.509998,63.77,63.330002,63.549999,912100,61.982387
"51",63.66,64.449997,63.599998,64.300003,1065900,62.71389
"52",64.330002,64.400002,63.259998,63.32,1129800,61.758061
"53",63.380001,63.380001,62.400002,62.75,1130500,61.202122
"54",63.110001,63.32,62.849998,63.16,1071500,61.602008
"55",63.330002,63.360001,62.709999,62.73,679900,61.182615
"56",63.060001,63.060001,62.439999,62.669998,609700,61.124093
"57",62.91,62.91,62.040001,62.689999,808200,61.1436
"58",63.049999,63.049999,62.59,62.810001,828900,61.260643
"59",63.099998,63.099998,62.439999,62.740002,1130900,61.19237
"60",63.119999,63.220001,62.18,62.290001,1169300,60.75347
"61",62.490002,63.029999,62.110001,62.32,1638200,60.782728
"62",62.200001,62.240002,61.389999,61.610001,2249900,60.090243
"63",61.23,61.799999,61.150002,61.470001,996300,59.953697
"64",61.150002,61.5,60.799999,60.82,1588900,59.31973
"65",60.830002,60.98,60,60.549999,1373400,59.056389
"66",60.130001,60.740002,60.110001,60.669998,1212000,59.173428
"67",60.669998,60.810001,59.84,60.139999,1630000,58.656503
"68",60.09,60.220001,59.41,59.540001,1145500,58.071305
"69",59.439999,59.5,58.650002,59.200001,2398200,57.739692
"70",59.380001,60.040001,59.119999,59.650002,2081000,58.178592
"71",59.779999,60.16,59.529999,60.080002,1206900,58.597985
"72",60.169998,60.529999,59.630001,59.779999,2343800,58.305383
"73",59.450001,59.610001,58.720001,59.290001,1596300,57.827472
"74",59.240002,59.240002,58.400002,58.450001,1781600,57.008192
"75",58.779999,58.93,58.150002,58.639999,1712700,57.193504
"76",58.32,58.549999,57.59,57.73,1877700,56.305952
"77",57.599998,57.91,57.419998,57.57,1997800,56.149899
"78",56.869999,57.310001,56.610001,57.200001,2019100,55.789026
"79",57.110001,57.419998,56.740002,56.880001,2460800,55.47692
"80",56.709999,56.830002,56.009998,56.209999,2388100,54.823446
"81",56.16,57.439999,56.099998,57.060001,2922800,55.652481
"82",57.200001,58.060001,57.200001,57.91,2831800,56.481512
"83",58.060001,58.529999,57.98,58.310001,2605000,56.871646
"84",57.959999,58.110001,56.75,56.77,2641200,55.369633
"85",56.68,58.830002,56.389999,58.75,2783200,57.300791
"86",57.490002,58.91,57.169998,57.400002,3410100,55.984094
"87",57.220001,57.68,56.459999,56.48,1964500,55.086786
"88",56.52,56.950001,55.549999,55.59,1657100,54.21874
"89",56.150002,57.709999,56.02,57.07,1727000,55.662232
"90",56.380001,57.389999,55.34,57.07,3408300,55.662232
"91",56.34,58.380001,56,58.049999,2318800,56.618058
"92",58.490002,59.16,58.139999,58.400002,2658400,56.959426
"93",58.18,58.450001,57.52,57.919998,2032600,56.491263
"94",58.240002,59.459999,58.09,59.400002,2373200,57.934759
"95",59.540001,59.669998,58.990002,59.349998,3953900,57.885989
"96",60.029999,60.82,59.810001,60.580002,1836400,59.085652
"97",60.830002,61.490002,60.43,61.400002,1830700,59.885424
"98",60.900002,61.419998,60.52,61.290001,2776400,59.778137
"99",62.610001,63.27,61.959999,62.950001,3468100,61.397189
"100",62.970001,64.089996,62.830002,63.349998,2450100,61.78732
"101",60.419998,63.98,60.419998,63.849998,1979100,62.274986
"102",66.209999,66.209999,64.260002,65.32,3135200,63.708726
"103",65.199997,65.879997,64.900002,65.389999,1991900,63.776999
"104",64.949997,65.599998,64.910004,65.389999,2209500,63.776999
"105",66.449997,67.120003,65.790001,65.949997,2066600,64.323183
