"","DFS.Open","DFS.High","DFS.Low","DFS.Close","DFS.Volume","DFS.Adjusted"
"1",61.779999,61.970001,61.32,61.830002,1854600,60.798158
"2",61.470001,61.84,61.169998,61.43,2254200,60.404831
"3",61.389999,61.599998,61.02,61.27,1528600,60.247502
"4",61.439999,61.490002,60.709999,61.02,1911300,60.001674
"5",60.759998,61.360001,60.400002,61.150002,2156600,60.129505
"6",61.139999,61.759998,60.900002,61.610001,2003700,60.581828
"7",61.450001,62.060001,61.09,62,1984000,60.965319
"8",61.700001,62.150002,61.630001,61.950001,1842900,60.916154
"9",62.290001,62.619999,62.209999,62.439999,3458700,61.397975
"10",62.349998,62.41,62,62.169998,1642800,61.13248
"11",62.040001,62.310001,61.52,61.560001,1924200,60.532663
"12",61.43,61.900002,61.150002,61.759998,2056900,60.729322
"13",61.66,61.860001,61.099998,61.77,1841800,60.739158
"14",61.619999,62.099998,61.5,61.98,2439500,60.945652
"15",61.790001,62.279999,61.73,61.98,1947400,60.945652
"16",62.360001,63.330002,62.32,62.889999,2678500,61.840466
"17",62.610001,62.98,62.599998,62.830002,1942000,61.781469
"18",63.119999,63.48,63.119999,63.25,1120600,62.194458
"19",62.740002,63.220001,62.669998,63.080002,1834100,62.027297
"20",62.740002,62.919998,62.040001,62.209999,2270700,61.171813
"21",62.41,63.099998,62.400002,63.02,2000200,61.968297
"22",62.529999,63.189999,62.25,62.66,2251400,61.614304
"23",62.48,62.73,62.060001,62.560001,1790500,61.515975
"24",63.169998,63.200001,62.380001,62.68,2455600,61.633971
"25",62.779999,63.57,62.75,63.43,2791100,62.371455
"26",63.59,64.110001,63.330002,64.019997,2788100,62.951605
"27",63.740002,64.440002,63.689999,63.919998,3778500,62.853275
"28",64.25,64.25,63.459999,63.810001,2338900,62.745114
"29",63.549999,63.599998,63.150002,63.299999,1708500,62.243623
"30",63.77,64.269997,63.740002,64.059998,2690200,62.990938
"31",63.709999,63.82,62.66,62.889999,3454300,61.840466
"32",63.09,63.34,62.709999,63.259998,2957600,62.20429
"33",62.830002,63,62.5,62.610001,2456700,61.565139
"34",62.720001,62.91,62.23,62.790001,2337000,61.742136
"35",62.82,62.990002,62.34,62.34,2254000,61.299645
"36",62.73,62.830002,61.73,62.549999,3269200,61.506139
"37",62.110001,62.240002,61.040001,61.060001,2635700,60.041007
"38",60.790001,60.889999,59.959999,60.119999,3455500,59.116692
"39",60.349998,60.580002,60.119999,60.459999,2145100,59.451018
"40",59.93,60.189999,59.43,59.59,2876600,58.829064
"41",59.220001,59.919998,59.18,59.82,2660400,59.056127
"42",59.93,60.02,59,59.150002,2852800,58.394684
"43",59.349998,60.080002,59.080002,60.049999,1659200,59.28319
"44",60.34,60.700001,60.18,60.290001,1735700,59.520127
"45",60.200001,60.630001,60.110001,60.57,2285800,59.79655
"46",60.939999,61.189999,60.790001,61.09,1765300,60.30991
"47",61.02,61.299999,60.619999,60.810001,1925400,60.033487
"48",60.990002,61.18,60.130001,60.369999,2423400,59.599103
"49",60.869999,61.09,60.639999,61.060001,1585800,60.280294
"50",61.119999,61.349998,61.07,61.240002,1176100,60.457996
"51",61.27,62.25,61.139999,62.119999,2320200,61.326756
"52",62.25,62.599998,61.91,62.439999,1818200,61.64267
"53",62.34,62.700001,61.98,62.029999,1498400,61.237905
"54",62.450001,63.16,62.369999,62.66,1377200,61.859862
"55",62.720001,62.82,62.509998,62.599998,1168600,61.800627
"56",62.860001,62.860001,62.48,62.73,1586200,61.928968
"57",62.310001,62.610001,62.130001,62.41,958800,61.613054
"58",62.66,62.860001,62.279999,62.369999,2391100,61.573564
"59",62.84,63.669998,62.75,63.470001,2323100,62.65952
"60",63.790001,63.849998,63.279999,63.599998,1903900,62.787857
"61",63.720001,64.040001,63.279999,63.41,1675800,62.600285
"62",63.439999,63.790001,63.209999,63.759998,1210500,62.945814
"63",63.529999,63.959999,63.240002,63.540001,1395600,62.728626
"64",63.400002,63.919998,62.900002,62.939999,1992300,62.136285
"65",63,63.529999,62.93,62.990002,1575800,62.18565
"66",62.580002,63,62.540001,62.740002,1851400,61.938842
"67",62.740002,62.790001,62.209999,62.43,2487500,61.632799
"68",62.540001,62.880001,62.299999,62.779999,1924200,61.978328
"69",62.73,63.66,62.529999,63.419998,1929400,62.610155
"70",63.540001,65.800003,63.490002,64.660004,5639000,63.834326
"71",65.150002,65.919998,65.07,65.589996,2719000,64.752444
"72",65.889999,65.980003,65.220001,65.300003,3089700,64.466153
"73",65.019997,65.470001,64.910004,65.169998,1896500,64.337809
"74",65.099998,65.110001,64.379997,64.379997,1595000,63.557896
"75",64.389999,64.949997,64.260002,64.870003,1313600,64.041644
"76",64.730003,64.75,63.650002,63.650002,1742400,62.837222
"77",63.740002,65.160004,63.73,64.970001,2169300,64.140365
"78",64.029999,64.599998,63.73,64.449997,2003700,63.627001
"79",64.32,64.669998,64.089996,64.389999,2420800,63.56777
"80",64.260002,64.389999,63.43,63.529999,2206200,62.718751
"81",63.470001,64.029999,62.799999,63.68,2337700,62.866837
"82",64.239998,64.959999,64.239998,64.830002,1952100,64.002154
"83",65.400002,65.529999,64.589996,64.93,1843900,64.100875
"84",64.459999,64.470001,63.48,63.48,1969500,62.66939
"85",63.610001,64.870003,63.07,64.830002,2912700,64.002154
"86",64.809998,64.959999,63.470001,63.509998,2533000,62.699006
"87",63.560001,64.139999,62.82,62.82,1780100,62.017818
"88",62.959999,63.060001,61.849998,61.919998,2377200,61.129309
"89",62.029999,63.110001,62.029999,62.669998,2750600,61.869732
"90",61.540001,62.450001,60.41,62.07,3583900,61.277396
"91",61.02,62.23,60.439999,61.82,2829800,61.030588
"92",62.509998,63.220001,62,62.450001,3178400,61.652544
"93",62.450001,62.849998,62.32,62.700001,2386800,61.899352
"94",63.18,64.610001,63.029999,64.379997,2819300,63.557896
"95",61.279999,62.439999,60.689999,61.009998,7526300,60.23093
"96",61.91,62.27,61.650002,61.889999,3325100,61.099694
"97",61.990002,62.41,61.790001,62.34,2042500,61.543948
"98",62.299999,62.419998,61.93,62.240002,2504900,61.445227
"99",62.720001,63.23,62.369999,63.119999,2150500,62.313987
"100",63.09,63.52,62.540001,62.959999,2819200,62.15603
"101",63.27,63.48,62.580002,62.84,3600600,62.037563
"102",63.77,63.919998,63.07,63.779999,4198400,62.965559
"103",63.950001,64.25,63.68,63.75,2063600,62.935943
"104",63.580002,64.360001,63.439999,64.199997,3372900,63.619702
"105",64.690002,64.980003,64.190002,64.830002,3521800,64.244012
"106",65.029999,65.730003,64.730003,65.690002,2526300,65.096239
"107",65.660004,66.099998,65.510002,66.029999,1948600,65.433162
"108",66.029999,66.339996,65.82,66.339996,1795500,65.740358
"109",66.449997,66.75,66.169998,66.379997,1774700,65.779997
"110",66,66.300003,65.720001,66.010002,1618900,65.413347
"111",65.459999,66.059998,64.739998,65.239998,3301800,64.650302
"112",64.970001,65.349998,64.849998,64.980003,1885600,64.392658
"113",64.669998,65.309998,64.459999,65.239998,2221900,64.650302
"114",65.150002,65.5,64.959999,64.980003,2098600,64.392658
"115",64.970001,64.970001,64.099998,64.400002,2397700,63.817899
"116",64.010002,64.639999,63.75,64.18,3115100,63.599886
"117",64.800003,65.139999,64.199997,64.309998,2633500,63.728708
"118",64.480003,65.339996,64.480003,65.160004,2269800,64.571031
"119",65.339996,65.599998,65.169998,65.339996,1996400,64.749397
"120",65.459999,65.540001,64.720001,64.970001,2099700,64.382746
"121",64.93,65.639999,64.889999,65.550003,1643600,64.957505
"122",65.540001,65.620003,65.040001,65.25,1758900,64.660214
"123",65.110001,65.5,65.010002,65.410004,1937600,64.818771
"124",65.330002,65.699997,64.919998,65.18,1835700,64.590847
"125",65.160004,65.269997,64.709999,64.959999,1794000,64.372834
"126",65.129997,65.599998,64.709999,64.849998,3295200,64.263828
"127",64.849998,65.440002,64.620003,64.940002,3643800,64.353018
"128",64.199997,64.860001,64.089996,64.660004,2628600,64.075551
"129",64.589996,64.800003,63.040001,63.139999,4133900,62.569285
"130",63.279999,64.089996,63.060001,63.220001,3651600,62.648564
"131",62.790001,63.220001,61.790001,61.810001,2904900,61.251309
"132",62.049999,62.400002,60.810001,61.23,3769700,60.67655
"133",60.75,61.400002,60.150002,60.419998,4330400,59.87387
"134",60.580002,62.5,60.439999,62.419998,3939700,61.855792
"135",63.360001,65.059998,63.23,65.010002,5198000,64.422385
"136",65.309998,65.690002,64.690002,65.089996,4376700,64.501657
"137",65.110001,65.669998,64.650002,65.660004,3099500,65.066512
"138",66.330002,66.580002,66.029999,66.169998,1733900,65.571896
"139",66.260002,66.489998,65.919998,65.949997,668000,65.353884
"140",66.220001,66.720001,66.080002,66.269997,1122600,65.670991
"141",66.080002,66.699997,66.059998,66.190002,1164400,65.59172
"142",66.150002,66.5,65.959999,66.32,1162500,65.720542
"143",66.449997,66.610001,65.459999,65.489998,1505200,64.898043
"144",65.93,66.019997,64.709999,65.360001,1648700,64.76922
"145",65.080002,65.099998,63.689999,63.900002,2175900,63.322418
"146",64.07,64.099998,62.25,62.400002,2944200,61.835976
"147",62.889999,63.669998,62.779999,63.330002,2382200,62.75757
"148",64.010002,64.699997,63.849998,64.349998,2046600,63.768347
"149",64.349998,64.620003,63.279999,63.32,2585900,62.747659
"150",63.52,63.700001,62.580002,63.02,1731800,62.450371
"151",63.689999,64.099998,61.919998,62.439999,3651600,61.875612
"152",61.139999,61.82,60.349998,61.119999,3776800,60.567543
"153",61.119999,61.889999,60.060001,60.099998,4487500,59.556763
"154",59.779999,60.23,59.099998,60.169998,6404500,59.62613
"155",60.5,60.93,60.380001,60.869999,4149200,60.319803
"156",60.77,61.209999,60.259998,60.84,5609500,60.290076
"157",58.029999,58.040001,55.759998,57.32,19602100,56.801892
"158",57.25,58.490002,56.5,56.580002,8161900,56.068583
"159",56.959999,56.959999,56.049999,56.700001,7049100,56.187497
"160",56.040001,56.639999,55.66,55.740002,5257900,55.236175
"161",55.889999,56.299999,55.009998,55.040001,6460100,54.542502
"162",54.68,55.119999,54.02,54.84,7319600,54.344309
"163",54.439999,55.049999,54.23,54.380001,6967100,53.888468
"164",54.41,55.41,54.09,55.310001,5047300,54.810062
"165",55.32,56.400002,55.220001,56.369999,6600900,56.103924
"166",56.009998,57.189999,55.990002,56.759998,6332600,56.492083
"167",56.93,57.73,56.880001,57.5,6071400,57.228591
"168",57.869999,59.419998,57.77,58.549999,6968700,58.273634
"169",58.110001,58.860001,57.82,58.700001,4078200,58.422928
"170",59.189999,59.259998,58.220001,58.759998,3386500,58.482642
"171",58.52,58.82,58.220001,58.5,4638100,58.223871
"172",58.599998,59.470001,58.18,59.43,4871200,59.149482
"173",59.360001,60.029999,59.16,59.889999,5201400,59.60731
