"","CI.Open","CI.High","CI.Low","CI.Close","CI.Volume","CI.Adjusted"
"1",89.82,90.059998,89.160004,89.839996,1051000,89.810544
"2",89.690002,91.629997,89.669998,91.459999,1837500,91.430016
"3",91.019997,91.410004,90.099998,90.739998,1360200,90.710251
"4",90.449997,91.040001,89.879997,91.019997,1253800,90.990158
"5",90.870003,91.349998,89.989998,90.699997,1655200,90.670263
"6",90.480003,90.739998,89.550003,90,1303300,89.970496
"7",89.919998,90.610001,89.519997,90.580002,922900,90.550307
"8",90.790001,91.809998,90.279999,91.370003,1119000,91.340049
"9",91.650002,91.980003,91.169998,91.860001,1988900,91.829887
"10",91.980003,91.989998,91.269997,91.459999,820700,91.430016
"11",91.470001,91.769997,90.269997,90.279999,1324500,90.250403
"12",90.480003,92.110001,90.349998,92.110001,1442400,92.079805
"13",91.739998,91.870003,90.739998,91.349998,1010800,91.320052
"14",91.580002,92.169998,91.07,91.919998,1136800,91.889864
"15",92.129997,93.199997,91.68,91.970001,1530700,91.939851
"16",92,93.309998,92,92.620003,1100900,92.58964
"17",92.290001,92.940002,91.25,92.839996,857600,92.809561
"18",93.269997,94.239998,93.129997,93.660004,663300,93.6293
"19",92.800003,93.389999,92.029999,92.43,874800,92.399699
"20",92.279999,92.339996,91.559998,91.919998,925500,91.889864
"21",92.019997,92.589996,91.970001,92.519997,1262700,92.489666
"22",91.669998,92.93,91.580002,92.300003,1250900,92.269745
"23",92.139999,93.610001,91.949997,93.360001,1221000,93.329395
"24",93.650002,95.169998,93.639999,94.220001,1910100,94.189113
"25",93.879997,94.93,93.620003,94.050003,2113100,94.019171
"26",94.279999,94.559998,93.769997,93.959999,2599300,93.929197
"27",95.220001,95.870003,93.650002,94.489998,3045400,94.459022
"28",94.68,96.389999,94.199997,96.32,1781000,96.288424
"29",95.769997,95.959999,94.879997,95.529999,2327400,95.498682
"30",96.080002,97.129997,95.910004,96.389999,1672200,96.3584
"31",96.639999,97.279999,96.099998,96.800003,1164600,96.76827
"32",96.709999,97.239998,96.510002,96.75,1038700,96.718283
"33",95.290001,96.300003,94.400002,95.760002,764800,95.72861
"34",95.790001,96.949997,95.529999,96.870003,976200,96.838246
"35",96.599998,96.629997,93.620003,94.629997,3099600,94.598975
"36",95.290001,95.290001,92.209999,93.5,3324200,93.469348
"37",90.059998,91.639999,87.330002,90.040001,4402800,90.010484
"38",90.220001,91.769997,90,90.760002,1577200,90.730249
"39",91.080002,92.080002,90.230003,91.809998,1502400,91.7799
"40",91.650002,92.459999,90.629997,90.870003,1473200,90.840213
"41",90.599998,92.269997,90.599998,91.470001,920900,91.440015
"42",91.489998,91.589996,88.660004,88.75,2160800,88.720905
"43",88.839996,90.68,88.690002,90.599998,1273700,90.570297
"44",90.809998,90.940002,89.970001,90.010002,1822500,89.980495
"45",90.150002,91.279999,90.010002,90.470001,1840700,90.440343
"46",90.93,91.620003,90.349998,91.339996,1752100,91.310053
"47",91.449997,93.209999,91.190002,92.970001,1335100,92.939523
"48",93,93.169998,91.529999,92.559998,1333300,92.529654
"49",93,93.160004,92.269997,93.150002,567000,93.119465
"50",93.129997,93.760002,92.720001,93.68,736000,93.64929
"51",93.559998,93.989998,93.019997,93.949997,575800,93.919198
"52",93.949997,94.519997,93.459999,93.970001,618500,93.939195
"53",94,94.059998,92.93,93.139999,819000,93.109466
"54",93.379997,93.870003,93.059998,93.279999,637800,93.249419
"55",93.559998,93.959999,93.230003,93.760002,1073600,93.729265
"56",93.769997,94.510002,93.300003,94.480003,1235800,94.44903
"57",94.25,95.309998,94.25,94.529999,943500,94.499009
"58",94.760002,95.650002,94.279999,94.599998,1182100,94.568986
"59",94.919998,95.099998,93.449997,94.199997,826100,94.169116
"60",94.339996,95.139999,94.209999,94.75,1164000,94.718939
"61",94.919998,97.07,94.839996,95.489998,1140900,95.458694
"62",95.550003,96.760002,95.459999,96.389999,1217500,96.3584
"63",96.099998,96.269997,95.559998,96.010002,821000,95.978528
"64",96.010002,96.629997,95.68,95.980003,1034800,95.948539
"65",96.330002,96.330002,94.019997,94.330002,1432700,94.299078
"66",93.75,94.010002,92.519997,93.349998,1537900,93.319396
"67",93.599998,93.599998,92.010002,92.32,983600,92.289735
"68",92.139999,92.400002,91.480003,91.519997,1198400,91.489994
"69",91.620003,93.419998,91.099998,93.239998,1061700,93.209431
"70",94.290001,94.889999,93.669998,94.089996,1432900,94.059151
"71",94.360001,95.459999,94.32,95.209999,1093000,95.178787
"72",95.669998,95.970001,95.010002,95.25,1672300,95.218775
"73",95.169998,95.790001,94.519997,94.699997,863100,94.668952
"74",94.360001,94.709999,92.959999,92.980003,1088400,92.949522
"75",93.169998,94.989998,92.730003,94.82,854300,94.788915
"76",94.639999,94.639999,91.339996,91.720001,1496300,91.689933
"77",91.769997,92.129997,91.150002,91.82,1025800,91.789899
"78",90.970001,91.779999,90.830002,91.239998,1317800,91.210087
"79",91.43,91.699997,90.529999,90.690002,1392300,90.660272
"80",90.790001,90.949997,89.199997,89.440002,1296400,89.410682
"81",89.379997,89.68,87.760002,88.720001,1545000,88.690917
"82",89.519997,90.940002,89.019997,90.589996,2639800,90.560299
"83",90.970001,91.400002,88.760002,89.190002,1417000,89.160764
"84",89.050003,90.830002,88.779999,89.110001,2611500,89.080788
"85",89.349998,91.470001,89.190002,91.419998,1413600,91.390028
"86",91.419998,91.860001,89.779999,89.980003,1196000,89.950506
"87",90.199997,92.07,90.199997,90.589996,1510800,90.560299
"88",90.339996,91.169998,89.550003,89.68,1594200,89.650601
"89",88.980003,89.059998,86.699997,87.709999,3865700,87.681246
"90",86.5,89.099998,85.75,88.730003,3128400,88.700915
"91",88.059998,89.949997,87.669998,88.029999,2593500,88.00114
"92",88.849998,90.370003,88.32,89.040001,1687700,89.010811
"93",89.300003,90.699997,89.190002,90.599998,986000,90.570297
"94",91.43,92.889999,91.260002,92.709999,1249700,92.679606
"95",92.940002,93.080002,91.410004,91.449997,1735800,91.420017
"96",92.529999,93.110001,92.029999,92.269997,874500,92.239748
"97",92.440002,92.860001,91.550003,92.830002,756600,92.79957
"98",92.849998,93.239998,92.360001,92.650002,713300,92.619628
"99",91.480003,92.580002,90.550003,92.580002,1532400,92.549652
"100",92.900002,94.139999,92.690002,94,2970900,93.969184
"101",94.5,97.559998,94.5,97.099998,3045000,97.068167
"102",98.660004,99.75,97.580002,99.57,2593600,99.537358
"103",99.639999,100.639999,99.379997,99.730003,1659500,99.697309
"104",99.5,101.269997,99.480003,101.019997,3345400,100.98688
"105",102.160004,102.160004,99.779999,100,2339800,99.967217
"106",100.279999,101.900002,99.910004,101.339996,2014400,101.306774
"107",100.57,101.209999,98.120003,98.989998,2584900,98.957546
"108",98.970001,101.730003,98.93,101.279999,1980300,101.246797
"109",101.519997,102.669998,101.459999,102.129997,1924400,102.096516
"110",101.599998,102.379997,101.360001,102.110001,1479400,102.076526
"111",102.080002,103.5,101.879997,102.709999,2110100,102.676328
"112",102.75,102.970001,101.449997,101.900002,1706600,101.866596
"113",101.910004,103.220001,101.889999,102.940002,1468400,102.906256
"114",102.970001,104.550003,102.970001,103.949997,1579700,103.915919
"115",103.980003,103.980003,102.370003,102.629997,1419200,102.596353
"116",102.360001,102.690002,101.879997,102.209999,1369800,102.176492
"117",103.279999,103.32,102.010002,102.18,1566400,102.146503
"118",102.610001,102.889999,101.93,102.400002,1838500,102.366432
"119",102.489998,102.610001,101.129997,101.900002,1434300,101.866596
"120",102.18,102.669998,101.330002,102.010002,1045700,101.976561
"121",102.43,103.589996,102.43,102.889999,938300,102.856269
"122",102.629997,103.360001,101.870003,102.559998,1376100,102.526376
"123",102.93,103.989998,102.470001,103.379997,1493500,103.346107
"124",103.839996,104.550003,103.459999,104.029999,1207900,103.995895
"125",104,104.110001,102.459999,103.190002,1184000,103.156174
"126",103.459999,105.07,103.32,104.709999,1160900,104.675672
"127",104.599998,105.599998,104.339996,104.879997,1120500,104.845615
"128",103.269997,104.639999,103.019997,104.389999,1064100,104.355778
"129",104.160004,104.43,102.260002,102.400002,1442600,102.366432
"130",102.639999,103.599998,102.199997,102.43,1307500,102.396421
"131",101.629997,103.459999,101.529999,101.730003,1184800,101.696654
"132",102.580002,103.43,100.410004,101.349998,1415000,101.316773
"133",101.160004,102.959999,99.879997,99.970001,1131600,99.937229
