"","VRSN.Open","VRSN.High","VRSN.Low","VRSN.Close","VRSN.Volume","VRSN.Adjusted"
"60",57.290001,57.490002,56.630001,56.73,1185200,56.73
"61",56.790001,57.400002,56.59,57.049999,849300,57.049999
"62",56.91,57.279999,56.84,57.23,697800,57.23
"63",57.09,57.43,56.689999,56.849998,1687200,56.849998
"64",56.900002,56.98,55.91,55.939999,1648900,55.939999
"65",56.07,56.59,55.950001,56.459999,1854600,56.459999
"66",56.330002,56.720001,56.189999,56.529999,1285500,56.529999
"67",56.130001,56.75,56.07,56.150002,764700,56.150002
"68",56.23,56.740002,55.5,55.580002,1159700,55.580002
"69",55.439999,55.939999,55.110001,55.75,981900,55.75
"70",55.68,56.240002,55.450001,55.639999,1134500,55.639999
"71",55.950001,56.169998,55.459999,55.790001,1294900,55.790001
"72",55.759998,55.939999,54.810001,55.84,4414700,55.84
"73",55.790001,56.25,55.330002,55.540001,1160300,55.540001
"74",55.349998,55.709999,55.220001,55.330002,751800,55.330002
"75",55.450001,56.400002,55.369999,56.209999,877800,56.209999
"76",55.900002,56.150002,55.169998,55.290001,1176500,55.290001
"77",55.34,55.689999,55.16,55.490002,667100,55.490002
"78",55.029999,55.57,54.889999,55.209999,948400,55.209999
"79",55.27,55.610001,55.060001,55.119999,804100,55.119999
"80",55.009998,55.110001,54.049999,54.310001,885900,54.310001
"81",54.490002,56.060001,54.32,55.52,1484000,55.52
"82",55.959999,56.400002,55.52,56.02,726700,56.02
"83",56.310001,56.450001,55.43,55.830002,539100,55.830002
"84",55.560001,55.970001,55,55.009998,642600,55.009998
"85",55.110001,56.299999,54.830002,56.130001,649700,56.130001
"86",55.91,56.25,55.150002,55.25,572900,55.25
"87",55.130001,55.709999,53.869999,53.869999,1032500,53.869999
"88",53.860001,54.540001,53.040001,53.68,1028500,53.68
"89",54.139999,54.68,53.529999,53.630001,1168600,53.630001
"90",53.169998,53.66,52.330002,53.139999,1226400,53.139999
"91",52.290001,54.080002,52.099998,53.75,987900,53.75
"92",54.57,55.060001,54,54.240002,866400,54.240002
"93",53.91,55.23,53.330002,55.169998,599300,55.169998
"94",55.380001,56.740002,54.98,56.610001,989200,56.610001
"95",56.700001,57.009998,55.139999,55.189999,1081000,55.189999
"96",55.419998,56.419998,55.029999,56.34,1297600,56.34
"97",56.439999,59.849998,56.43,58.549999,1866700,58.549999
"98",58.369999,59.200001,58.209999,58.639999,1036100,58.639999
"99",58.75,59.279999,58.450001,59.040001,1118700,59.040001
"100",58.93,59.27,58.330002,58.73,762700,58.73
