"","NSC.Open","NSC.High","NSC.Low","NSC.Close","NSC.Volume","NSC.Adjusted"
"1",102.93,103.050003,101.239998,101.919998,1121300,99.121198
"2",101.599998,102.169998,101.379997,101.75,902700,98.955868
"3",101.540001,101.559998,100,100.199997,1121300,97.448429
"4",100.519997,101.32,100.43,101.160004,981700,98.382074
"5",101.099998,102.080002,100.730003,101.559998,1391700,98.771083
"6",101.32,101.809998,100.760002,101.5,1124900,98.712733
"7",101.68,102.889999,101.519997,102.82,1345900,99.996485
"8",102.720001,103.379997,102.400002,103.160004,1068000,100.327152
"9",103.449997,104.489998,103.190002,104.410004,1633300,101.542826
"10",104.269997,104.629997,103.07,103.349998,1228900,100.51193
"11",103.150002,103.629997,102.089996,102.129997,1150500,99.325431
"12",102.18,102.75,101.699997,102.300003,1365900,99.490768
"13",102.389999,102.470001,101.160004,101.639999,2002300,98.848888
"14",101.169998,101.970001,101.019997,101.650002,2032200,98.858616
"15",102.669998,104.580002,102.269997,103.029999,1853700,100.200717
"16",103.209999,103.75,102.470001,102.550003,1829600,99.733903
"17",103.080002,103.629997,102.309998,103.559998,1664300,100.716162
"18",103.82,104.290001,103.480003,103.839996,782500,100.988472
"19",103.580002,103.839996,103.010002,103.230003,1190400,100.39523
"20",103.18,103.489998,102.260002,102.690002,1393800,99.870058
"21",103.279999,103.830002,102.830002,103.400002,963000,100.56056
"22",102.25,102.720001,101.830002,102.410004,1365400,99.597748
"23",102.449997,104.059998,102.300003,103.949997,1356000,101.095452
"24",104.220001,105.050003,104.220001,104.43,1032200,101.562274
"25",104.07,105.110001,104.07,104.349998,2011100,101.484469
"26",104.489998,105.370003,103.970001,105.300003,1122900,102.408386
"27",104.510002,105.470001,104.330002,104.379997,1479500,101.513644
"28",104.660004,106.220001,104.629997,106.18,1152900,103.264217
"29",105.720001,106.370003,105.519997,106.220001,1148500,103.30312
"30",106.970001,107.809998,106.400002,107.610001,1696100,104.654949
"31",108.419998,108.839996,106.050003,106.839996,1922400,103.906089
"32",107.190002,108.300003,106.879997,107.779999,1673300,104.820279
"33",107.629997,107.889999,107.120003,107.5,989100,104.547969
"34",107.029999,107.400002,105.019997,105.330002,1650800,102.437561
"35",105.25,105.400002,103.440002,103.459999,1879800,100.61891
"36",103.519997,104.050003,103.18,103.650002,1663400,101.362138
"37",103.459999,103.459999,101.550003,101.660004,1341700,99.416065
"38",101.540001,102.019997,100.150002,101.199997,1581100,98.966212
"39",101.209999,101.419998,99.860001,101.370003,2143200,99.132466
"40",100.629997,101.919998,100.459999,100.690002,1741700,98.467475
"41",99.980003,100.849998,99.629997,100.089996,1662800,97.880713
"42",100.080002,101.099998,99.760002,100,1764300,97.792703
"43",100.089996,101.440002,99.82,101.370003,1720800,99.132466
"44",101.510002,103.419998,101.400002,102.839996,1467900,100.570012
"45",102.279999,103.040001,102.010002,102.449997,1053500,100.188621
"46",102.489998,103.370003,102.489998,103.230003,903000,100.951411
"47",103.290001,104.080002,103.199997,103.970001,914200,101.675074
"48",104.449997,104.68,103.529999,104.489998,1178200,102.183593
"49",105.449997,106.139999,105.010002,106.029999,1358100,103.689602
"50",106.169998,106.589996,105.800003,106.080002,1103000,103.738501
"51",106.110001,106.919998,105.980003,106.360001,2115600,104.012319
"52",106.57,106.620003,104.220001,105.18,2992200,102.858365
"53",105.110001,105.879997,105.040001,105.480003,1155400,103.151746
"54",105.949997,106.080002,105.379997,105.550003,590200,103.220201
"55",105.879997,106.059998,105.510002,105.529999,916600,103.200638
"56",106.139999,106.93,106,106.82,1238600,104.462165
"57",106.330002,106.769997,106.110001,106.580002,815900,104.227465
"58",106.800003,107,106.290001,107,699300,104.638192
"59",107,107.870003,106.639999,107.010002,1317100,104.647973
"60",107.339996,108.489998,107.339996,107.959999,1267700,105.577001
"61",106.599998,109.220001,106.599998,108.559998,1731700,106.163756
"62",108.669998,109.610001,108.300003,109.550003,1808300,107.131909
"63",109.410004,109.699997,108.169998,108.639999,1365000,106.241992
"64",108.639999,109.199997,108.120003,108.779999,1240100,106.378901
"65",108.870003,109.129997,107.75,107.989998,1485400,105.606338
"66",107.699997,108.650002,107.540001,108.639999,888600,106.241992
