"","HRS.Open","HRS.High","HRS.Low","HRS.Close","HRS.Volume","HRS.Adjusted"
"1",77.110001,77.650002,77.110001,77.459999,304600,75.508173
"2",77.129997,77.769997,77.129997,77.379997,370800,75.430187
"3",77.150002,77.150002,76.040001,76.260002,319200,74.338413
"4",76.690002,76.769997,75.75,75.989998,388600,74.075212
"5",75.790001,76.559998,75.669998,75.75,310600,73.841262
"6",75.75,76.169998,75.349998,75.699997,440000,73.792519
"7",75.809998,75.870003,75.050003,75.580002,515100,73.675547
"8",75.900002,76.230003,75.080002,75.5,543300,73.597561
"9",75.800003,76.129997,75.629997,75.779999,677600,73.870505
"10",75.699997,76,75.43,75.610001,323700,73.70479
"11",75.580002,75.959999,75.029999,75.040001,483200,73.149153
"12",74.900002,75.480003,74.550003,75.019997,344800,73.129653
"13",74.900002,75.629997,74.599998,75.510002,303500,73.607311
"14",75.550003,76.059998,75.300003,75.980003,477300,74.06547
"15",75.82,76.199997,75.589996,75.75,369500,73.841262
"16",76,76.5,75.800003,76,598200,74.084962
"17",75.75,75.989998,75.480003,75.629997,428800,73.724283
"18",75.720001,76.339996,75.669998,76.18,277600,74.260427
"19",75.809998,76.190002,73.639999,73.709999,1024700,71.852665
"20",73.75,73.889999,73.220001,73.400002,1023200,71.550478
"21",73.470001,73.809998,73.110001,73.349998,657000,71.501735
"22",71.519997,73.629997,71.169998,73.230003,651400,71.384764
"23",73.410004,73.699997,72.650002,73.040001,519100,71.199549
"24",73.769997,73.830002,73.099998,73.129997,370700,71.287278
"25",73.129997,73.739998,72.769997,73.160004,561700,71.316528
"26",73.650002,73.690002,73.099998,73.529999,399300,71.6772
"27",73.290001,73.940002,72.860001,72.889999,472900,71.053327
"28",73.029999,73.849998,72.870003,73.730003,375500,71.872165
"29",73.18,74.110001,73.029999,73.760002,436000,71.901408
"30",74.209999,74.400002,73.18,73.410004,598200,71.560228
"31",73.669998,73.769997,72.82,73.099998,469600,71.258035
"32",73.370003,73.519997,73.040001,73.360001,376700,71.511485
"33",73.160004,73.629997,72.550003,72.690002,469500,70.85837
"34",72.839996,73,72.010002,72.370003,945300,70.546433
"35",72.290001,72.290001,68,68.150002,2305500,66.432767
"36",67.199997,69.940002,66.849998,69.449997,1508500,67.700005
"37",68.839996,69.400002,68.010002,68.269997,874800,66.549739
"38",68.050003,68.879997,67.93,68.440002,659600,66.715461
"39",68.470001,69.269997,68.370003,69.080002,675200,67.339333
"40",68.660004,69.639999,68.449997,69.089996,688300,67.349076
"41",68.879997,69.339996,68.620003,68.980003,544100,67.241855
"42",69.230003,69.769997,68.099998,68.220001,502700,66.501003
"43",68.580002,69.239998,68.230003,69.139999,437500,67.397819
"44",69.139999,69.510002,68.650002,68.709999,363300,66.978654
"45",68.690002,68.919998,68.330002,68.730003,643400,66.998154
"46",69,69.559998,68.760002,69.470001,500100,67.719506
"47",69.370003,69.470001,68.769997,68.989998,685300,67.251597
"48",69.080002,69.230003,68.239998,69.019997,522100,67.28084
"49",69.459999,69.660004,69.059998,69.629997,371500,67.87547
"50",70.010002,70.279999,69.660004,70.120003,435600,68.353128
"51",69.839996,70.599998,69.720001,70.449997,483100,68.674808
"52",70.300003,71.099998,70.110001,71.050003,344900,69.259695
"53",70.989998,71.370003,70.669998,71.019997,426300,69.230444
"54",71.169998,71.68,70.809998,70.830002,311000,69.045237
"55",70.830002,71.370003,70.760002,71.129997,358700,69.337673
"56",71.129997,71.900002,70.639999,70.730003,456400,68.947758
"57",70.629997,71.110001,70.349998,70.919998,432900,69.132966
"58",70.970001,71.480003,70.800003,71.389999,377300,69.591124
"59",71.260002,71.400002,70.629997,71,440100,69.210952
"60",71,71.309998,70.790001,71.029999,685000,69.240195
"61",71.169998,71.580002,70.150002,70.220001,674500,68.450607
"62",69.699997,70.730003,69.470001,70.690002,505400,69.373096
"63",70.660004,71.089996,70.139999,70.550003,331100,69.235705
"64",70.559998,70.739998,69.620003,69.739998,405900,68.44079
"65",69.860001,70.379997,69.650002,69.839996,540200,68.538925
"66",69.669998,70.610001,69.339996,70.440002,394400,69.127754
"67",70.400002,70.449997,69.309998,69.769997,620700,68.47023
"68",69.93,70.029999,68.879997,68.949997,441300,67.665506
"69",69.389999,69.809998,69.139999,69.68,304300,68.38191
"70",69.650002,70.050003,69.470001,69.739998,351400,68.44079
"71",69.839996,70.5,69.839996,70.25,246700,68.941291
"72",70.75,70.839996,69.540001,69.870003,927500,68.568373
"73",69.660004,69.660004,68.25,68.300003,534200,67.027621
"74",68.029999,68.5,67.790001,67.879997,459800,66.61544
"75",67.900002,68.379997,67.730003,68.239998,314700,66.968734
"76",68.019997,68.110001,67.269997,67.279999,428600,66.026619
"77",67.379997,67.760002,67.089996,67.720001,373000,66.458424
"78",67.059998,67.449997,66.919998,67.160004,450900,65.908859
"79",67.330002,67.360001,66.400002,66.400002,548400,65.163015
"80",66.339996,66.709999,66.040001,66.400002,834300,65.163015
"81",66.519997,66.889999,64.93,66.059998,561100,64.829345
"82",66.279999,66.43,65.410004,65.559998,692000,64.33866
"83",65.989998,66.209999,65.510002,65.809998,603900,64.584003
"84",65.559998,66.150002,64.599998,64.699997,942800,63.49468
"85",64.599998,65.519997,63.470001,65.440002,636100,64.2209
"86",65.230003,65.489998,63.580002,63.610001,423900,62.42499
"87",63.310001,63.419998,61.869999,61.900002,787800,60.746847
"88",62.029999,62.830002,61.5,61.52,588000,60.373925
"89",61.73,62.57,61.529999,61.82,476800,60.668336
"90",61.049999,62.950001,60.779999,62.779999,858200,61.610451
"91",61.700001,63.360001,61.700001,62.990002,551800,61.816541
"92",63.619999,64.519997,63.380001,64.230003,698500,63.033443
"93",64.099998,64.940002,63.98,64.739998,624200,63.533936
"94",65.269997,66.68,65.269997,66.610001,503300,65.369102
"95",66.809998,67.25,65.989998,66.010002,760600,64.780281
"96",66.879997,67.220001,66.389999,66.769997,320700,65.526118
"97",66.68,67.370003,66.279999,67.330002,318900,66.07569
"98",67.419998,68.050003,66.519997,67.989998,807700,66.723391
"99",68.400002,68.989998,67.639999,68.349998,762400,67.076685
"100",68.580002,68.949997,67.860001,68.559998,698900,67.282772
"101",68.07,69.25,67.650002,68.980003,645100,67.694953
"102",69.900002,70.050003,69.400002,69.599998,660800,68.303398
"103",69.699997,70.150002,69.550003,70.110001,550700,68.803899
"104",70.029999,70.769997,69.93,70.470001,547000,69.157194
"105",70.760002,70.900002,70.150002,70.720001,466900,69.402536
"106",70.900002,71.040001,70.519997,70.660004,528200,69.343656
"107",70.510002,71.080002,70.32,70.800003,505000,69.481048
"108",70.599998,71.43,70.32,71.160004,551500,69.834342
"109",71.050003,71.919998,71.050003,71.330002,488000,70.001173
"110",70.93,71.370003,70.690002,71.040001,448600,69.716575
"111",71.290001,71.529999,70.32,70.510002,442400,69.196449
"112",70.610001,70.730003,70.220001,70.620003,356300,69.304401
"113",70.269997,70.510002,69.760002,70.379997,512000,69.068866
"114",69.910004,71.339996,69.889999,70.82,660600,69.967921
"115",70.82,71.010002,70.239998,70.879997,393600,70.027196
"116",70.650002,71.779999,70.580002,71.489998,484000,70.629858
"117",71.970001,72.059998,71.709999,71.949997,550000,71.084322
"118",71.790001,72,70.449997,71.050003,887100,70.195157
"119",70.980003,72.129997,70.940002,71.849998,583700,70.985527
"120",71.730003,71.970001,71.43,71.57,368900,70.708897
"121",71.82,72,71.470001,71.669998,306400,70.807692
"122",71.599998,72.110001,71,71.720001,492700,70.857094
"123",71.489998,71.610001,70.209999,70.57,790100,69.720929
"124",70.43,71.089996,68.440002,70.360001,3529000,69.513456
"125",70.589996,70.949997,70.080002,70.730003,1488300,69.879007
"126",70.93,71.419998,70.779999,71.300003,804000,70.442149
"127",71.379997,72.190002,70.989998,71.260002,953000,70.402629
"128",70.360001,70.910004,70.160004,70.870003,897700,70.017322
"129",70.849998,71.239998,69.639999,69.669998,814700,68.831756
"130",69.830002,71.410004,69.830002,70.610001,561800,69.760448
"131",70.220001,70.379997,69.110001,69.120003,454700,68.288377
"132",69.690002,69.790001,68.410004,68.760002,513000,67.932708
"133",68.639999,70.050003,68.309998,68.330002,653900,67.507882
"134",68.709999,70.010002,68.379997,69.949997,562600,69.108386
"135",70.720001,71.529999,70.650002,71.489998,748100,70.629858
"136",72.050003,72.949997,70.599998,72.849998,993300,71.973495
"137",73.129997,73.980003,72.739998,73.690002,476300,72.803393
"138",73.5,74.269997,73.449997,73.57,351100,72.684834
"139",73.779999,73.93,73.470001,73.589996,122700,72.70459
"140",73.849998,73.940002,73.540001,73.779999,146700,72.892306
"141",73.699997,73.82,73.239998,73.330002,214100,72.447723
"142",73.040001,73.199997,72.370003,72.790001,459700,71.91422
"143",72.800003,72.970001,71.730003,71.82,369800,70.955889
"144",72.349998,72.57,71.050003,71.620003,407500,70.758298
"145",71.019997,71.089996,69.519997,69.690002,664800,68.851519
"146",69.690002,69.980003,68.25,68.290001,1021300,67.468362
"147",68.550003,68.839996,67.860001,68.470001,724800,67.646197
"148",69.120003,70.559998,69.110001,70.040001,641800,69.197307
"149",70.089996,70.290001,69.5,69.940002,352700,69.098511
"150",69.849998,69.849998,68.599998,68.879997,315900,68.05126
"151",69.360001,69.910004,67.790001,68.43,464100,67.606677
"152",67.949997,68.470001,67.379997,68.419998,475800,67.596795
"153",68.419998,69.129997,67.25,67.309998,655900,66.50015
"154",67.07,67.720001,66.57,67.639999,624500,66.826181
"155",67.82,68.150002,67.160004,67.629997,451500,66.816299
"156",67.599998,68.419998,67.379997,68.220001,584100,67.399204
"157",68.540001,69.330002,68.120003,69.089996,483700,68.258732
"158",69.260002,69.989998,68.989998,69.699997,772200,68.861393
"159",69.559998,69.860001,68.959999,69.790001,414300,68.950315
"160",69.129997,69.75,68.830002,69.379997,638900,68.545244
"161",70,70.279999,68.190002,68.25,481900,67.428842
"162",68.110001,68.199997,67.059998,67.949997,819800,67.132449
"163",67.449997,68.099998,66.970001,67.129997,922100,66.322315
"164",67.540001,68.110001,66.150002,68.059998,691700,67.241126
"165",68.190002,69.199997,68.190002,69.169998,512500,68.337771
"166",68.800003,69.540001,68.489998,68.68,919300,67.853669
"167",69.07,69.720001,68.849998,69.489998,632600,68.653921
"168",76.300003,78.480003,74.050003,76.18,7249800,75.263432
"169",76.050003,77.470001,75.559998,75.639999,3146200,74.729928
"170",75.959999,76.349998,74.589996,76.059998,1663100,75.144873
"171",75.879997,76.760002,75.580002,76.580002,1276300,75.658621
"172",76.699997,77.989998,76.699997,77.309998,1074900,76.379833
"173",77.400002,77.989998,76.860001,77.730003,1109900,76.794786
"174",77.739998,78.209999,77.019997,78.120003,997100,77.180093
