"","BLL.Open","BLL.High","BLL.Low","BLL.Close","BLL.Volume","BLL.Adjusted"
"1",61.360001,61.66,61.029999,61.400002,1176700,60.93335
"2",61.150002,61.27,60.540001,60.919998,609900,60.456995
"3",60.880001,60.990002,60.330002,60.580002,602000,60.119582
"4",59.869999,60.900002,59.830002,60.869999,692300,60.407375
"5",60.73,61.060001,60.369999,60.529999,665900,60.069959
"6",60.549999,61.060001,60.419998,60.82,473000,60.357756
"7",60.650002,60.990002,60.139999,60.939999,547900,60.476843
"8",60.759998,61.240002,60.759998,61.23,566800,60.76464
"9",61.310001,61.610001,61.169998,61.509998,909100,61.042511
"10",61.349998,61.75,61.099998,61.73,772900,61.26084
"11",61.549999,61.98,61.150002,61.360001,602400,60.893653
"12",61.669998,62.709999,61.490002,62.220001,869400,61.747117
"13",62,62.330002,61.630001,62.290001,512400,61.816585
"14",62.16,63,62.110001,62.990002,1503300,62.511266
"15",62.93,63.130001,62.299999,62.68,918800,62.203621
"16",62.860001,63.290001,62.470001,62.990002,766500,62.511266
"17",62.93,63.360001,62.349998,62.669998,898200,62.193694
"18",62.869999,63.099998,62.599998,63.029999,523800,62.550959
"19",63,63.080002,62.73,62.860001,484700,62.382253
"20",62.869999,63.139999,62.599998,63.029999,859400,62.550959
"21",63.279999,63.529999,62.810001,63.439999,540800,62.957843
"22",62.759998,63.419998,62.630001,63.34,731000,62.858604
"23",63.360001,63.360001,62.849998,63.07,798100,62.590656
"24",63.349998,63.779999,63.290001,63.73,567200,63.24564
"25",63.669998,64.18,63.669998,64.139999,995700,63.652523
"26",64.169998,64.550003,63.919998,64.190002,739500,63.702146
"27",63.759998,64.209999,63.360001,63.48,655800,62.99754
"28",63.560001,64.580002,63.5,64.339996,727000,63.851
"29",64.230003,64.760002,63.810001,64.599998,786600,64.109026
"30",64.900002,64.910004,63.009998,63.209999,1338300,62.729591
"31",63.23,63.27,62.549999,62.959999,792800,62.481491
"32",63.119999,64.040001,63.029999,63.830002,603000,63.344882
"33",63.610001,63.84,63.189999,63.360001,525800,62.878453
"34",63.299999,63.360001,62.759998,62.91,768700,62.431872
"35",62.880001,63.16,62.43,62.450001,461900,61.975369
"36",62.52,62.91,62.16,62.490002,1396500,62.015066
"37",62.310001,62.950001,60.73,61.259998,1398500,60.794411
"38",61.23,62.110001,60.919998,61.68,1685700,61.211221
"39",61.869999,62.099998,61.540001,61.950001,835100,61.479169
"40",61.790001,62.049999,61.240002,61.41,697500,60.943272
"41",61.18,62.380001,61.040001,62.23,854100,61.75704
"42",62.59,62.799999,62.099998,62.259998,764000,61.786811
"43",61.93,62.34,61.369999,62.25,779500,61.776888
"44",62.5,62.790001,62.349998,62.639999,548800,62.163924
"45",62.68,62.860001,62.369999,62.790001,639600,62.312785
"46",63,63.16,62.43,62.66,571800,62.183772
"47",62.669998,63.110001,62.549999,62.939999,429400,62.461643
"48",63.07,63.599998,62.700001,63.119999,942700,62.640275
"49",63.419998,63.889999,63.290001,63.849998,554800,63.364726
"50",64.050003,64.199997,63.860001,64.07,543300,63.583056
"51",64.059998,64.089996,63.220001,63.240002,709300,62.759366
"52",63.369999,63.889999,63.130001,63.580002,722000,63.096782
"53",63.759998,63.759998,62.93,63.200001,775200,62.719669
"54",63.459999,63.48,62.900002,63.099998,556300,62.620427
"55",63.25,63.619999,63.139999,63.5,614800,63.017388
"56",63.66,63.959999,63.400002,63.689999,657000,63.205943
"57",63.27,63.950001,63.02,63.669998,877300,63.31533
"58",63.869999,64.389999,63.77,64.099998,671800,63.742935
"59",64.75,65.57,64.419998,65.25,1568500,64.886531
"60",65.449997,66.099998,65.199997,66.059998,1123800,65.692016
"61",66.269997,66.529999,65.830002,65.860001,1038700,65.493133
"62",65.760002,66.330002,65.349998,66.330002,474900,65.960516
"63",66.139999,66.389999,65.559998,65.910004,684500,65.542858
"64",65.669998,65.860001,65.360001,65.669998,444400,65.304189
"65",65.660004,66.010002,65.449997,65.900002,604000,65.532911
"66",65.5,66.129997,65.419998,66.089996,595700,65.721848
"67",66,66.110001,65.540001,65.709999,813300,65.343967
"68",65.699997,65.980003,65.519997,65.660004,478100,65.29425
"69",65.610001,66.040001,65.470001,65.639999,760100,65.274358
"70",65.449997,65.68,64.190002,64.550003,1154600,64.190433
"71",64.510002,64.660004,64,64.199997,886600,63.842377
"72",64.400002,64.650002,64.269997,64.379997,1404100,64.021374
"73",64.449997,64.580002,64.239998,64.440002,885300,64.081045
"74",64.419998,64.730003,63.880001,63.919998,1072700,63.563937
"75",63.77,64.25,63.630001,63.970001,609500,63.613662
"76",63.48,63.900002,63.209999,63.509998,752300,63.156221
"77",63.439999,63.68,63.139999,63.369999,532800,63.017002
"78",63.119999,64.449997,62.849998,64.190002,937300,63.832438
"79",64.139999,64.269997,63.189999,63.27,1161700,62.917561
"80",63.07,63.259998,61.950001,62.110001,1553300,61.764022
"81",61.990002,62.580002,61.759998,62.310001,1032300,61.962909
"82",62.490002,63.290001,62.349998,63.119999,791600,62.768395
"83",63.25,63.650002,62.849998,63.099998,536600,62.748506
"84",63.119999,63.23,62.369999,62.41,686700,62.06235
"85",62.509998,63.900002,62.130001,63.84,816800,63.484385
"86",63.59,64.349998,62.849998,63.060001,1146900,62.708731
"87",62.919998,63.82,62.59,62.619999,1457100,62.27118
"88",62.470001,63.290001,61.790001,61.810001,1380700,61.465694
"89",62.23,63.259998,61.889999,63.07,1112000,62.718674
"90",62.619999,64.150002,62.189999,63.959999,2208600,63.603716
"91",63.259998,64.57,63.220001,63.970001,1197400,63.613662
"92",64.239998,65.279999,64.239998,65.029999,1344500,64.667755
"93",65.120003,66.110001,65.050003,65.970001,1231300,65.602521
"94",66.110001,67.910004,65.940002,67.889999,1664100,67.511824
"95",68.169998,68.220001,66.830002,66.870003,1354200,66.497509
