"","WHR.Open","WHR.High","WHR.Low","WHR.Close","WHR.Volume","WHR.Adjusted"
"1",141.929993,143.369995,141.050003,143.350006,926400,140.857165
"2",142.190002,142.800003,140.470001,140.960007,884400,138.508727
"3",140.809998,141.350006,138.25,138.559998,1331900,136.150454
"4",138.440002,138.589996,136.940002,138.229996,1179800,135.826191
"5",138.539993,139.589996,137.050003,138.380005,756200,135.973591
"6",138.039993,138.729996,136.639999,138,932700,135.600195
"7",138.25,140.020004,137.089996,139.789993,684100,137.35906
"8",139.869995,140.380005,139.009995,139.300003,643700,136.877591
"9",140.050003,140.289993,138.630005,138.869995,997700,136.455061
"10",138.330002,140.929993,137.130005,139.330002,952100,136.907068
"11",139.350006,141.25,138.490005,138.929993,782400,136.514015
"12",138.470001,139.130005,137.210007,138.990005,964900,136.572984
"13",139.160004,139.160004,136.860001,138.110001,839600,135.708282
"14",138.119995,139.300003,137.619995,138.460007,1459400,136.052202
"15",138.910004,139.970001,137.660004,139.220001,775300,136.79898
"16",139.699997,142.910004,139.699997,141.869995,1058100,139.402891
"17",141.449997,141.910004,139.820007,140.259995,631000,137.820888
"18",140.669998,142.649994,140.270004,142.539993,405600,140.061238
"19",141.490005,142.339996,139.960007,140.160004,907400,137.722636
"20",140.029999,144.320007,139.279999,142.729996,1973200,140.247936
"21",142.75,143.369995,140.850006,141.110001,1452100,138.656113
"22",138.320007,139.710007,137.550003,139.210007,1655500,136.78916
"23",139.919998,144.179993,139.149994,140.759995,1451500,138.312193
"24",141.289993,141.330002,138.539993,139.309998,1043600,136.887412
"25",139.25,140.660004,138.649994,139.970001,1035000,137.535938
"26",140.419998,141.809998,139.25,140.600006,1654900,138.154987
"27",139.479996,139.929993,138.570007,138.960007,969500,136.543507
"28",140.089996,140.970001,139.399994,139.5,940100,137.07411
"29",138.649994,140.729996,138.649994,140.350006,744500,137.909334
"30",140.600006,144.089996,140.529999,143.199997,1536400,140.709764
"31",136.899994,145.339996,135.369995,145.240005,5960500,142.714297
"32",144.990005,148.800003,144.300003,146.910004,3281800,144.355254
"33",146.410004,149.080002,145.580002,148.889999,1587000,146.300818
"34",148.869995,149.240005,147.5,147.630005,1575800,145.062735
"35",147.630005,148.149994,145.119995,145.5,1536900,142.96977
"36",145.449997,146.130005,141.630005,142.789993,2393500,140.306891
"37",142.649994,143.839996,140.899994,142.639999,1902700,140.159505
"38",142.160004,145.600006,141.550003,143.509995,1539600,141.014371
"39",144.100006,146.679993,144.100006,145.779999,1233400,143.2449
"40",144.690002,146.360001,143.320007,143.889999,1020600,141.387768
"41",143.449997,146.860001,143.389999,145.800003,1104900,143.264557
"42",146.100006,146.25,142.220001,142.580002,1297100,140.100551
"43",143.110001,148.270004,143.080002,148.149994,1670600,145.573681
"44",148.429993,148.979996,147.490005,147.720001,941000,145.151166
"45",147.470001,148.270004,145.039993,145.75,774800,143.215423
"46",146.330002,146.699997,144.449997,145.660004,1079800,143.126992
"47",146.149994,150.070007,146.149994,149.919998,1455100,147.312905
"48",150.589996,150.639999,147.089996,148.440002,698500,145.858647
"49",149.5,150.960007,149.289993,150.25,920800,147.637168
"50",151,153.369995,150.860001,152.899994,1358100,150.241079
"51",152.270004,154.100006,152.149994,153.699997,702100,151.02717
"52",152.610001,153.029999,150.520004,151.880005,972300,149.238828
"53",152,152.630005,151,151.860001,548200,149.219171
"54",152.699997,152.699997,150.369995,150.639999,603500,148.020386
"55",151.009995,152.070007,150.389999,151.669998,785200,149.032473
"56",151.139999,152.679993,150.509995,152.509995,838600,150.602585
"57",151.509995,153,151.119995,152.509995,742800,150.602585
"58",152.029999,153.300003,151.869995,153.020004,515400,151.106216
"59",153.5,153.839996,152.470001,153.389999,577200,151.471584
"60",153.130005,154.610001,152.880005,153.25,687000,151.333336
"61",153.380005,155.509995,152.820007,153.990005,842600,152.064086
"62",153.610001,153.699997,151.75,152.009995,1077300,150.108838
"63",151.330002,154.470001,151.199997,152.580002,959700,150.671717
"64",152.669998,152.669998,149.740005,151.259995,604000,149.368219
"65",151.089996,153.740005,151.089996,153.520004,770400,151.599963
"66",152.880005,153.720001,152.619995,153.369995,523900,151.45183
"67",153.350006,153.970001,151.690002,152.110001,735500,150.207594
"68",152.600006,155.190002,151.899994,153.169998,949100,151.254334
"69",152.300003,154.320007,151.75,152.600006,765300,150.691471
"70",152.820007,154.970001,152.820007,154.309998,650000,152.380076
"71",155.039993,155.089996,153.529999,153.889999,547100,151.965331
"72",154.759995,156.130005,154,155.820007,1096400,153.8712
