"","COL.Open","COL.High","COL.Low","COL.Close","COL.Volume","COL.Adjusted"
"1",80.099998,80.339996,79.589996,80.199997,540300,79.050222
"2",79.760002,79.769997,79.290001,79.629997,382000,78.488394
"3",79.400002,79.580002,78.660004,78.860001,560300,77.729436
"4",78.879997,79.43,78.790001,79.370003,334200,78.232127
"5",79.309998,79.75,79.25,79.5,294800,78.36026
"6",79.199997,79.720001,79,79.690002,433200,78.547539
"7",79.739998,79.830002,78.949997,79.690002,469400,78.547539
"8",79.559998,79.769997,79.089996,79.75,344100,78.606676
"9",79.75,80.559998,79.75,80.459999,1159100,79.306497
"10",80.339996,80.459999,79.370003,79.470001,551000,78.330692
"11",79.139999,79.220001,77.959999,78.059998,597900,76.940902
"12",77.870003,78.480003,77.870003,78.410004,414900,77.285891
"13",78.440002,78.559998,77.839996,78.32,365800,77.197177
"14",78.220001,78.5,77.900002,78.239998,831700,77.118322
"15",78.199997,78.349998,77.730003,78.139999,518700,77.019757
"16",78.349998,79.489998,77.980003,79.239998,562200,78.103986
"17",79.120003,79.349998,78.690002,78.93,446300,77.798432
"18",78.949997,79.419998,78.760002,79.269997,351100,78.133554
"19",79.029999,79.510002,78.699997,79.269997,540000,78.133554
"20",79.269997,79.269997,78.059998,78.330002,497700,77.207036
"21",78.739998,78.889999,78.239998,78.720001,325700,77.591444
"22",78.040001,79,77.839996,78.550003,226200,77.423883
"23",78.589996,79.349998,78.199997,79.209999,406500,78.074417
"24",79.43,79.75,78.980003,79.110001,464100,77.975852
"25",79,79.949997,78.910004,79.400002,608600,78.261696
"26",79.639999,79.860001,79.059998,79.529999,525300,78.389829
"27",79.010002,79.540001,78.760002,78.779999,840600,77.650581
"28",79.029999,79.790001,78.669998,79.769997,554800,78.626386
"29",79.669998,80.480003,79.589996,80.43,960300,79.276928
"30",80.550003,80.550003,77.410004,77.970001,1945400,76.852196
"31",77.870003,77.879997,77.150002,77.489998,859300,76.379074
"32",77.279999,77.720001,76.889999,77,1015700,75.896101
"33",76.790001,76.910004,75.209999,75.639999,798100,74.555598
"34",75.5,75.68,74.550003,75.199997,635100,74.121904
"35",75.059998,75.089996,74.190002,74.220001,689700,73.155957
"36",74.629997,74.779999,73.309998,74.010002,1151200,72.948969
"37",73.360001,73.68,72.910004,73.269997,1565000,72.219573
"38",73.309998,73.970001,72.980003,73.519997,739100,72.465988
"39",73.580002,73.580002,72.82,73.349998,492900,72.298427
"40",73.220001,73.940002,72.779999,72.959999,595500,71.914019
"41",72.449997,72.690002,71.889999,72.43,866000,71.391619
"42",72.599998,72.800003,72.089996,72.239998,594700,71.500487
"43",72.25,73.550003,72.050003,73.410004,636400,72.658516
"44",73.650002,74.190002,73.470001,73.639999,463100,72.886157
"45",73.449997,74.029999,73.25,73.650002,602400,72.896057
"46",73.769997,75,73.769997,74.839996,535200,74.07387
"47",74.709999,75.309998,74.589996,74.599998,739700,73.836329
"48",74.919998,75.080002,73.889999,74.190002,2431200,73.43053
"49",74.900002,75.339996,74.760002,75.309998,718900,74.53906
"50",75.459999,75.860001,75.239998,75.730003,401800,74.954766
"51",75.830002,77.279999,75.610001,77.190002,1128500,76.399819
"52",77.370003,77.559998,76.800003,76.870003,460100,76.083095
"53",76.660004,77.029999,76.449997,76.75,469600,75.964321
"54",76.959999,77.160004,76.809998,77.029999,535600,76.241454
"55",77.129997,77.370003,76.790001,76.989998,607100,76.201862
"56",77.059998,77.32,76.82,76.980003,357700,76.19197
"57",76.699997,77.040001,76.43,76.910004,311800,76.122687
"58",77.019997,77.269997,76.760002,76.980003,505100,76.19197
"59",76.970001,77.330002,76.32,76.470001,614200,75.687189
"60",76.970001,77.099998,76.620003,76.730003,440300,75.944529
