"","YHOO.Open","YHOO.High","YHOO.Low","YHOO.Close","YHOO.Volume","YHOO.Adjusted"
"116",50.599998,52.23,50.27,51.25,28916000,51.25
"117",51.990002,52.25,50.990002,51.040001,22225300,51.040001
"118",51.25,51.830002,51.07,51.830002,14643500,51.830002
"119",51.98,52.189999,51.599998,51.720001,14219600,51.720001
"120",51.560001,52.259998,51.52,51.93,13428500,51.93
"121",51.869999,52,51.639999,51.740002,8913700,51.740002
"122",51.43,51.43,49.66,50.099998,23146900,50.099998
"123",50.27,51.119999,50.009998,50.669998,16099900,50.669998
"124",50.709999,50.970001,50.200001,50.279999,14236000,50.279999
"125",50.189999,50.669998,49.900002,50.41,12136700,50.41
"126",51.029999,51.25,50.509998,50.990002,15418100,50.990002
"127",50.52,50.900002,49.220001,49.619999,18190100,49.619999
"128",48.75,50.529999,48.290001,50.509998,19655600,50.509998
"129",50.330002,50.689999,49.189999,49.209999,16184100,49.209999
"130",49.540001,50.580002,49.43,49.939999,21100200,49.939999
"131",49.540001,51.169998,49.48,50.240002,20370500,50.240002
"132",50.419998,50.919998,49.5,49.82,18132500,49.82
"133",49.5,50.080002,48.810001,48.849998,21399300,48.849998
"134",49.02,50.25,48.900002,50.119999,17112300,50.119999
"135",50.93,51.150002,50.439999,50.91,15338900,50.91
"136",51.060001,51.470001,50.830002,50.880001,24110200,50.880001
"137",50.990002,51.599998,50.950001,51.150002,24021100,51.150002
"138",51.459999,51.459999,49.93,50.02,15514000,50.02
"139",50.189999,50.919998,50.189999,50.650002,5961900,50.650002
"140",50.650002,51.060001,50.610001,50.860001,5169700,50.860001
"141",50.669998,51.009998,50.509998,50.529999,6624500,50.529999
"142",50.349998,51.27,50.349998,51.220001,10703500,51.220001
"143",51.540001,51.68,50.459999,50.509998,9305000,50.509998
"144",50.66,50.779999,49.470001,50.169998,11924500,50.169998
"145",49.709999,49.880001,48.91,49.130001,14389300,49.130001
"146",49.200001,49.880001,48.330002,49.209999,16204300,49.209999
"147",49.619999,49.639999,48.509998,48.59,11788000,48.59
"148",48.990002,50.23,48.720001,50.23,14704800,50.23
"149",50.279999,50.41,49.619999,49.720001,7462800,49.720001
"150",49.919998,49.93,48.560001,48.799999,10170700,48.799999
"151",49.150002,49.48,47.400002,48.299999,21605200,48.299999
"152",47.700001,48.09,47.07,47.509998,15911600,47.509998
"153",47.540001,47.75,46.200001,46.23,17126000,46.23
"154",46.060001,46.59,45.849998,46.470001,14681800,46.470001
"155",46.790001,47.889999,46.77,47.630001,15845900,47.630001
"156",47.599998,48.380001,47.32,48.18,16305100,48.18
"157",48.43,49.080002,48.009998,48.889999,12647400,48.889999
"158",48.740002,49.23,48.630001,48.950001,14294300,48.950001
"159",49.57,49.790001,49.07,49.439999,18976400,49.439999
"160",49.139999,49.279999,47.66,47.990002,45777200,47.990002
"161",49.799999,50.32,46.299999,46.459999,84839700,46.459999
"162",43.560001,43.799999,41.799999,43.73,74370100,43.73
"163",43.75,44.849998,43.509998,43.990002,36033600,43.990002
"164",44.43,44.759998,43.880001,44.689999,20305700,44.689999
"165",45.099998,45.25,44.380001,44.700001,16985900,44.700001
"166",44.799999,44.98,43.880001,44.049999,16281400,44.049999
"167",44.080002,44.259998,43.029999,43.549999,18414500,43.549999
"168",43.57,43.66,42.669998,42.939999,16005100,42.939999
"169",42.610001,43.150002,42.540001,42.57,15507600,42.57
