"","TRIP.Open","TRIP.High","TRIP.Low","TRIP.Close","TRIP.Volume","TRIP.Adjusted"
"1",103.82,104.559998,102.220001,102.68,1416200,102.68
"2",102.43,104.120003,101.379997,103.519997,1376400,103.519997
"3",104.080002,104.25,101.139999,101.720001,1760300,101.720001
"4",103.190002,103.93,100.760002,101.980003,2106200,101.980003
"5",102,104.110001,101.269997,103.970001,1595900,103.970001
"6",104.279999,106.5,104.050003,104.57,1620600,104.57
"7",104.68,105.389999,103.029999,105.239998,1216000,105.239998
"8",105.879997,106,101.75,102.980003,1237000,102.980003
"9",103.309998,104.610001,102.5,103.529999,2072800,103.529999
"10",103.690002,104.309998,102.169998,103.870003,1225300,103.870003
"11",103.589996,107.43,103.209999,104.68,2149100,104.68
"12",104.300003,108.629997,104.029999,108.5,1605400,108.5
"13",108.199997,108.879997,106.599998,107.870003,1680100,107.870003
"14",107.660004,110.400002,107.019997,110.209999,1586300,110.209999
"15",110.010002,111.239998,108.019997,108.660004,1770100,108.660004
"16",109.129997,109.790001,107.900002,109.010002,1702700,109.010002
"17",109,110.220001,107.690002,108.120003,880900,108.120003
"18",108.919998,109.480003,107.760002,109.18,952200,109.18
"19",109.080002,109.139999,107.239998,107.410004,1056300,107.410004
"20",107.639999,107.639999,100.610001,101.449997,2826100,101.449997
"21",102.010002,103.589996,101.470001,103.519997,1921000,103.519997
"22",100.879997,104.360001,100.440002,103.349998,1357500,103.349998
"23",103.639999,105.339996,103.339996,104.779999,916500,104.779999
"24",103.989998,104.209999,101.550003,104.050003,2520000,104.050003
"25",104.339996,104.489998,101.779999,102.68,1234100,102.68
"26",103.32,104.760002,101.5,101.959999,1201400,101.959999
"27",101.25,103.739998,100.760002,101.150002,1519800,101.150002
"28",102.050003,104.309998,101.580002,104.169998,1117900,104.169998
"29",103.57,104.110001,101.459999,103.139999,1223000,103.139999
"30",104.379997,105.330002,103.169998,104.169998,1483800,104.169998
"31",103.650002,107.669998,103.650002,107.360001,3960100,107.360001
"32",97,102.989998,95.260002,101.790001,10669900,101.790001
"33",101.809998,102.860001,98.110001,99.879997,2506700,99.879997
"34",100.139999,100.800003,98.800003,99.300003,1644400,99.300003
"35",99.459999,100.110001,98.870003,99.209999,1305600,99.209999
"36",99.980003,100.440002,98.889999,100.019997,1220800,100.019997
"37",98.940002,98.940002,94.169998,94.839996,2465600,94.839996
"38",94.489998,95.25,91.779999,93.870003,2416800,93.870003
"39",94.160004,95.75,93.879997,94.790001,1527700,94.790001
"40",94.32,95.400002,93.349998,94.07,1225700,94.07
"41",93.440002,95.610001,93.269997,94.029999,909300,94.029999
"42",94.449997,96.639999,94.050003,94.449997,1144200,94.449997
"43",94.919998,95.489998,93.739998,95.290001,875600,95.290001
"44",95.620003,96.309998,94.339996,95.629997,1061900,95.629997
"45",95.790001,96.739998,93.870003,94.75,1053700,94.75
"46",95.589996,97.629997,94.919998,96.839996,1146900,96.839996
"47",96.839996,97.349998,96.040001,96.970001,850500,96.970001
"48",98.25,98.5,95.779999,97.099998,1352100,97.099998
"49",97.559998,98.5,97.260002,97.959999,743600,97.959999
"50",98,98.389999,96.129997,97.370003,1066300,97.370003
"51",97.459999,98.389999,96.540001,98.150002,1109500,98.150002
"52",98.019997,98.150002,96.949997,97.900002,861600,97.900002
"53",98.269997,103.099998,97.050003,101.989998,2013700,101.989998
"54",102.529999,104.190002,102.080002,103.790001,1981200,103.790001
"55",104.330002,105.220001,103.559998,104.510002,1110700,104.510002
"56",104.07,104.440002,101.550003,101.779999,1153000,101.779999
"57",101.150002,101.25,98.25,99.370003,2186400,99.370003
"58",99.709999,100.779999,98.709999,99.089996,1154400,99.089996
"59",99.589996,99.959999,98.449997,99.440002,1425200,99.440002
"60",100.139999,100.230003,98.050003,98.279999,982700,98.279999
"61",98.139999,99.040001,97.5,98.290001,1468000,98.290001
"62",99.400002,99.5,97.82,98.260002,1701300,98.260002
"63",98.110001,99.419998,97.949997,99.230003,1737900,99.230003
"64",99,100,96.349998,96.370003,2855900,96.370003
"65",96.529999,98.470001,95.43,98.029999,2491300,98.029999
"66",97.32,98.629997,97.150002,98.5,1312400,98.5
"67",98.089996,99.349998,97.459999,99.32,1671500,99.32
"68",99.230003,99.75,94.330002,95.220001,1890400,95.220001
"69",94.550003,96.620003,93.900002,95.800003,1397100,95.800003
"70",96.019997,96.629997,94.830002,96.010002,1356500,96.010002
"71",96.290001,99.150002,96.290001,97.949997,1507700,97.949997
"72",98.290001,99.57,97.410004,98.370003,1514300,98.370003
"73",97.839996,98,92.82,94.290001,2893400,94.290001
"74",93.959999,94.589996,92.25,92.949997,1793800,92.949997
"75",92.889999,94.75,91.519997,94.330002,1707200,94.330002
"76",94.230003,94.599998,91.07,91.190002,1781400,91.190002
"77",91.510002,92.510002,90.849998,92.150002,1420800,92.150002
"78",91.220001,91.879997,90.650002,90.800003,1223600,90.800003
"79",90.919998,92.300003,89.099998,91.419998,1876100,91.419998
"80",91.010002,91.080002,88.910004,89.489998,2138500,89.489998
"81",89,89.940002,86.639999,88.389999,2714900,88.389999
"82",89.309998,90.050003,88.620003,88.629997,3119300,88.629997
"83",89.18,90.940002,88.660004,88.919998,2890100,88.919998
"84",88.360001,89.18,86.949997,86.959999,3042800,86.959999
"85",87.029999,89.199997,85.82,88.540001,2137700,88.540001
"86",88.75,88.860001,84.970001,85.910004,2456600,85.910004
"87",85.349998,85.949997,82.470001,82.589996,2249300,82.589996
"88",82.309998,83.400002,79.199997,79.639999,4664900,79.639999
"89",80.059998,81.150002,77.470001,78.970001,3001400,78.970001
"90",77.190002,79.040001,75.339996,78.889999,3103900,78.889999
"91",76.699997,79.980003,76.239998,79.519997,1953000,79.519997
"92",80.82,81.459999,80.5,81.050003,1818500,81.050003
"93",80.760002,84.040001,80.760002,83.540001,1828800,83.540001
"94",85,88.349998,84.510002,88.089996,2858400,88.089996
"95",88.099998,88.489998,85.889999,85.919998,1426800,85.919998
"96",86.669998,88.760002,85.599998,87.629997,1365500,87.629997
"97",87.260002,88.410004,86.629997,88.25,880900,88.25
"98",87.540001,88.220001,86.330002,86.93,990700,86.93
"99",87.089996,88.830002,87,88.82,1015800,88.82
"100",88.599998,88.629997,86.769997,87.379997,1276900,87.379997
"101",86.739998,88.059998,85.269997,86.309998,1535800,86.309998
"102",88.629997,89.669998,87.309998,88.660004,1947100,88.660004
"103",89.330002,89.349998,85,85.209999,2787300,85.209999
"104",83.660004,84.970001,82.620003,83.790001,4905700,83.790001
"105",73.690002,74.489998,71.050003,71.949997,14041100,71.949997
"106",72.300003,74.489998,72.199997,74.010002,3842600,74.010002
"107",74.169998,74.370003,72.800003,73.650002,1815400,73.650002
"108",73.720001,74.139999,72.419998,72.889999,2006200,72.889999
"109",72.809998,73.269997,68.879997,69.989998,4832300,69.989998
"110",69.980003,70.739998,69.349998,70.379997,2515200,70.379997
"111",70.599998,71.690002,68.440002,69.019997,2692900,69.019997
"112",69.139999,69.980003,67.139999,69.910004,3302500,69.910004
"113",69.650002,70.18,68.279999,68.529999,1981800,68.529999
"114",68.309998,70.480003,68.309998,70.209999,3015800,70.209999
"115",70.32,71.410004,69.5,71.400002,2793600,71.400002
"116",71.43,72.279999,70.760002,71.449997,2404700,71.449997
"117",72.510002,72.510002,71.110001,71.309998,1867800,71.309998
"118",71.849998,72.18,70.870003,71.82,1583900,71.82
