"","DIS.Open","DIS.High","DIS.Low","DIS.Close","DIS.Volume","DIS.Adjusted"
"1",85.400002,85.400002,84.699997,84.75,4632600,83.20244
"2",84.599998,84.809998,84.169998,84.309998,4300900,82.770472
"3",84.029999,84.199997,82.599998,82.800003,7231400,81.28805
"4",82.75,82.989998,81.800003,82.800003,4711100,81.28805
"5",82.639999,83.440002,82.559998,83.300003,5181100,81.77892
"6",82.980003,83.459999,82.610001,83.160004,4535900,81.641477
"7",83.18,83.75,82.809998,83.580002,4536300,82.053806
"8",83.650002,83.919998,83.25,83.769997,4326900,82.240331
"9",84.07,84.080002,82.790001,82.82,11073400,81.307682
"10",82.849998,82.93,82.32,82.760002,3946600,81.24878
"11",82.68,83.57,82.489998,82.68,5057100,81.170239
"12",82.669998,84.32,82.480003,83.900002,7899200,82.367962
"13",84.68,84.68,83.769997,84.449997,6424000,82.907915
"14",84.129997,85.389999,84.129997,85.300003,17932200,83.742399
"15",85.440002,86.07,85.07,85.739998,6991400,84.17436
"16",85.809998,86.870003,85.760002,86.470001,5608200,84.891033
"17",86.580002,86.709999,86.199997,86.440002,4439600,84.861582
"18",86.699997,86.980003,86.5,86.839996,3210400,85.254272
"19",86.610001,86.82,86.32,86.589996,4897800,85.008837
"20",86.190002,86.32,85.68,85.860001,4733600,84.292171
"21",86,87.290001,85.849998,87.220001,6311200,85.627338
"22",86.529999,87.610001,86.190002,86.860001,7249700,85.273911
"23",87,87.360001,86.370003,86.889999,5016000,85.303362
"24",87.459999,87.489998,86.660004,86.760002,4012300,85.175738
"25",86.580002,86.650002,85.540001,86.150002,7001300,84.576877
"26",86.690002,87.629997,85.120003,85.349998,10679300,83.791482
"27",85.330002,86.190002,84.870003,85.029999,6885900,83.477325
"28",85.440002,85.980003,85.169998,85.809998,4719100,84.243081
"29",85.809998,86,85.5,85.739998,4799800,84.17436
"30",86.370003,86.559998,85.510002,86.209999,4984200,84.635779
"31",86.309998,86.529999,85.760002,86.040001,3650200,84.468885
"32",86.5,86.959999,86.309998,86.800003,4168200,85.215009
"33",86.300003,86.699997,86.050003,86.230003,4659800,84.655418
"34",86.43,87.220001,85.809998,87.150002,4546800,85.558616
"35",87.290001,87.300003,86.160004,86.199997,5478700,84.625959
"36",86.620003,87.269997,86.089996,87.209999,7294200,85.617518
"37",86.589996,86.949997,85.690002,85.879997,6342400,84.311803
"38",85.389999,86.010002,85.209999,85.379997,6759200,83.820933
"39",86.169998,87.519997,86.010002,87.239998,8262700,85.646969
"40",87.139999,87.239998,86.019997,86.75,9361800,85.165919
"41",86.18,87.620003,86.169998,86.589996,9789500,85.008837
"42",86.989998,87.010002,85.230003,85.510002,7916900,83.948564
"43",85.650002,86.889999,85.620003,86.849998,6382700,85.264091
"44",87.07,87.980003,87.050003,87.5,5047900,85.902224
"45",87.150002,87.620003,86.779999,87.209999,4510100,85.617518
"46",87.739998,87.949997,87.419998,87.599998,4533200,86.000396
"47",88.029999,88.910004,87.809998,88.610001,8218000,86.991955
"48",89.019997,89.470001,88.690002,89.279999,8211000,87.649719
"49",89.660004,90.370003,89.580002,89.970001,4973300,88.327122
"50",90.129997,90.290001,89.639999,90.089996,4153000,88.444926
"51",89.919998,90.050003,89.669998,89.839996,3894500,88.199491
"52",90.059998,90.529999,89.980003,90.379997,4719100,88.729631
"53",90.129997,90.900002,90.120003,90.489998,4756400,88.837623
"54",90.949997,91.139999,90.300003,90.379997,3515400,88.729631
"55",90.610001,90.669998,89.940002,90.019997,4117700,88.376204
"56",90.139999,90.410004,89.980003,90.370003,3739700,88.719819
"57",89.980003,90.489998,89.959999,90.230003,2678400,88.582376
"58",90.32,90.379997,89.330002,89.879997,4179400,88.238762
"59",90.18,90.93,90.150002,90.800003,5602000,89.141968
"60",91.059998,91.160004,90.669998,90.940002,3684000,89.279411
"61",90.870003,91.199997,90.010002,90.139999,5458700,88.494016
"62",90.139999,90.940002,90.099998,90.940002,4597100,89.279411
"63",90.760002,90.839996,90.160004,90.559998,4331200,88.906345
"64",90.5,90.540001,89.510002,89.599998,4797700,87.963876
"65",89.540001,89.82,88.75,89.519997,5078600,87.885335
"66",89.199997,90.040001,89.059998,89.970001,4065500,88.327122
"67",90.099998,90.199997,89.25,89.669998,3888500,88.032597
"68",89.739998,90.370003,89.559998,90.080002,4910000,88.435114
"69",89.709999,90.43,89.459999,90.269997,4324600,88.621639
"70",90.580002,90.769997,89.970001,90.330002,4058100,88.680549
"71",90.309998,90.5,89.910004,90.339996,4343600,88.690361
"72",90.800003,91.150002,90.389999,90.489998,13382900,88.837623
"73",90.489998,90.610001,89.190002,89.290001,5003000,87.659539
"74",89.120003,89.239998,88.230003,88.309998,6155800,86.69743
"75",88.360001,89.639999,88.239998,89.449997,5607000,87.816613
"76",89.260002,89.599998,88.059998,88.07,7077400,86.461815
"77",88.150002,88.889999,87.910004,88.739998,5786400,87.119579
"78",88.120003,89.050003,87.360001,88.830002,5188600,87.207939
"79",88.839996,89.540001,88.540001,89.029999,4824500,87.404284
"80",89.080002,89.239998,87.199997,87.489998,7512500,85.892404
"81",87.5,87.660004,84.650002,86.790001,11051100,85.205189
"82",88.099998,88.900002,87.550003,88.449997,7549000,86.834873
"83",88.790001,89.18,88.07,88.559998,4047800,86.942865
