"","AGN.Open","AGN.High","AGN.Low","AGN.Close","AGN.Volume","AGN.Adjusted"
"1",207.929993,209.139999,203.830002,207.389999,1888300,207.389999
"2",205.759995,210.820007,205.630005,210.669998,1750000,210.669998
"3",208.990005,211.899994,207.449997,208.279999,1377400,208.279999
"4",208.080002,210.75,205.869995,209,1159300,209
"5",208.559998,213.369995,208.350006,210.380005,2074500,210.380005
"6",210.130005,217.960007,208.850006,215.059998,2189100,215.059998
"7",216.059998,220.990005,214.789993,217,2928700,217
"8",216.800003,217.710007,213.410004,215.25,1899300,215.25
"9",215.880005,218.800003,214.820007,216.889999,3294300,216.889999
"10",220.25,223.179993,218.029999,221.350006,2189600,221.350006
"11",221.619995,224.949997,221.169998,224.210007,3123400,224.210007
"12",219.330002,225.589996,218.470001,222.830002,2093500,222.830002
"13",222.889999,225.25,221.610001,224.089996,1884600,224.089996
"14",224.029999,226.229996,222.570007,223.270004,3660700,223.270004
"15",224.619995,225.320007,221.600006,223.050003,6380100,223.050003
"16",226.800003,229.399994,223.619995,224,5900500,224
"17",224,226,220,221.699997,3116700,221.699997
"18",222.050003,222.899994,219.350006,221.580002,1801500,221.580002
"19",221.899994,222.070007,219.119995,220.770004,2213800,220.770004
"20",220.279999,220.809998,213.139999,216.889999,3289600,216.889999
"21",217.070007,217.779999,214.929993,217.279999,2281300,217.279999
"22",213.470001,217.160004,213.279999,216.520004,1413700,216.520004
"23",216.729996,217.800003,215.080002,217.649994,1067100,217.649994
"24",219.440002,221.509995,217.639999,220.589996,1684800,220.589996
"25",220.380005,221.089996,217.169998,218.970001,1401800,218.970001
"26",220.210007,220.240005,216.699997,217.929993,1406400,217.929993
"27",217.149994,217.990005,213.220001,213.660004,1838700,213.660004
"28",214.5,218.610001,214.240005,218.179993,1374900,218.179993
"29",217.169998,218.169998,215.679993,216.130005,1462500,216.130005
"30",217.080002,218.470001,215.970001,216.369995,1480000,216.369995
"31",217.839996,220.220001,217.649994,219.630005,2397900,219.630005
"32",219.410004,219.75,217.649994,218.679993,1812100,218.679993
"33",218.149994,219.589996,216.899994,217.449997,1361900,217.449997
"34",218.050003,218.259995,214.149994,214.940002,1534800,214.940002
"35",214.869995,215.960007,213.320007,214.850006,1617200,214.850006
"36",215.610001,216.559998,214.75,215.550003,1565500,215.550003
"37",213.139999,214.800003,210.779999,214.259995,3033500,214.259995
"38",213.869995,217.990005,213.410004,216.889999,9085300,216.889999
"39",219.360001,219.630005,213.229996,215.770004,3518300,215.770004
"40",212.279999,217.550003,208.610001,214.669998,5917200,214.669998
"41",212.009995,212.179993,204.110001,206.509995,5589700,206.509995
"42",206.410004,207.509995,203.119995,203.940002,3357400,203.940002
