"","DTE.Open","DTE.High","DTE.Low","DTE.Close","DTE.Volume","DTE.Adjusted"
"1",75.410004,75.489998,74.919998,75.099998,735600,71.839285
"2",74.900002,75.139999,74.190002,74.209999,877800,70.987928
"3",73.669998,74.220001,72.760002,74.18,857400,71.591118
"4",74.099998,74.739998,73.690002,74.470001,639600,71.870997
"5",74.440002,75.720001,74.349998,75.25,951900,72.623774
"6",74.940002,75.25,74.57,74.970001,628500,72.353547
"7",74.919998,76.870003,74.879997,76.839996,880200,74.15828
"8",77.080002,77.720001,76.849998,77.669998,931900,74.959314
"9",77.959999,78.050003,77.540001,77.629997,998300,74.92071
"10",77.610001,77.970001,77.040001,77.470001,548600,74.766297
"11",77.330002,77.980003,77.300003,77.709999,461500,74.997919
"12",77.360001,78.18,77.360001,78.040001,822700,75.316404
"13",77.900002,78.050003,77.169998,77.739998,1353400,75.026871
"14",77.589996,78.080002,77.269997,77.739998,946100,75.026871
"15",77.800003,78.199997,77.470001,77.870003,1921900,75.152339
"16",77.959999,78.099998,77.110001,77.190002,1420100,74.496071
"17",76.949997,77.099998,75.360001,75.68,1308200,73.038768
"18",75.309998,75.330002,74.739998,75.110001,877000,72.488661
"19",75.220001,75.870003,75.099998,75.400002,981100,72.768541
"20",75.269997,76.18,75.080002,75.970001,671100,73.318647
"21",75.910004,76.18,75.110001,75.419998,966900,72.78784
"22",75.339996,76.400002,75.25,76.360001,957000,73.695036
"23",76.18,76.489998,75.839996,75.910004,626200,73.260744
"24",76.010002,76.290001,75.389999,75.400002,656300,72.768541
"25",75.459999,76.18,75.370003,76.059998,1407100,73.405503
"26",76.220001,76.25,75.389999,76.190002,691300,73.530971
"27",75.889999,76.400002,75.760002,75.839996,1209600,73.19318
"28",76.150002,76.769997,75.589996,76.57,763500,73.897706
"29",76.68,76.68,75.800003,75.919998,1036200,73.27039
"30",76.239998,76.239998,75.720001,76.089996,716000,73.434455
"31",76.18,76.580002,75.779999,76.57,1365500,73.897706
"32",76.589996,77.300003,76.279999,77.260002,1479500,74.563627
"33",76.620003,76.959999,75.620003,76,1046400,73.347599
"34",75.730003,77.209999,75.720001,77.029999,797400,74.341651
"35",76.949997,77.400002,76.5,76.650002,1642500,73.974916
"36",76.589996,77.010002,75.209999,75.400002,1479100,72.768541
"37",75.379997,75.480003,73.739998,73.82,1107800,71.243681
"38",73.599998,74.68,73.449997,74.129997,843300,71.54286
"39",74.18,74.300003,72.440002,73.540001,1392900,70.973454
"40",73.220001,73.599998,71.879997,72.110001,1111100,69.593361
"41",71.779999,72.480003,71.599998,72.07,2854200,69.554756
"42",72.510002,73.57,72.510002,73.07,1482400,70.519856
"43",73.330002,74.769997,72.949997,74.720001,1028700,72.112272
"44",74.760002,75.160004,74.400002,74.629997,592000,72.02541
"45",74.400002,74.760002,74.239998,74.389999,774300,71.793788
"46",74.610001,75.239998,74.389999,75.129997,619800,72.50796
"47",75.419998,75.940002,75.220001,75.919998,660100,73.27039
"48",76,76.550003,75.620003,76.360001,1150900,73.695036
"49",76.470001,76.760002,76.089996,76.300003,988000,73.637132
