"","IRM.Open","IRM.High","IRM.Low","IRM.Close","IRM.Volume","IRM.Adjusted"
"1",31.769998,31.840004,31.510004,31.600004,972400,26.690177
"2",31.459995,31.610003,31.240002,31.299999,1192100,26.436785
"3",31.320005,31.370006,30.860003,30.960002,1476200,26.149615
"4",30.979998,31.2,30.889998,31.000004,1616100,26.183401
"5",31.010001,31.11,30.509999,30.939996,1658800,26.132717
"6",31.000004,31.230005,30.789999,30.799995,1230800,26.014469
"7",30.879999,31.140005,30.250006,30.910004,1308900,26.107385
"8",30.860003,31.000004,30.390004,30.5,927400,25.761085
"9",30.599999,30.810005,30.189998,30.239996,2211300,25.54148
"10",29.949998,30.329997,29.62,30.260002,1787100,25.788634
"11",30.229998,30.680003,29.870007,29.870007,1860000,25.456267
"12",29.800001,30.110005,29.629997,29.769998,3529500,25.371035
"13",35.67,36.000003,35.099992,35.739999,16565000,30.458879
"14",35.530004,35.67,34.529997,34.810006,6482800,29.666307
"15",35.150005,35.560007,34.709997,35.45,4457700,30.211732
"16",35.409997,35.499997,35.129999,35.36,1722000,30.135031
"17",35.390003,35.540001,35.319997,35.499997,1807700,30.254341
"18",35.499997,35.58,35.300003,35.4,1524300,30.16912
"19",35.279997,35.440004,34.949995,35.300003,1873400,30.083899
"20",35.279997,35.340003,35.060005,35.189997,1483900,29.990148
"21",35.250002,35.509998,35.070002,35.419994,1044900,30.186159
"22",35.049996,35.319997,34.830004,35.279997,1406900,30.066849
"23",35.22,35.470006,35.060005,35.340003,1488300,30.117988
"24",35.340003,35.509998,35.169999,35.36,1211100,30.135031
"25",35.440004,35.509998,34.690003,35.049996,2014100,29.870834
"26",35.22,35.4,34.960004,35.150005,1644400,29.956066
"27",35.110002,35.200002,34.7,34.849998,1273700,29.700389
"28",34.619997,34.970001,34.510001,34.770007,2564000,29.632218
"29",34.770007,34.840001,34.249997,34.37,3084500,29.291318
"30",34.669997,35.010005,34.619997,34.630006,1102100,29.512904
"31",34.74,34.79,34.379999,34.400005,915500,29.31689
"32",34.410002,34.590004,34.28,34.400005,1483000,29.31689
"33",34.37,34.420001,34.000001,34.049999,1000600,29.018602
"34",34.000001,34.169994,33.710002,34.090001,1224600,29.052693
"35",34.139999,34.320002,34.040002,34.169994,1084100,29.120866
"36",34.209996,34.389996,33.919997,34.040002,1848900,29.010082
"37",33.880006,34.239998,33.49,33.509996,3254000,28.558392
"38",33.560005,34.339997,33.449999,34.069995,2286000,29.035643
"39",34.080004,34.090001,33.570004,33.58,2337800,28.618053
"40",33.560005,33.620002,33.119998,33.419994,2222500,28.481689
"41",33.25,33.279995,32.600001,33.090006,1957300,28.200462
"42",33.190005,33.499997,33.100003,33.209999,1086200,28.302724
"43",32.74,33.919997,32.720004,33.900002,1416100,28.890769
