"","MJN.Open","MJN.High","MJN.Low","MJN.Close","MJN.Volume","MJN.Adjusted"
"1",87.279999,87.849998,87.050003,87.610001,1182900,85.839228
"2",87.559998,87.559998,86.57,86.75,779500,84.996609
"3",86.75,87.139999,85.889999,86.650002,958300,84.898632
"4",86.709999,87.559998,86.389999,87.449997,1229900,85.682458
"5",87.449997,87.849998,87.080002,87.790001,1049900,86.01559
"6",88.040001,89.279999,87.540001,89.190002,1399800,87.387295
"7",89.290001,91.940002,88.889999,91.879997,2763000,90.022919
"8",92.209999,92.739998,91.68,92.559998,1534800,91.060834
"9",92.730003,93.400002,92.68,93.139999,1940000,91.631442
"10",92.980003,93.25,92.470001,92.980003,1496000,91.474037
"11",92.519997,93.43,92.339996,93.32,1702500,91.808527
"12",92.980003,93.050003,91.93,92.279999,1876400,90.78537
"13",92.43,92.599998,91.620003,92.400002,1078200,90.903429
"14",92.239998,92.809998,91.709999,92.669998,1768200,91.169053
"15",92.5,93.339996,92.110001,93.169998,866100,91.660955
"16",93,93.459999,92.230003,93.209999,1250100,91.700308
"17",93.029999,94,92.910004,93.389999,889300,91.877393
"18",93.879997,93.970001,93.199997,93.730003,1071000,92.21189
"19",93.230003,93.800003,93.120003,93.470001,753000,91.956099
"20",93.099998,93.279999,92.199997,92.650002,832900,91.14938
"21",92.730003,93.510002,92.599998,93.260002,1055600,91.749501
"22",92.32,93.339996,92.190002,93.120003,1044600,91.611769
"23",93.07,93.139999,92.080002,92.589996,883500,91.090347
"24",93.160004,93.25,92.449997,92.870003,793300,91.365818
"25",94.339996,94.519997,92.440002,92.620003,1505500,91.119867
"26",93.290001,93.360001,92.699997,93.010002,898500,91.50355
"27",92.769997,93.080002,91.779999,91.919998,749900,90.4312
"28",91.980003,92.739998,91.800003,92.610001,1119100,91.110027
"29",92.339996,92.449997,91.410004,92.269997,2047500,90.77553
"30",92.080002,98.360001,91.849998,95.419998,3577400,93.874512
"31",95.269997,96.110001,94.980003,95.080002,2065600,93.540023
"32",95.480003,95.480003,94.839996,95.339996,1764600,93.795806
"33",94.769997,94.940002,93.580002,94.639999,1093000,93.107147
"34",94.870003,96.269997,94.610001,96.050003,1839000,94.494313
"35",96.43,96.790001,94.860001,94.879997,1136000,93.343257
"36",94.900002,95.080002,93.07,93.099998,994800,91.592089
"37",92.839996,93.260002,91.440002,91.440002,1149300,89.958979
"38",91.480003,93.120003,91.150002,92.639999,1525900,91.13954
"39",92.730003,93.160004,92.029999,92.830002,1216600,91.326465
