"","S.Open","S.High","S.Low","S.Close","S.Volume","S.Adjusted"
"1",8.93,8.96,8.77,8.84,12918400,8.84
"2",8.78,8.87,8.7,8.75,8712700,8.75
"3",8.72,8.8,8.49,8.59,10622600,8.59
"4",8.58,8.89,8.56,8.73,12058800,8.73
"5",8.69,8.71,8.5,8.61,8003900,8.61
"6",8.59,8.73,8.56,8.64,9356400,8.64
"7",8.6,8.71,8.41,8.52,9869800,8.52
"8",8.55,8.61,8.38,8.46,10135600,8.46
"9",8.5,8.56,8.23,8.41,17439700,8.41
"10",8.45,8.47,8.31,8.36,8212000,8.36
"11",8.39,8.42,8.19,8.24,11528900,8.24
"12",8.22,8.67,8.22,8.54,15812400,8.54
"13",8.49,8.53,8.34,8.41,6641100,8.41
"14",8.4,8.54,8.4,8.51,11880500,8.51
"15",8.54,8.65,8.45,8.53,8175800,8.53
"16",8.55,8.65,8.45,8.53,9648300,8.53
"17",8.5,8.59,8.46,8.48,8696900,8.48
"18",8.52,8.6,8.48,8.6,3697300,8.6
"19",8.59,8.63,8.49,8.5,4892100,8.5
"20",8.48,8.51,8.32,8.32,6010900,8.32
"21",8.38,8.47,8.29,8.41,5026400,8.41
"22",8.33,8.38,8.21,8.25,7454500,8.25
"23",8.28,8.68,8.25,8.55,23843900,8.55
"24",8.59,8.62,8.38,8.44,9469900,8.44
"25",8.42,8.42,7.98,8.11,22006800,8.11
"26",8.15,8.21,8.07,8.14,10047200,8.14
"27",8.12,8.15,7.94,8,9367800,8
"28",8.01,8.01,7.83,7.9,24156000,7.9
"29",7.91,7.93,7.62,7.67,12643600,7.67
"30",7.75,7.78,7.6,7.64,8648900,7.64
"31",7.64,7.74,7.63,7.68,6626600,7.68
"32",7.7,7.78,7.67,7.77,6830600,7.77
"33",7.8,7.81,7.69,7.72,4932200,7.72
"34",7.75,7.76,7.63,7.64,5809800,7.64
"35",7.9,8.08,7.69,8,29043600,8
"36",8.17,8.2,7.74,7.76,25066700,7.76
"37",7.68,7.97,7.07,7.35,76639100,7.35
"38",7.38,7.6,7.3,7.45,19882700,7.45
"39",7.4,7.41,7.2,7.37,14769200,7.37
"40",7.34,7.48,7.16,7.28,17148000,7.28
"41",5.97,6.14,5.83,5.9,159400500,5.9
"42",6,6.04,5.82,5.88,44891500,5.88
"43",5.88,5.9,5.53,5.67,56022400,5.67
"44",5.76,5.79,5.59,5.74,24546400,5.74
"45",5.76,5.89,5.71,5.86,19977000,5.86
"46",5.84,5.87,5.72,5.82,16586300,5.82
"47",5.8,5.84,5.67,5.71,28152500,5.71
"48",5.71,5.76,5.61,5.69,25722900,5.69
"49",5.74,5.75,5.58,5.62,32819300,5.62
"50",5.6,5.63,5.36,5.39,44402300,5.39
"51",5.44,5.55,5.37,5.5,27300400,5.5
"52",5.53,5.61,5.45,5.56,25151300,5.56
"53",5.56,5.57,5.48,5.54,16134900,5.54
"54",5.56,5.62,5.54,5.58,16345600,5.58
"55",5.58,5.83,5.58,5.77,23669900,5.77
"56",5.8,5.85,5.66,5.69,21250700,5.69
"57",5.65,5.73,5.61,5.66,12943000,5.66
"58",5.68,5.7,5.59,5.61,10933200,5.61
"59",5.65,5.66,5.5,5.54,18318700,5.54
"60",5.57,5.71,5.56,5.64,19888400,5.64
"61",5.66,5.78,5.62,5.77,19913700,5.77
"62",5.75,6.03,5.73,5.89,39989500,5.89
"63",5.89,5.93,5.77,5.78,9500400,5.78
"64",5.8,5.92,5.75,5.77,17701900,5.77
"65",5.81,6.38,5.71,6.15,55028800,6.15
"66",6.07,6.7,5.97,6.57,79388300,6.57
"67",6.87,7.15,6.86,7,99785100,7
"68",7.03,7.03,6.86,6.94,31784300,6.94
"69",6.84,6.87,6.63,6.77,35811700,6.77
"70",6.75,6.82,6.59,6.69,21509900,6.69
"71",6.69,6.87,6.6,6.85,20242300,6.85
"72",6.86,6.98,6.81,6.88,25873100,6.88
"73",6.84,6.86,6.72,6.8,16726200,6.8
"74",6.69,6.75,6.56,6.67,16190300,6.67
"75",6.71,6.78,6.61,6.64,12497800,6.64
"76",6.69,6.69,6.34,6.39,22828000,6.39
"77",6.41,6.48,6.26,6.42,22994500,6.42
"78",6.33,6.43,6.3,6.35,11169300,6.35
"79",6.35,6.46,6.3,6.34,14601300,6.34
"80",6.39,6.45,6.23,6.25,19948100,6.25
"81",6.25,6.32,6.15,6.25,19933600,6.25
"82",6.27,6.31,6.14,6.25,20725400,6.25
"83",6.28,6.33,5.97,6,28118200,6
"84",5.93,6.12,5.88,6.04,15247800,6.04
"85",5.97,6.09,5.81,6.07,25385400,6.07
"86",6.06,6.16,5.95,5.98,19244200,5.98
"87",5.92,5.98,5.71,5.8,20459300,5.8
"88",5.77,6.04,5.77,5.9,23797400,5.9
"89",5.84,6.09,5.83,6.04,23114100,6.04
"90",5.99,6.12,5.83,6.11,20419700,6.11
"91",5.92,6.15,5.92,5.94,26995500,5.94
"92",6,6.08,5.98,6.03,19864700,6.03
"93",6,6.15,5.98,6.1,10771800,6.1
"94",6.14,6.27,6.12,6.24,17437300,6.24
"95",6.27,6.3,6.04,6.06,19744000,6.06
"96",6.1,6.18,6.06,6.09,14043100,6.09
"97",6.13,6.14,6.04,6.08,10993100,6.08
"98",6.09,6.11,6.01,6.04,9300300,6.04
"99",6.1,6.19,6,6.04,33202700,6.04
"100",6.05,6.09,5.98,6,17347900,6
"101",6.1,6.11,5.97,6,31505900,6
"102",6.03,6.08,5.91,5.93,30141800,5.93
"103",5.92,6.25,5.91,6.2,36218900,6.2
"104",5.44,5.46,4.86,5.18,160674000,5.18
"105",5.13,5.18,4.91,4.92,42666200,4.92
"106",4.94,4.94,4.65,4.69,45511900,4.69
"107",4.72,4.81,4.68,4.72,27541700,4.72
"108",4.76,4.9,4.72,4.88,24858700,4.88
"109",4.91,4.94,4.82,4.89,24425100,4.89
"110",4.89,5.19,4.84,5,39086400,5
"111",5.03,5.07,4.97,5,19349300,5
"112",5.01,5.1,5,5.05,17303400,5.05
"113",5.02,5.05,4.9,4.91,12922100,4.91
"114",4.9,4.91,4.75,4.76,18401400,4.76
"115",4.8,4.8,4.69,4.71,13312700,4.71
"116",4.7,4.89,4.64,4.83,16682500,4.83
"117",4.84,4.97,4.81,4.96,15188600,4.96
"118",4.99,5,4.86,4.89,18811500,4.89
"119",4.85,5.11,4.84,5.09,24804700,5.09
"120",5.01,5.1,4.99,5.07,8418800,5.07
"121",5.1,5.15,5.06,5.12,5499100,5.12
"122",5.09,5.09,4.81,4.87,17489100,4.87
"123",4.92,4.93,4.7,4.72,19925700,4.72
"124",4.75,4.8,4.67,4.69,22007800,4.69
"125",4.67,4.91,4.67,4.86,23306000,4.86
"126",4.89,4.92,4.8,4.85,7812700,4.85
"127",4.83,4.83,4.72,4.75,14878700,4.75
"128",4.63,4.67,4.53,4.57,20678800,4.57
"129",4.46,4.48,4.22,4.36,45011600,4.36
"130",4.38,4.57,4.37,4.4,22763500,4.4
"131",4.35,4.39,3.98,4.08,30614000,4.08
"132",4.13,4.19,4.03,4.05,25001900,4.05
"133",4.03,4.05,3.8,3.81,32316500,3.81
"134",3.81,4.01,3.79,3.97,31239300,3.97
"135",3.99,4.14,3.98,4.08,21307100,4.08
"136",4.08,4.16,3.99,4.16,38906100,4.16
"137",4.1,4.24,4.08,4.21,32116700,4.21
"138",4.24,4.28,4.19,4.24,25045200,4.24
"139",4.17,4.23,4.16,4.19,18107200,4.19
"140",4.2,4.35,4.2,4.34,7850000,4.34
"141",4.3,4.34,4.2,4.22,9571500,4.22
"142",4.19,4.22,4.07,4.12,13880700,4.12
"143",4.12,4.21,4.09,4.15,14459100,4.15
"144",4.18,4.31,4.17,4.24,12840000,4.24
"145",4.24,4.32,4.2,4.21,17368700,4.21
"146",4.26,4.27,4.1,4.19,34281100,4.19
"147",4.18,4.26,4.18,4.22,9979400,4.22
"148",4.36,4.39,4.15,4.16,24722000,4.16
"149",4.19,4.24,4.1,4.13,20447400,4.13
"150",4.12,4.15,4.01,4.13,15522000,4.13
"151",4.16,4.21,4.1,4.15,12247900,4.15
"152",4.06,4.15,4.06,4.13,9636000,4.13
"153",4.13,4.14,4.07,4.09,11259500,4.09
"154",4.06,4.11,4.04,4.08,7767600,4.08
"155",4.11,4.2,4.07,4.16,14805900,4.16
"156",4.15,4.49,4.11,4.39,23174900,4.39
"157",4.42,4.45,4.22,4.29,16807500,4.29
"158",4.31,4.31,4.21,4.26,8858200,4.26
"159",4.23,4.45,4.18,4.37,11738500,4.37
"160",4.35,4.4,4.26,4.38,5561600,4.38
"161",4.42,4.55,4.35,4.36,11945000,4.36
"162",4.34,4.37,4.16,4.25,16507500,4.25
"163",4.27,4.41,4.22,4.3,19985700,4.3
"164",4.32,4.39,4.21,4.27,16748200,4.27
"165",4.3,4.57,4.26,4.49,18907200,4.49
"166",4.49,4.64,4.46,4.58,24683500,4.58
"167",4.65,4.97,4.55,4.82,37897900,4.82
"168",4.87,4.96,4.67,4.92,28295900,4.92
"169",4.9,4.98,4.8,4.87,17824500,4.87
"170",4.93,4.99,4.85,4.92,13181700,4.92
"171",4.94,5.07,4.92,5.03,14411200,5.03
"172",5.05,5.17,5.03,5.15,13905000,5.15
"173",5.17,5.25,5.16,5.23,10384500,5.23
"174",5.27,5.28,5.1,5.18,21079300,5.18
"175",5.16,5.19,4.93,4.98,22181400,4.98
"176",4.99,5.05,4.8,4.88,21010700,4.88
"177",4.81,4.84,4.7,4.83,14217600,4.83
"178",4.8,4.8,4.54,4.67,18313100,4.67
"179",4.48,4.65,4.43,4.63,18112700,4.63
"180",4.63,4.99,4.61,4.96,32525000,4.96
"181",4.93,5.02,4.77,4.77,13984400,4.77
"182",4.84,5.15,4.83,5.12,36986900,5.12
"183",5.14,5.16,5.08,5.09,16689200,5.09
"184",5.11,5.25,5.1,5.24,14895100,5.24
"185",5.22,5.25,5.11,5.21,12088900,5.21
"186",5.24,5.45,5.23,5.38,17228500,5.38
"187",5.38,5.42,5.15,5.23,12288500,5.23
"188",5.23,5.35,5.17,5.34,11605300,5.34
"189",5.27,5.28,5.01,5.04,19808700,5.04
"190",5.11,5.12,5.01,5.05,13442600,5.05
"191",5.11,5.13,5.02,5.1,8418200,5.1
"192",5.08,5.18,5.05,5.12,13547900,5.12
"193",5.14,5.15,5.01,5.15,10899900,5.15
"194",5.12,5.14,5.05,5.09,6820600,5.09
"195",5.09,5.1,4.95,5.08,10023100,5.08
"196",5.09,5.09,4.94,4.99,10928400,4.99
"197",5.01,5.11,4.94,4.95,15839200,4.95
"198",4.95,5.08,4.94,5.08,11208700,5.08
"199",5.01,5.09,4.95,4.97,11811300,4.97
"200",4.99,5,4.76,4.76,15188100,4.76
"201",4.71,4.87,4.65,4.79,12227800,4.79
"202",4.77,4.79,4.69,4.72,9546100,4.72
"203",4.75,4.85,4.71,4.75,8845300,4.75
"204",4.74,4.76,4.65,4.74,13094300,4.74
"205",4.75,4.76,4.65,4.73,18877300,4.73
"206",4.72,4.87,4.72,4.85,17193400,4.85
"207",4.81,5,4.8,4.97,23280500,4.97
