"","EL.Open","EL.High","EL.Low","EL.Close","EL.Volume","EL.Adjusted"
"1",76.440002,76.669998,76.089996,76.419998,993300,75.542257
"2",76.389999,76.68,76.220001,76.559998,980300,75.680648
"3",76.739998,77.230003,76.360001,76.699997,1671300,75.81904
"4",76.599998,76.760002,75.769997,76.489998,1881500,75.611452
"5",76.470001,76.57,75.760002,75.910004,1384500,75.03812
"6",75.959999,76.220001,75.040001,75.25,1576200,74.385697
"7",75.339996,76.160004,75.139999,76.129997,1211000,75.255587
"8",76.050003,76.830002,75.269997,76.519997,2030200,75.641107
"9",76.5,76.709999,75.370003,75.75,1986400,74.879954
"10",75.75,75.82,74.529999,74.830002,1548000,73.970523
"11",74.860001,75.190002,74.5,74.519997,801800,73.664078
"12",74.440002,75.059998,74.309998,75,1149700,74.138568
"13",74.260002,74.720001,73.82,74.599998,1379600,73.743161
"14",74.57,74.989998,74.5,74.709999,1050000,73.851898
"15",74.949997,75.440002,74.169998,74.260002,1571200,73.40707
"16",74.540001,74.540001,74.050003,74.230003,2067400,73.377416
"17",74.239998,74.370003,73.709999,73.959999,1457000,73.110513
"18",74.089996,75.220001,74.089996,74.970001,1158300,74.108914
"19",74.75,74.870003,74.360001,74.809998,959700,73.950748
"20",74.540001,74.830002,73.709999,74.059998,1546500,73.209363
"21",74.199997,74.910004,74.010002,74.669998,1390100,73.812357
"22",74.019997,74.860001,74.019997,74.690002,1414900,73.832131
"23",74.660004,74.839996,74.269997,74.5,1179200,73.644311
"24",75.029999,76,75.029999,75.379997,1574800,74.514201
"25",75.309998,76.230003,75.300003,75.730003,2427600,74.860187
"26",75.809998,76.050003,75.059998,75.139999,1564700,74.27696
"27",75.220001,75.440002,74.449997,74.489998,1169600,73.634424
"28",74.690002,76.080002,74.339996,76.080002,1778400,75.206166
"29",75.529999,75.709999,74.900002,75.419998,1244000,74.553743
"30",75.760002,76.360001,75.269997,76.239998,1905300,75.364324
"31",76.199997,76.239998,75.550003,75.940002,1619300,75.067774
"32",76.089996,76.410004,75.620003,75.910004,1602800,75.03812
"33",75.599998,75.959999,75.300003,75.669998,957400,74.800871
"34",75.800003,75.870003,74.639999,74.93,1327000,74.069373
"35",74.879997,75.400002,74.360001,74.389999,994000,73.535574
"36",74.470001,74.709999,73.690002,74.269997,1891500,73.41695
"37",74.019997,74.400002,73.239998,73.459999,2010100,72.616256
"38",73.489998,74.269997,72.830002,73.870003,1814400,73.02155
"39",74.230003,74.690002,73.720001,74.220001,1072500,73.367528
"40",74.169998,74.339996,73.669998,73.949997,1163600,73.100625
"41",73.989998,75.169998,73.769997,74.260002,2353400,73.40707
"42",74.650002,74.739998,73.080002,73.199997,2216600,72.35924
"43",73.220001,74.239998,72.849998,74.199997,1909400,73.347754
"44",74.589996,75.910004,74.510002,75.5,1403000,74.632825
"45",75.25,75.879997,74.959999,75.370003,1183800,74.504321
"46",75.519997,75.830002,74.949997,75.150002,1193700,74.286847
"47",75.370003,76.269997,75.169998,75.900002,2275700,75.028233
"48",75.440002,76.699997,74.5,76.160004,3086000,75.285248
"49",76.889999,77.25,76.510002,76.790001,2042800,75.90801
"50",76.669998,76.800003,76.029999,76.639999,1700100,75.759731
"51",76.279999,76.989998,76.25,76.580002,1250900,75.700423
"52",76.550003,77.07,76.239998,76.269997,1725100,75.393978
"53",76.339996,76.790001,76.269997,76.290001,1329600,75.413753
"54",76.779999,77.389999,76.730003,77.190002,1194000,76.303417
"55",77.150002,77.660004,77.089996,77.239998,1295300,76.352838
"56",77.230003,77.25,76.669998,77.010002,1050800,76.323113
"57",76.620003,76.970001,76.550003,76.660004,731200,75.976236
"58",76.720001,77.010002,76.370003,76.830002,1005600,76.144718
"59",76.68,76.889999,76.459999,76.839996,1401500,76.154624
"60",77.129997,77.239998,76.220001,76.230003,1365600,75.550072
"61",76.25,77.050003,76.120003,76.650002,1085300,75.966324
"62",76.589996,76.93,76.040001,76.779999,1256500,76.095161
"63",76.449997,76.480003,75.25,75.589996,1632300,74.915773
"64",75.370003,75.389999,74.209999,74.410004,1748400,73.746305
"65",74.440002,75.089996,74.029999,74.900002,1127700,74.231933
"66",74.470001,74.830002,74.059998,74.739998,1718700,74.073356
"67",74.900002,75.32,74.260002,74.480003,1805000,73.815681
"68",74.389999,74.739998,74.059998,74.43,1434400,73.766124
"69",74.300003,75.199997,74.059998,74.730003,865000,74.063451
"70",74.699997,75.050003,74.360001,74.690002,1098400,74.023807
