"","D.Open","D.High","D.Low","D.Close","D.Volume","D.Adjusted"
"1",68.639999,69.059998,68.43,68.629997,1887200,66.281562
"2",68.440002,68.669998,67.68,67.709999,2006600,65.393045
"3",67.599998,68.269997,67.059998,68.029999,1926600,65.702095
"4",68,68.599998,67.610001,68.440002,2691700,66.098068
"5",68.360001,69.330002,68.239998,68.5,2580400,66.156013
"6",68.370003,68.650002,68.110001,68.480003,2579800,66.136701
"7",68.470001,69.970001,68.370003,69.949997,2948400,67.556393
"8",70.169998,71.290001,70.089996,71,3955600,68.570466
"9",70.970001,71.410004,70.309998,70.379997,3937400,67.971679
"10",70.629997,70.879997,69.720001,70.040001,2187200,67.643317
"11",69.940002,70.589996,69.919998,70.339996,1802200,67.933047
"12",70,70.129997,69.5,69.760002,4956800,67.372899
"13",70.099998,71.169998,69.900002,71.129997,6884200,68.696015
"14",70.910004,71.110001,70.459999,70.82,3406100,68.396625
"15",70.739998,71.699997,70.519997,71.519997,3228900,69.072669
"16",71.529999,71.620003,70.639999,71.160004,3214200,68.724995
"17",70.989998,71,69.269997,69.639999,3615900,67.257003
"18",69.260002,69.260002,68.029999,68.660004,2603900,66.310542
"19",68.5,69.300003,68.379997,68.860001,2767500,66.503695
"20",68.739998,69.209999,68.68,69.150002,2702100,66.783772
"21",69.25,69.379997,68.699997,69.199997,1726900,66.832057
"22",69.110001,70,69,69.980003,2191100,67.585372
"23",69.800003,69.980003,69.419998,69.5,1257700,67.121794
"24",69.720001,69.75,68.879997,68.900002,1605000,66.542327
"25",68.849998,69.599998,68.809998,69.519997,2406500,67.141107
"26",69.75,69.830002,69.050003,69.769997,1303200,67.382552
"27",69.68,69.879997,69.129997,69.139999,2012900,66.774112
"28",69.440002,70.300003,68.970001,70.160004,1852000,67.759213
"29",69.760002,70.330002,69.730003,70.019997,1564600,67.623997
"30",70.339996,70.349998,69.839996,69.940002,1690700,67.54674
"31",69.849998,70.290001,69.68,70.209999,1314000,67.807498
"32",69.779999,70.599998,69.779999,70.339996,1203200,67.933047
"33",70.68,70.68,69.760002,69.860001,1101900,67.469476
"34",69.75,71.059998,69.75,70.879997,1806400,68.45457
"35",70.669998,70.980003,69.93,69.93,2231100,67.53708
"36",70,70.660004,68.400002,68.970001,2588900,66.609931
"37",68.629997,68.849998,67.580002,67.639999,3266900,65.325441
"38",67.330002,68.410004,67.220001,67.589996,2601800,65.277149
"39",67.480003,67.589996,65.849998,67.029999,3911100,64.736313
"40",66.959999,67.089996,65.739998,66.010002,3036100,63.75122
"41",65.620003,65.699997,64.709999,64.910004,5188600,62.688862
"42",65.169998,65.940002,65.169998,65.760002,2863700,63.509775
"43",66.209999,67.900002,66.209999,67.849998,3872800,65.528254
"44",67.82,68.089996,67.300003,67.550003,2103600,65.238524
"45",67.379997,67.82,67.279999,67.489998,1372800,65.180572
"46",67.580002,68.050003,67.360001,67.769997,1321500,65.450989
"47",67.830002,68.349998,67.739998,68.290001,1194800,65.9532
"48",68.57,69.349998,68.480003,68.900002,2190900,66.542327
"49",68.970001,69.25,68.559998,68.68,1375600,66.329854
"50",68.68,69.610001,68.589996,69.589996,1780800,67.208711
"51",69.550003,69.709999,69.160004,69.650002,1221800,67.266663
"52",69.639999,70.150002,69.57,69.690002,1606900,67.305295
"53",69.809998,69.940002,68.989998,69.510002,1617300,67.131454
"54",69.779999,70.25,69.589996,70.089996,1574200,67.691602
"55",70.150002,70.379997,69.410004,69.43,1483300,67.05419
"56",69,69.529999,68.93,69.480003,1850600,67.687424
"57",69.230003,69.860001,69.059998,69.849998,1696000,68.047873
"58",69.730003,70.260002,69.580002,70.220001,1606400,68.40833
"59",70.330002,70.949997,69.080002,69.470001,2619800,67.67768
"60",69.519997,70,69.440002,69.660004,1671500,67.86278
"61",69.699997,70.449997,69.5,70.269997,2593400,68.457036
"62",70.389999,71.300003,70.330002,71.290001,2017300,69.450724
"63",71.199997,71.330002,70.480003,70.849998,2695700,69.022073
"64",70.629997,70.779999,69.839996,69.870003,2497800,68.067362
"65",69.769997,69.959999,69.330002,69.529999,1497700,67.73613
"66",69.529999,70.050003,69.209999,69.919998,1605800,68.116067
"67",69.57,69.57,68.279999,68.580002,1942000,66.810643
"68",68.739998,69.040001,68.339996,68.660004,1272500,66.88858
"69",68.550003,69.639999,68.510002,69.339996,1719200,67.551029
"70",69.730003,69.779999,68.669998,69.050003,2307100,67.268518
"71",69.059998,69.309998,68.190002,68.519997,1756000,66.752186
"72",68.379997,69.07,68.379997,68.919998,3030300,67.141867
"73",68.919998,68.989998,68.080002,68.300003,1709700,66.537868
"74",68.300003,68.449997,67.919998,68.300003,3644500,66.537868
"75",68.400002,68.43,67.959999,68.110001,1690200,66.352767
"76",68,68.5,67.610001,67.629997,1743800,65.885148
"77",67.989998,68.330002,67.290001,68.029999,1661100,66.27483
"78",67.800003,68.580002,67.589996,68.480003,1660400,66.713224
"79",68.849998,70.160004,68.839996,69.089996,2832700,67.307479
"80",69.419998,69.93,69.059998,69.260002,2192300,67.473099
"81",69.25,69.75,69.019997,69.32,1679200,67.531549
"82",69.489998,70.150002,69.019997,70.040001,2125600,68.232974
"83",70.029999,70.440002,69.75,70.07,1846800,68.262199
"84",69.720001,70.669998,69.699997,70.190002,2797800,68.379105
"85",70.199997,72.199997,70.040001,72.120003,4582800,70.259312
"86",72.120003,72.239998,70.389999,70.43,2729100,68.612911
"87",70.779999,71.629997,70.589996,70.620003,2966300,68.798012
"88",70.790001,71.360001,69.970001,69.989998,3822200,68.184261
"89",70.269997,70.349998,67.959999,68.18,8512600,66.420961
"90",67.730003,68.019997,65.529999,66.330002,8471800,64.618692
"91",65.550003,68.389999,65.550003,67.980003,4927200,66.226124
"92",68.239998,68.910004,67.510002,68.730003,3108000,66.956774
"93",68.82,69.57,68.629997,69.470001,2033000,67.67768
"94",69.57,70.129997,69.150002,70.010002,1810300,68.203749
"95",69.849998,70.769997,69.830002,70.029999,2647600,68.22323
"96",70.559998,70.75,69.889999,70.099998,1818900,68.291423
"97",70.220001,70.989998,70.019997,70.720001,1751100,68.89543
"98",70.709999,70.940002,70.239998,70.360001,1679700,68.544718
"99",70.519997,70.709999,69.720001,70.709999,2520600,68.885686
"100",70.669998,71,69.529999,70.169998,2347400,68.359617
"101",70.449997,71.669998,69.68,71.580002,3766900,69.733243
"102",70.040001,71.790001,70.040001,71.300003,4292900,69.460468
"103",71.529999,72.940002,71.470001,72.559998,3224200,70.687955
"104",72.610001,72.82,71.419998,71.82,1964500,69.967049
"105",72.099998,74.589996,71.910004,74.18,4824700,72.266161
"106",74.18,74.239998,72.559998,73.080002,3884700,71.194543
"107",73.419998,73.919998,73.18,73.889999,2038500,71.983643
"108",73.889999,74.489998,73.410004,74.360001,2097400,72.441518
"109",74.169998,74.389999,73.57,73.910004,2472200,72.003131
"110",72.349998,73.309998,72.050003,72.709999,2838000,70.834086
"111",72.779999,73.129997,72.07,72.260002,2599300,70.395699
"112",72.010002,72.099998,71.389999,71.57,2888400,69.723499
"113",71.43,72.32,71.339996,72.160004,1652500,70.298281
"114",72.080002,72.610001,71.809998,72.199997,1677100,70.337242
"115",72.029999,72.660004,71.849998,72.459999,1578000,70.590536
"116",72.019997,72.709999,71.860001,72.669998,1786800,70.795117
"117",73.239998,73.690002,72.629997,73.25,2576100,71.360155
"118",73.25,73.730003,72.919998,73.050003,2431000,71.165318
"119",72.449997,72.82,71.980003,72.629997,2651700,71.34212
"120",72.779999,72.989998,72.139999,72.529999,1591000,71.243895
"121",72.449997,73.300003,72.419998,72.550003,1268500,71.263545
"122",72.160004,72.949997,71.900002,72.279999,2643200,70.998328
"123",72.269997,73.199997,71.900002,72.839996,2286000,71.548396
"124",72.82,73.07,72.220001,72.580002,1496500,71.293011
"125",72.589996,73.050003,72.169998,72.739998,1733000,71.45017
"126",72.029999,72.669998,71.860001,72.150002,1571500,70.870636
"127",72.309998,73.010002,72,72.349998,1654000,71.067087
"128",72.25,72.800003,72.110001,72.510002,2094800,71.224253
"129",73.529999,74.470001,71.809998,71.879997,8403400,70.605419
"130",72.57,73.949997,72.32,73.370003,3741000,72.069004
"131",73.230003,73.879997,72.690002,72.720001,3800000,71.430528
"132",73.059998,73.059998,71.43,71.980003,2352100,70.703652
"133",72.010002,73.309998,71.339996,71.790001,2124900,70.517019
"134",72.360001,74.089996,72.18,73.970001,2643800,72.658363
"135",74.239998,75.339996,73.779999,75.330002,2756200,73.994248
"136",75.300003,75.949997,74.440002,75.400002,4360700,74.063007
"137",76.029999,76.970001,75.779999,76.510002,2747400,75.153325
"138",76.830002,77.510002,76.199997,76.900002,1923200,75.536409
"139",76.800003,78.660004,76.709999,78.379997,1414700,76.990161
"140",78.480003,79.849998,78.25,79.279999,3526600,77.874204
"141",79.239998,80.889999,79.239998,80.230003,2761400,78.807363
"142",79.949997,80.129997,78.029999,78.300003,1990200,76.911586
"143",78.370003,78.510002,76.800003,76.900002,2080800,75.536409
"144",77.260002,77.599998,76.529999,77.489998,2210200,76.115943
"145",77.279999,77.599998,76.300003,76.550003,2779200,75.192617
"146",76.790001,77.940002,76.029999,76.160004,3290000,74.809533
"147",76.370003,77.010002,75.720001,76.470001,2908100,75.114033
"148",77.059998,77.739998,76.879997,77.370003,2164100,75.998076
"149",77.550003,77.68,76.209999,76.5,1815100,75.1435
"150",76.760002,76.900002,75.730003,76.5,2177300,75.1435
"151",77.230003,77.720001,75.870003,76.440002,2347000,75.084566
"152",76.269997,76.949997,75.330002,76.449997,3647800,75.094384
"153",76.449997,77.379997,76.019997,77.169998,2655100,75.801618
"154",77.220001,77.809998,76.830002,77.760002,2559400,76.38116
"155",78,78.389999,77.300003,78.370003,1912500,76.980344
"156",78,79.43,77.470001,79.269997,2466000,77.864379
