"","SO.Open","SO.High","SO.Low","SO.Close","SO.Volume","SO.Adjusted"
"1",43.470001,43.790001,43.450001,43.610001,4161000,41.612747
"2",43.580002,43.610001,43.09,43.09,3944100,41.116562
"3",43.119999,43.610001,42.779999,43.48,4648700,41.4887
"4",43.450001,43.709999,43.240002,43.529999,2983800,41.536409
"5",43.52,44.220001,43.450001,43.700001,5251000,41.698625
"6",43.549999,43.720001,43.330002,43.43,5127800,41.44099
"7",43.5,44.549999,43.419998,44.529999,6044000,42.490611
"8",44.560001,44.970001,44.509998,44.720001,7358800,42.671912
"9",44.84,44.849998,44.240002,44.25,8205200,42.223436
"10",44.130001,44.400002,44.029999,44.220001,5372500,42.194811
"11",44.68,44.689999,44.130001,44.189999,6902100,42.166182
"12",44.220001,44.75,44.220001,44.669998,4393500,42.624199
"13",44.689999,44.82,44.470001,44.810001,3337500,42.75779
"14",44.650002,45.209999,44.580002,45.060001,3863100,42.996341
"15",45.18,45.580002,45.09,45.380001,4446700,43.301685
"16",45.369999,45.369999,44.959999,45.080002,3594500,43.015425
"17",45.040001,45.040001,44.119999,44.259998,6467300,42.232976
"18",44.07,44.07,43.669998,44.009998,4023100,41.994426
"19",43.919998,44.299999,43.919998,44.209999,4135500,42.185267
"20",44.25,44.790001,44.25,44.540001,4718200,42.500155
"21",44.68,44.68,44.18,44.459999,3720300,42.423817
"22",44.48,44.91,44.389999,44.639999,5181800,42.595574
"23",44.630001,44.900002,44.380001,44.529999,4019100,42.490611
"24",44.52,44.66,44.150002,44.18,3831100,42.156642
"25",44.18,44.5,44.150002,44.470001,3744700,42.433361
"26",44.599998,44.779999,44.310001,44.77,3802100,42.719621
"27",44.599998,44.849998,44.509998,44.549999,4331300,42.509696
"28",44.709999,44.950001,44.400002,44.889999,3263600,42.834124
"29",44.889999,45.049999,44.68,44.91,2977000,42.853209
"30",45.029999,45.119999,44.860001,44.91,2808200,42.853209
"31",45.09,45.09,44.790001,44.810001,3476000,42.75779
"32",44.91,44.91,44.540001,44.779999,3955400,42.729162
"33",44.869999,44.990002,44.599998,44.740002,7059000,42.690996
"34",44.619999,45.43,44.619999,45.360001,5568900,43.2826
"35",45.470001,45.470001,44.669998,44.860001,5499600,42.805499
"36",45,45,44.009998,44.380001,6945200,42.347483
"37",43.889999,43.889999,43.220001,43.290001,5675300,41.801904
"38",43.34,43.830002,43.25,43.32,4193700,41.830872
"39",43.380001,43.41,42.349998,43.099998,6639300,41.618433
"40",42.939999,43.200001,42.450001,42.599998,4339700,41.13562
"41",42.43,42.43,41.869999,42.169998,10041500,40.720401
"42",42.349998,42.869999,42.259998,42.619999,4409500,41.154933
"43",42.709999,43.540001,42.700001,43.529999,4982400,42.033652
"44",43.529999,43.599998,43.040001,43.060001,4739800,41.579811
"45",43.049999,43.380001,43,43.220001,3515000,41.734311
"46",42.849998,43.279999,42.669998,43.07,5265700,41.589465
"47",43.150002,43.470001,43.110001,43.43,3162300,41.937091
"48",43.43,43.82,43.279999,43.419998,4392400,41.927433
"49",43.529999,43.720001,43.279999,43.380001,2979800,41.88881
"50",43.549999,43.810001,43.349998,43.799999,2720600,42.294371
"51",43.57,43.84,43.549999,43.810001,2639700,42.304029
"52",43.889999,44.139999,43.799999,43.889999,3109600,42.381278
"53",43.82,44.040001,43.5,43.68,2823900,42.178497
"54",43.799999,44.02,43.720001,43.900002,2091500,42.390936
"55",43.990002,44.080002,43.5,43.540001,2242600,42.04331
"56",43.540001,43.84,43.540001,43.830002,2384400,42.323342
"57",43.689999,44.27,43.689999,44.23,2949900,42.70959
"58",44.18,44.400002,44.060001,44.400002,2615100,42.873748
"59",44.32,44.439999,43.610001,43.799999,3755100,42.294371
"60",43.939999,44.259998,43.939999,44.18,2807400,42.66131
"61",44.07,44.220001,43.779999,44.16,3249800,42.641997
"62",44.32,44.790001,44.259998,44.790001,6021000,43.250341
"63",44.709999,44.82,44.349998,44.560001,3189100,43.028248
"64",44.419998,44.5,43.900002,43.970001,6825800,42.458529
"65",43.900002,43.990002,43.599998,43.759998,2939700,42.255745
"66",43.810001,44.099998,43.619999,44.060001,2844600,42.545436
"67",43.849998,43.889999,43.25,43.360001,4234500,41.869497
"68",43.419998,43.68,43.220001,43.369999,3919700,41.879152
"69",43.400002,44.09,43.400002,43.93,4118800,42.419903
"70",43.75,44.07,43.330002,43.57,4115300,42.072278
"71",43.529999,43.73,43.040001,43.279999,4775700,41.792246
"72",43.360001,43.77,43.349998,43.689999,5639100,42.188152
"73",43.619999,43.84,43.41,43.470001,5335600,41.975717
"74",43.470001,43.599998,43.32,43.400002,3316400,41.908123
"75",43.43,43.59,43.27,43.450001,3662200,41.956404
"76",43.400002,43.669998,43.330002,43.330002,4323400,41.84053
"77",43.32,43.599998,43.07,43.450001,3378300,41.956404
"78",43.330002,43.669998,43.099998,43.630001,3374100,42.130217
"79",43.669998,44.009998,43.48,43.650002,4050500,42.14953
"80",43.799999,44.279999,43.709999,44.09,5901500,42.574403
"81",43.98,44.439999,43.98,44.130001,6439700,42.613029
"82",44.200001,44.25,43.549999,44.139999,5366900,42.622684
"83",44.299999,44.369999,43.919998,44.07,3494800,42.55509
"84",43.98,44.580002,43.939999,44.139999,4618100,42.622684
"85",44.169998,45.099998,44.16,45.040001,5802800,43.491748
"86",45,45.41,44.790001,44.830002,10329900,43.288967
"87",45.040001,45.400002,44.950001,45.110001,6564800,43.559341
"88",45,46.490002,44.98,45.849998,10676800,44.273901
"89",46.139999,47.310001,46.009998,46.900002,11546100,45.287811
"90",46.759998,47.68,45.82,46.849998,11743000,45.239526
"91",46.369999,46.700001,45.900002,46.369999,9931500,44.776027
"92",46.490002,46.540001,45.52,46.220001,8993400,44.631185
"93",46.25,46.91,46.220001,46.779999,5548600,45.171933
"94",46.869999,47,46.580002,46.93,5173300,45.316778
"95",46.880001,47.389999,46.849998,47.189999,5346000,45.567839
"96",47.150002,47.439999,46.919998,47.209999,4837400,45.587152
"97",47.209999,47.5,47.139999,47.41,3322900,45.780278
"98",47.459999,47.689999,47.209999,47.380001,4309600,45.75131
