"","WPX.Open","WPX.High","WPX.Low","WPX.Close","WPX.Volume","WPX.Adjusted"
"1",21.549999,21.65,21.35,21.459999,2771500,21.459999
"2",21.51,21.870001,21.370001,21.809999,3038600,21.809999
"3",21.85,22.41,21.780001,22.35,3321400,22.35
"4",22.370001,22.9,22.219999,22.77,2860500,22.77
"5",22.790001,22.83,22.379999,22.48,2984400,22.48
"6",22.42,22.879999,22.32,22.620001,2764800,22.620001
"7",22.620001,22.99,22.51,22.83,2010800,22.83
"8",22.9,23.82,22.75,23.77,3978400,23.77
"9",23.719999,24.139999,23.620001,24.049999,2814600,24.049999
"10",24.049999,24.35,23.67,23.709999,1659600,23.709999
"11",23.719999,23.790001,22.950001,23.01,2520700,23.01
"12",22.969999,23.48,22.92,23.139999,3506000,23.139999
"13",23.15,23.15,22.879999,22.99,1610800,22.99
"14",22.91,23.200001,22.879999,23.08,2131800,23.08
"15",23.139999,23.92,23.030001,23.91,2557400,23.91
"16",23.950001,24.09,23.450001,23.559999,3819900,23.559999
"17",23.48,23.709999,23.379999,23.459999,2247900,23.459999
"18",23.52,23.559999,23.1,23.190001,1336800,23.190001
"19",23.120001,23.200001,22.16,22.200001,4055300,22.200001
"20",22.25,22.440001,22.01,22.129999,3499400,22.129999
"21",22.200001,22.74,22.15,22.719999,1973300,22.719999
"22",22.52,22.549999,22.120001,22.26,2756800,22.26
"23",22.23,22.25,21.5,21.799999,3661400,21.799999
"24",21.92,22.15,21.700001,22.030001,2328200,22.030001
"25",22.08,22.15,21.5,21.549999,2408600,21.549999
"26",21.67,22.08,21.629999,21.93,2923600,21.93
"27",21.91,22.200001,20.75,20.77,4793300,20.77
"28",20.879999,21.26,20.719999,21.26,2453800,21.26
"29",21.129999,21.139999,20.85,20.969999,2106300,20.969999
"30",21.02,21.16,20.790001,20.860001,2586300,20.860001
"31",20.959999,21.15,20.65,21.059999,2197500,21.059999
"32",21.040001,21.540001,20.91,21.469999,2099400,21.469999
"33",21.200001,21.459999,21.059999,21.110001,2146300,21.110001
"34",21.110001,21.360001,20.889999,21.35,3031700,21.35
"35",21.49,22.139999,21.48,21.809999,5341100,21.809999
"36",21.870001,22.27,21.040001,21.059999,3143800,21.059999
"37",20.950001,20.950001,20.35,20.57,4170400,20.57
"38",20.48,20.67,20.049999,20.5,3101500,20.5
"39",20.49,21.16,20.200001,21.129999,3480100,21.129999
"40",21.17,21.18,20.48,20.77,3878400,20.77
"41",22.48,23.99,22.219999,22.98,10402100,22.98
"42",22.98,23.25,22.360001,22.75,4677100,22.75
"43",22.889999,23.709999,22.780001,23.48,4269800,23.48
"44",23.65,23.690001,23.17,23.33,2255300,23.33
"45",23.290001,23.59,22.9,23.08,2619400,23.08
"46",23.110001,23.549999,23.110001,23.26,2584300,23.26
"47",23.360001,23.49,23.040001,23.16,2408400,23.16
"48",23.24,23.549999,23.040001,23.51,2593700,23.51
"49",23.549999,23.92,23.469999,23.860001,2434800,23.860001
"50",24,25,23.93,24.85,3733800,24.85
"51",25,25,24.530001,24.889999,3521000,24.889999
"52",25.030001,25.26,24.440001,25.209999,4632100,25.209999
"53",25.1,25.360001,24.719999,25.200001,3055400,25.200001
"54",25.950001,25.99,25.59,25.84,3812800,25.84
"55",25.780001,26.059999,25.700001,25.74,2659300,25.74
"56",25.889999,26.59,25.76,26.379999,3125700,26.379999
"57",26.4,26.68,26.290001,26.59,2771400,26.59
"58",26.639999,26.76,26.540001,26.620001,2783200,26.620001
"59",26.540001,26.719999,26.18,26.24,3817200,26.24
"60",26.299999,26.690001,26.17,26.370001,2573700,26.370001
"61",26.57,26.790001,25.66,25.940001,2207600,25.940001
"62",26.18,26.530001,26.030001,26.27,2340300,26.27
"63",26.23,26.25,25.68,26,2922200,26
"64",26.129999,26.290001,25.549999,25.85,2536100,25.85
"65",25.77,25.799999,25.27,25.51,3175100,25.51
"66",25.309999,25.73,25.110001,25.719999,2520500,25.719999
"67",25.639999,25.790001,25.17,25.26,1980700,25.26
"68",25.26,25.6,25,25.309999,3201000,25.309999
"69",25.219999,26.25,25.15,26.049999,2163900,26.049999
"70",26.120001,26.280001,25.809999,25.889999,1966400,25.889999
"71",25.969999,26.049999,25.360001,25.450001,1382200,25.450001
"72",25.559999,25.629999,25.27,25.4,3554000,25.4
"73",25.290001,25.290001,24.57,24.74,1455400,24.74
"74",24.74,25.370001,24.549999,25.040001,1711400,25.040001
"75",25.040001,25.110001,24.43,24.91,1898700,24.91
"76",24.73,24.799999,23.809999,23.82,2544900,23.82
"77",23.780001,24.42,23.59,24.26,2135000,24.26
"78",24.049999,24.639999,23.73,24.57,2154700,24.57
"79",24.52,24.700001,23.690001,24.059999,2741100,24.059999
"80",24.08,24.42,23.27,23.32,2877200,23.32
"81",23.09,23.5,22.48,23.35,2347400,23.35
"82",23.459999,23.76,22.889999,22.9,3827300,22.9
"83",22.879999,23.16,22.379999,22.67,3272600,22.67
"84",22.469999,22.59,21.83,21.83,3082700,21.83
"85",21.700001,21.77,20.620001,21.559999,6687300,21.559999
"86",21.360001,21.379999,19.66,19.73,8815900,19.73
"87",19.58,19.639999,18.25,18.85,8693200,18.85
"88",18.780001,19.030001,17.35,17.4,4589200,17.4
"89",17.459999,17.889999,16.389999,16.549999,7650200,16.549999
"90",16.209999,17.610001,16.040001,17.5,6029400,17.5
"91",17.040001,18.629999,16.99,17.99,6149500,17.99
"92",18.27,18.98,17.459999,17.68,3543900,17.68
"93",17.57,18.389999,17.23,18.299999,3175400,18.299999
"94",18.540001,19.23,18.52,19.139999,3850400,19.139999
"95",19.23,19.52,18.25,18.290001,2842200,18.290001
"96",18.51,19.48,18.440001,19.16,2088600,19.16
"97",19.02,19.129999,18.450001,18.940001,1200400,18.940001
"98",18.370001,18.530001,17.809999,18.16,2256100,18.16
"99",18.290001,19.129999,18.049999,19.040001,2293700,19.040001
"100",19.23,19.66,18.799999,19.17,1910800,19.17
"101",19.030001,19.139999,18.120001,18.540001,1252600,18.540001
"102",18.76,19.209999,17.940001,19.120001,2276700,19.120001
"103",19.27,20.040001,18.85,19.01,2650300,19.01
"104",18.610001,18.77,17.93,18.139999,3678800,18.139999
"105",18.129999,18.32,17.139999,17.58,5753300,17.58
"106",17.360001,17.690001,16.870001,17.309999,4393800,17.309999
"107",17.32,18.4,17.200001,18.040001,4873800,18.040001
"108",18.360001,18.58,17.549999,17.6,2585000,17.6
"109",17.41,17.690001,16.76,17.379999,4244500,17.379999
"110",17.040001,17.52,16.700001,16.73,3907200,16.73
"111",16.5,16.58,15.27,15.81,7033700,15.81
"112",15.82,16.32,15.49,16.16,6475600,16.16
"113",16.09,16.09,15.12,15.58,4100700,15.58
"114",15.47,15.96,15.42,15.56,2678100,15.56
"115",15.86,16.379999,15.55,16.27,3997900,16.27
"116",16.24,17.15,16.139999,16.77,3998000,16.77
"117",17.1,17.57,16.48,16.799999,4079200,16.799999
"118",16.719999,16.950001,16.08,16.299999,3449200,16.299999
"119",16.280001,16.459999,15.69,16.09,4735000,16.09
"120",16,16.48,15.71,15.97,3503100,15.97
"121",15.35,15.37,13.5,13.57,3372900,13.57
"122",13.51,13.74,12.66,13.11,7089200,13.11
"123",13,13.58,12.77,12.8,6027200,12.8
"124",12.84,13.43,12.62,12.82,6564400,12.82
"125",12.62,12.77,11.88,12.05,7272800,12.05
"126",12.01,12.12,11.44,11.65,5624800,11.65
"127",11.37,11.42,10.59,10.75,8067700,10.75
"128",10.74,11.81,10.74,11.69,5952700,11.69
"129",11.72,11.72,10.57,10.73,4323200,10.73
"130",10.81,11.52,10.59,10.62,8453500,10.62
"131",10.54,11.14,10.31,10.77,6988000,10.77
"132",10.94,11.12,10.2,10.27,6793600,10.27
"133",10.13,11.2,10.01,10.65,7058000,10.65
"134",10.8,12.21,10.71,11.94,6171400,11.94
"135",12.36,12.46,11.28,11.86,5779900,11.86
"136",11.86,12.38,11.43,12.37,7621500,12.37
"137",12.15,12.15,11.33,11.71,5607600,11.71
"138",11.83,12.15,11.62,11.93,4535100,11.93
"139",11.78,11.78,11.32,11.53,1734200,11.53
"140",11.6,11.98,11.51,11.64,2895300,11.64
"141",11.77,11.95,11.39,11.57,2991100,11.57
"142",11.46,11.71,11.33,11.45,2345700,11.45
"143",11.25,11.74,11.07,11.63,2844500,11.63
"144",11.6,12.25,11.41,11.91,4298900,11.91
"145",11.65,11.65,10.85,10.87,3634700,10.87
"146",10.79,11.1,10.61,10.98,5707900,10.98
"147",11.14,11.21,10.56,10.8,6511100,10.8
"148",10.94,11.73,10.65,11.52,7743300,11.52
"149",11.51,11.65,11.13,11.43,3693600,11.43
"150",11.14,11.16,10.53,11.01,5437300,11.01
"151",11.04,11.18,10.6,10.8,4095900,10.8
"152",10.64,11.64,10.58,11.59,3473100,11.59
"153",11.82,11.93,10.96,10.99,3452000,10.99
"154",11.05,11.91,10.99,11.85,3111700,11.85
"155",11.7,11.7,10.94,11.28,3683400,11.28
"156",11.36,11.62,11.24,11.52,4258400,11.52
"157",11.64,11.7,10.89,11.11,4054500,11.11
"158",11.14,11.21,10.6,10.9,5867400,10.9
"159",10.94,11.5,10.72,11.36,4489400,11.36
"160",11.34,11.71,11.15,11.5,5346800,11.5
"161",11.36,11.44,10.43,10.46,4607000,10.46
"162",10.43,10.67,10.04,10.59,4741300,10.59
"163",10.41,10.83,10.15,10.66,5108800,10.66
"164",10.85,11.97,10.74,11.96,7391300,11.96
"165",12.22,12.85,12.04,12.78,7245800,12.78
"166",12.36,13.06,12.22,12.84,6854600,12.84
"167",12.99,13.4,12.8,13.32,7703500,13.32
"168",13.43,13.55,12.86,13.14,4138800,13.14
"169",13.27,13.44,12.64,12.71,5651700,12.71
"170",12.73,12.79,12.07,12.41,4965400,12.41
"171",12.12,12.51,11.66,12.39,3963000,12.39
"172",12.67,12.79,12.34,12.64,4015200,12.64
"173",12.82,12.95,12.2,12.6,9233100,12.6
"174",12.5,12.8,12.21,12.6,6100400,12.6
"175",12.38,12.93,12.24,12.3,5021500,12.3
"176",11.93,12.53,11.85,12.3,6050100,12.3
"177",12.35,12.58,11.98,12.08,4203600,12.08
"178",11.84,11.97,11.48,11.85,4251200,11.85
"179",11.99,12.2,11.53,11.62,3830200,11.62
"180",11.64,11.98,11.54,11.94,4027900,11.94
"181",12.09,12.21,10.61,10.75,9667400,10.75
"182",10.86,11.06,10.43,10.78,6380200,10.78
"183",10.78,10.85,10.51,10.77,6343300,10.77
"184",10.8,11.1,10.61,10.68,6112600,10.68
"185",10.75,11.35,10.62,11.11,6028900,11.11
"186",11.02,11.21,10.71,11.04,3432100,11.04
"187",10.89,11.34,10.81,11.32,4693100,11.32
"188",11.31,11.93,11.15,11.37,7541800,11.37
"189",11.17,11.38,10.81,10.86,4672300,10.86
"190",10.92,11.04,10.71,11.03,3906300,11.03
"191",11.08,11.15,10.57,10.7,4250300,10.7
"192",10.51,10.95,10.36,10.91,4749800,10.91
"193",10.89,10.89,10.19,10.76,4531600,10.76
"194",10.68,10.88,10.4,10.62,4537700,10.62
"195",10.45,11.59,10.42,11.46,4537100,11.46
