"","ADI.Open","ADI.High","ADI.Low","ADI.Close","ADI.Volume","ADI.Adjusted"
"182",59,59.040001,58.509998,58.540001,1198200,58.189725
"183",58.810001,59.779999,58.540001,59.779999,1854000,59.422303
"184",59.540001,59.599998,58.439999,58.740002,1499300,58.388529
"185",58.330002,58.720001,57.950001,58.400002,1037700,58.050563
"186",58.560001,58.869999,58.18,58.450001,985000,58.100263
"187",58.290001,58.57,57.450001,57.93,1584100,57.583374
"188",57.970001,58.59,57.970001,58.459999,1313300,58.110202
"189",57.82,58.110001,57.200001,57.200001,1381700,56.857743
"190",57.419998,57.889999,57.099998,57.290001,1412900,56.947204
"191",56.810001,57.549999,56.68,57.509998,1010000,57.165885
"192",57.310001,57.700001,56.799999,57.529999,1276300,57.185766
"193",57.810001,58.830002,57.650002,58.799999,1367500,58.448168
"194",58.419998,58.799999,58.080002,58.759998,1845200,58.408406
"195",58.549999,59.889999,58.34,59.669998,3023200,59.312961
"196",59.43,60.119999,59.110001,60,2724600,59.640988
"197",60.380001,61.32,59.950001,61.07,4481000,60.704585
"198",60.68,61.09,60.299999,60.400002,2177600,60.038596
"199",60.27,60.509998,60,60.360001,2737800,59.998835
"200",60.34,60.34,57.540001,57.560001,3767300,57.215589
"201",56.919998,57.889999,56.27,57.419998,2847200,57.076424
"202",57.459999,58.869999,57.009998,58.84,2521400,58.487929
"203",62.099998,64.940002,61.849998,64.809998,10493700,64.422205
"204",64.18,64.519997,62.860001,63,3694200,62.623038
"205",62.830002,63.220001,62.009998,62.57,2374700,62.19561
"206",62.299999,63.330002,61.950001,62.240002,2200500,61.867587
"207",61.59,62.939999,61.330002,62.779999,2329800,62.404353
"208",62.709999,63.66,62.279999,63.240002,2118300,62.861603
"209",63.130001,63.889999,63.02,63.669998,2266200,63.289027
"210",63.32,64.099998,63.23,64.029999,1574600,63.646873
"211",64.279999,64.389999,63.849998,64.239998,1274000,63.855616
"212",64.25,64.650002,63.610001,63.75,1475200,63.36855
"213",63.630001,63.860001,62.459999,62.57,2292600,62.19561
"214",62.93,64.059998,62.860001,63.93,1557000,63.547473
"215",63.52,64.230003,63.490002,64.110001,1453700,63.726396
"216",63.360001,63.759998,63.07,63.419998,2449500,63.040523
"217",63.669998,64.410004,63.619999,63.720001,1508900,63.338731
"218",64.150002,64.540001,63.790001,64.370003,1435900,63.984843
"219",64.739998,64.739998,63.669998,64.489998,1021800,64.10412
"220",63.040001,63.82,62.799999,63.59,2707700,63.209507
"221",63.580002,63.599998,61.849998,62.529999,3916500,62.155849
"222",62.02,63.27,62.02,62.669998,1689400,62.29501
"223",62.68,63.459999,62.5,63.220001,1912300,62.841722
"224",63.049999,63.650002,62.310001,62.82,1547500,62.444114
"225",62.549999,62.669998,61.290001,61.84,2985900,61.469979
"226",62.349998,63.57,62.34,63.27,3636800,62.891422
"227",63.630001,63.900002,63.150002,63.25,1436400,62.871542
"228",63.040001,63.040001,61.720001,61.77,1630200,61.400398
"229",62.07,62.27,61.259998,61.639999,1673100,61.271175
"230",61.830002,62.619999,61.57,62.040001,1760100,61.668783
"231",62.75,63.439999,62.400002,62.720001,2026900,62.344714
"232",62.75,63,62.630001,62.639999,1396700,62.265191
"233",62.240002,62.490002,61.59,62.080002,1614400,61.708544
"234",62.25,62.869999,62.029999,62.240002,1659000,61.867587
"235",62.970001,63.830002,62.709999,63.400002,1918800,63.020646
"236",63.889999,63.93,62.959999,63.18,2333200,62.801961
"237",63.23,63.709999,63.029999,63.360001,3453600,62.980884
"238",63.799999,64.339996,63.299999,63.450001,4538900,63.070346
"239",64.199997,66.849998,64,66.18,7012400,65.78401
"240",66,66.019997,65.050003,65.489998,3560700,65.098136
"241",65.540001,67.470001,65.470001,67.099998,3560300,66.698504
"242",66.949997,67.150002,65.940002,66.849998,2970000,66.449999
"243",66.57,68.440002,66.480003,68.290001,2995700,68.290001
"244",68.349998,68.75,67.68,68.309998,1722500,68.309998
"245",68.5,68.510002,67.589996,67.959999,2362000,67.959999
"246",68.410004,68.970001,67.800003,68.75,2453000,68.75
"247",68.690002,68.699997,67.510002,67.709999,1819000,67.709999
"248",68.080002,68.080002,67.190002,67.290001,1227200,67.290001
"249",66.919998,67.43,66.620003,66.940002,2160000,66.940002
"250",66.949997,67.610001,66.410004,67.370003,1769500,67.370003
"251",67.43,67.519997,65.720001,65.949997,2301300,65.949997
"252",66.07,66.389999,65.269997,65.690002,2269100,65.690002
"253",66.080002,67.879997,65.739998,67.720001,2994500,67.720001
