"","DLTR.Open","DLTR.High","DLTR.Low","DLTR.Close","DLTR.Volume","DLTR.Adjusted"
"1",55.619999,55.619999,54.540001,54.610001,1622400,54.610001
"2",54.639999,54.68,54.02,54.27,1110400,54.27
"3",54.080002,54.290001,53.549999,53.93,1183800,53.93
"4",54.040001,54.119999,53.57,53.919998,1196200,53.919998
"5",53.84,54.310001,53.84,54,964400,54
"6",53.889999,54.18,53.700001,53.900002,784700,53.900002
"7",53.709999,53.950001,53.360001,53.75,1117100,53.75
"8",53.799999,54.060001,53.41,53.720001,1163300,53.720001
"9",53.990002,54.029999,53.400002,53.68,2375500,53.68
"10",53.779999,53.869999,53.389999,53.5,1263300,53.5
"11",53.669998,53.970001,53.43,53.77,2263800,53.77
"12",54.630001,54.630001,53.669998,53.919998,2073900,53.919998
"13",53.810001,53.810001,53.110001,53.66,1452300,53.66
"14",53.630001,53.630001,52.919998,53.349998,1320500,53.349998
"15",53.470001,54.560001,53.16,54.459999,2963100,54.459999
"16",54.41,54.790001,54.169998,54.419998,1594600,54.419998
"17",54.240002,54.880001,54.240002,54.75,1438600,54.75
"18",54.830002,55.52,54.299999,55,1071200,55
"19",54.950001,55.360001,54.790001,55.349998,1953000,55.349998
"20",55.200001,55.580002,55.040001,55.150002,1693300,55.150002
"21",56.700001,56.700001,55.049999,55.220001,1589600,55.220001
"22",54.509998,55.799999,54.119999,55.48,2097300,55.48
"23",55.43,55.509998,54.669998,55.25,1343700,55.25
"24",55.450001,55.650002,55.16,55.290001,1239600,55.290001
"25",55.369999,55.700001,54.98,55.169998,2159500,55.169998
"26",55.169998,55.200001,54.290001,54.57,1445700,54.57
"27",54.25,54.799999,54.060001,54.200001,1157000,54.200001
"28",54.48,54.889999,54.009998,54.759998,1232100,54.759998
"29",54.639999,54.84,54.32,54.41,665300,54.41
"30",54.630001,54.68,54.16,54.290001,819500,54.290001
"31",54.439999,54.580002,54.119999,54.459999,559900,54.459999
"32",54.48,55.18,54.48,54.950001,1522100,54.950001
