"","PSA.Open","PSA.High","PSA.Low","PSA.Close","PSA.Volume","PSA.Adjusted"
"1",171,172.210007,171,171.600006,663100,164.774593
"2",169.910004,170.570007,169.179993,169.929993,648100,164.513188
"3",170.059998,170.350006,168.669998,169.429993,455300,164.029126
"4",169.380005,170.009995,168.220001,169.529999,556700,164.125945
"5",169.389999,170.75,168.679993,168.990005,478600,163.603165
"6",168.320007,169.850006,167.800003,169.779999,473600,164.367976
"7",169.479996,171.240005,168.559998,170.860001,621300,165.41355
"8",170.869995,172.210007,170.029999,171.360001,555800,165.897612
"9",171.729996,172.369995,170.759995,172.119995,1017300,166.633381
"10",172.139999,172.990005,171.160004,171.279999,529100,165.820161
"11",171,172.039993,170.630005,170.949997,461400,165.500678
"12",170.529999,171.339996,169.360001,169.699997,702500,164.290524
"13",169.940002,170.199997,169.240005,169.350006,492700,163.95169
"14",169.240005,172.410004,169.240005,172.169998,658800,166.68179
"15",171.289993,172.119995,170.320007,171.350006,606000,165.887936
"16",171.850006,172.660004,170.619995,172.080002,496100,166.594662
"17",171.690002,171.949997,170.220001,171.630005,394900,166.15901
"18",171.550003,171.550003,169.759995,170.869995,248900,165.423226
"19",171.009995,171.679993,170.289993,170.669998,401100,165.229605
"20",171,171.820007,170.300003,170.520004,506700,165.084392
"21",170.679993,170.990005,169.529999,170.550003,367800,165.113435
"22",170.550003,171.600006,170.009995,171.259995,575800,165.800794
"23",171.360001,171.660004,170.229996,171.309998,399000,165.849203
"24",171.649994,172.25,171.080002,172.139999,382300,166.652747
"25",172.210007,172.960007,171.559998,172.179993,410000,166.691466
"26",172.25,172.699997,171.479996,172.479996,430600,166.981906
"27",171.75,172.860001,171.5,171.979996,401400,166.497844
"28",172.509995,173.320007,171.789993,173.210007,406600,167.688646
"29",172.820007,173.770004,172.479996,172.899994,417000,167.388516
"30",173.289993,173.990005,172.940002,173.139999,483100,167.62087
"31",173.110001,174.830002,173.110001,174,477200,168.453457
"32",174.470001,175.259995,173.979996,175.149994,768100,169.566793
"33",174.550003,175.729996,173.580002,173.669998,484500,168.133975
"34",174.220001,175.860001,173.839996,175.490005,467800,169.895966
"35",175.309998,175.779999,174.289993,174.520004,415900,168.956885
"36",174.440002,175.850006,173.929993,175.259995,510300,169.673287
"37",174.559998,174.770004,171.289993,171.610001,966600,166.139643
"38",171.820007,173.419998,171.610001,172.699997,653800,167.194894
"39",172.649994,173.270004,171.190002,172.740005,418200,167.233627
"40",172,172.809998,170.839996,171.119995,546700,165.665257
"41",171.160004,173.820007,171.100006,172.800003,732200,167.291712
"42",172.929993,173.850006,172.009995,172.289993,428600,166.79796
"43",172.889999,173.520004,171.580002,173.320007,474700,167.79514
"44",172.820007,174.440002,172.820007,173.699997,452900,168.163017
"45",173.929993,175.389999,173.509995,173.839996,497400,168.298554
"46",174.399994,176.419998,173.979996,175.720001,447000,170.11863
"47",176.589996,176.889999,174.440002,175.460007,602100,169.866924
"48",175.949997,176.589996,174.039993,175.009995,501300,169.431256
"49",176.070007,176.139999,175.160004,175.720001,491900,170.11863
"50",175.779999,177.160004,175.520004,176.470001,307700,170.844723
"51",176.539993,177.809998,175.5,177.240005,521500,171.590182
"52",177.889999,178.259995,176.630005,176.679993,334600,171.048021
"53",176.449997,176.490005,174.270004,174.940002,423900,169.363495
"54",175.729996,175.729996,173.589996,173.990005,460400,168.443781
"55",174.800003,174.949997,173.330002,173.550003,402700,168.017805
"56",173.729996,174.279999,173.130005,173.869995,250800,168.327596
"57",173.369995,174.240005,173.369995,173.850006,342700,168.308245
"58",174,175.220001,173.800003,175.179993,494900,169.595836
"59",175.5,175.770004,174.660004,175.300003,394200,169.71202
"60",176.139999,176.410004,174.479996,175.419998,332700,169.82819
"61",175.179993,175.5,173.25,174.259995,425300,168.705164
"62",174.320007,176.759995,173.789993,176.639999,695800,171.009302
"63",176.649994,177.130005,175.440002,175.990005,360100,170.380028
