"","AZO.Open","AZO.High","AZO.Low","AZO.Close","AZO.Volume","AZO.Adjusted"
"1",532.72998,533.719971,530.570007,532.47998,108700,532.47998
"2",531.679993,532.880005,526.400024,529.099976,269900,529.099976
"3",529.369995,529.369995,520.809998,524.369995,248000,524.369995
"4",523.150024,525.23999,520.25,523.099976,192500,523.099976
"5",523.48999,525.890015,520.929993,524.809998,140200,524.809998
"6",523.309998,525.400024,521,524.340027,104700,524.340027
"7",525.320007,527.25,521.380005,526.97998,189300,526.97998
"8",529.210022,530,526.710022,527.98999,135500,527.98999
"9",531.109985,533.059998,526.799988,530.789978,348800,530.789978
"10",531,534.049988,529.02002,532.940002,195300,532.940002
"11",530.429993,533.700012,529.049988,530.669983,157300,530.669983
"12",528.76001,532.299988,526.52002,532,137200,532
"13",530,532.650024,526.75,532.400024,120300,532.400024
"14",530.570007,535.51001,528.909973,535.320007,167700,535.320007
"15",533,536.450012,532.26001,536.23999,195300,536.23999
"16",537,538.25,534.530029,536.820007,159200,536.820007
"17",534.840027,537.789978,532.849976,535.309998,191900,535.309998
"18",537.429993,540.400024,536.109985,539.460022,139200,539.460022
"19",539.400024,540.48999,536.140015,538.23999,185600,538.23999
"20",535.51001,537.840027,534.320007,535.109985,205700,535.109985
"21",535.150024,539.609985,534.469971,538.659973,168400,538.659973
"22",535.27002,538.349976,532,534.02002,132400,534.02002
"23",534.02002,534.570007,528.5,533.450012,109600,533.450012
"24",536.710022,536.710022,533.039978,533.659973,105200,533.659973
"25",531.97998,534.320007,528.400024,533.51001,251800,533.51001
"26",535.869995,535.869995,529.200012,531.820007,236500,531.820007
"27",528,531.27002,523.51001,524.690002,149000,524.690002
"28",521.200012,523.090027,517.22998,520.559998,345600,520.559998
"29",520.559998,521.98999,513.169983,515.169983,220600,515.169983
"30",514.960022,515.27002,505.320007,511.920013,332500,511.920013
"31",510.220001,512.340027,506.459991,507.720001,263800,507.720001
"32",511.640015,516.76001,510.540009,514.820007,242000,514.820007
"33",518.909973,518.909973,513.309998,514.570007,149100,514.570007
"34",513.77002,517.419983,512.809998,513.219971,133900,513.219971
"35",512.280029,514.809998,509.950012,510.040009,170700,510.040009
"36",510.309998,523.25,510.309998,521.840027,261900,521.840027
"37",523.799988,523.799988,516.789978,517.030029,284700,517.030029
"38",515.070007,520.22998,512.039978,514.409973,177800,514.409973
"39",514.380005,521.76001,514.099976,519.48999,115300,519.48999
"40",516.400024,524,515.179993,518.070007,173700,518.070007
"41",516.349976,522.960022,515.530029,519.599976,133200,519.599976
"42",520.299988,521.77002,515.98999,517.26001,203000,517.26001
"43",519.780029,526.309998,516.469971,525.98999,162000,525.98999
"44",528.669983,528.669983,524.98999,525.469971,86700,525.469971
"45",523.919983,526.789978,520.02002,524.580017,116300,524.580017
"46",526.390015,526.390015,520.169983,524.030029,140500,524.030029
"47",526.340027,533.070007,524.429993,530.669983,163100,530.669983
"48",533.849976,535.799988,527.02002,529.030029,148700,529.030029
"49",531,534.159973,529.549988,533.900024,126500,533.900024
"50",534.22998,539.23999,533.26001,536.840027,115800,536.840027
"51",536.830017,538.700012,531.460022,537.960022,177600,537.960022
"52",538.059998,541.070007,536.26001,537.780029,145100,537.780029
"53",538.419983,539.390015,536.450012,537.460022,161600,537.460022
"54",539,543.630005,537.469971,540.929993,85400,540.929993
"55",542,542,535,535.950012,169000,535.950012
"56",537.830017,539.5,535.02002,538.47998,158800,538.47998
"57",535.090027,540,533.590027,538.77002,102500,538.77002
