"","BLK.Open","BLK.High","BLK.Low","BLK.Close","BLK.Volume","BLK.Adjusted"
"1",314.149994,315.75,312.130005,314.700012,392700,307.496988
"2",312.829987,313.980011,309.809998,311.390015,408200,304.262751
"3",311.540009,311.859985,307.23999,308.820007,519900,301.751568
"4",309.640015,311,308.089996,309.450012,340700,302.367153
"5",308.450012,309.98999,306.51001,309.380005,471700,302.298748
"6",307.690002,312.190002,305.839996,312.049988,453200,304.907619
"7",312.25,320.679993,310.450012,319.850006,935200,312.529106
"8",320.079987,321.140015,316.279999,318.799988,700900,311.503121
"9",319.579987,320.529999,316.76001,318.049988,670100,310.770288
"10",317.160004,318.929993,316.209991,317.920013,466700,310.643288
"11",316.98999,319.98999,315.160004,316.26001,584200,309.021279
"12",315.390015,318.679993,314.059998,317,514600,309.744332
"13",317.25,317.809998,312.540009,315.220001,605300,308.005075
"14",315,317.670013,313.809998,317.089996,521300,309.832269
"15",317.109985,320.640015,316.5,319.600006,503500,312.284828
"16",321.700012,324.859985,320.350006,322.380005,494600,315.001197
"17",322.700012,322.899994,319.859985,321.869995,540100,314.50286
"18",320.98999,324.5,320.589996,323.600006,276500,316.193274
"19",321.26001,322.76001,320.119995,321.179993,387200,313.828651
"20",321.019989,321.179993,317.670013,318.309998,451300,311.024346
"21",320.5,321.700012,318.920013,320.959991,345500,313.613685
"22",316.480011,317.839996,314.019989,315.899994,538900,308.669504
"23",316.100006,318.690002,314.5,317.809998,614800,310.53579
"24",319.230011,323.809998,319.049988,323.26001,650700,315.86106
"25",323.01001,326.200012,322.220001,323.73999,1063000,316.330054
"26",327.040009,331.899994,322.540009,325.170013,883300,317.727346
"27",322.98999,325.899994,317.309998,317.790009,761700,310.516259
"28",318.109985,321.720001,317.660004,320.859985,672800,313.515968
"29",318.070007,320.559998,317.459991,318.619995,558100,311.327248
"30",319.149994,321.390015,318.640015,319.059998,520400,311.75718
"31",319.880005,320,316.5,316.549988,688900,309.30462
"32",318.279999,319.170013,316.440002,317.359985,395600,310.096078
"33",315.670013,316.76001,313.619995,314.910004,508300,307.702173
"34",314.899994,317.579987,313.25,316.429993,558900,309.187372
"35",317.149994,319.25,314.390015,314.540009,454500,307.340647
"36",316.170013,317.149994,312.630005,314.820007,504000,307.614237
"37",311.75,311.98999,304.730011,304.730011,843500,297.755186
"38",300.700012,308.079987,300,303.450012,770000,296.504484
"39",306.48999,306.48999,303.290009,305.369995,881200,298.380521
"40",304.130005,305.640015,300.369995,301.100006,755400,294.208266
"41",299.790009,305.980011,299.339996,304.019989,668900,297.061415
"42",305.51001,307.73999,301.519989,302.970001,431500,296.03546
"43",304.440002,308.109985,302.609985,307.799988,395800,300.754895
"44",309.200012,310.779999,308.119995,308.440002,355700,301.380261
"45",307.690002,311.380005,307.609985,310.880005,554100,303.764415
"46",312.929993,314.25,311.700012,313,383600,305.835887
"47",313.320007,314.869995,312.899994,314.720001,334300,307.516519
"48",316.459991,317.149994,312.25,315.109985,588400,307.897577
"49",317.079987,319.859985,316.390015,319.730011,465200,312.411857
"50",319.519989,321.850006,318.809998,321.549988,708900,314.190178
"51",321.410004,324.959991,319.799988,324.720001,527400,317.287634
"52",324.450012,326.399994,322.959991,326.290009,516000,318.821706
"53",325.100006,327.690002,324.299988,326,457500,318.538336
"54",327.630005,333.480011,327.470001,332.959991,706800,325.339023
"55",334.109985,337.279999,333.149994,336.470001,696900,328.768694
"56",336.549988,337.649994,332.019989,333.549988,553600,325.915515
"57",330.649994,331.380005,328.079987,328.839996,555200,323.183343
"58",330,330.809998,328.570007,330.529999,492500,324.844274
"59",332.410004,332.660004,327.019989,328.820007,772500,323.163698
"60",331.579987,332.730011,329.76001,331.209991,446200,325.51257
"61",333.049988,334.950012,330.829987,331.730011,441100,326.023644
"62",331,332.76001,328.230011,332.73999,395100,327.01625
"63",331.959991,334.25,330.640015,332.410004,334100,326.69194
"64",331.410004,332.100006,327.850006,328.440002,373100,322.79023
"65",329.959991,331.339996,329.079987,329.859985,468800,324.185786
"66",327.779999,329.5,326.809998,328.51001,505000,322.859033
"67",328.359985,329.869995,327.019989,329.070007,377000,323.409397
"68",328,328.899994,326.149994,326.950012,380900,321.32587
"69",326.290009,329.100006,323.369995,328.170013,589000,322.524885
"70",328.48999,331.859985,327,329.73999,534700,324.067855
"71",330.920013,334.200012,330.130005,333.609985,481700,327.871279
"72",335.829987,336,330.420013,331.75,804000,326.043289
"73",331,331,326.149994,327.609985,395100,321.974491
"74",326.25,328.559998,324.290009,325.059998,423000,319.468367
"75",325.519989,329.420013,325,329,399400,323.340594
"76",326.959991,328.920013,320.549988,321.519989,676100,315.989253
"77",327.5,336.880005,327.5,335.070007,1289400,329.306186
"78",331,333.350006,328.779999,330.649994,760300,324.962205
"79",330.25,332.329987,326.940002,328.320007,770900,322.672299
"80",327.470001,327.470001,322,323.23999,808300,317.679667
"81",321.970001,324.660004,319.119995,323.589996,476500,318.023653
"82",324.920013,328.470001,324.920013,327.079987,492100,321.453609
"83",328.48999,329.320007,324.380005,326.119995,432600,320.510131
"84",324.190002,324.190002,318.799988,318.850006,494400,313.365199
"85",318.019989,325.320007,315.01001,324.890015,818200,319.301308
"86",324.959991,324.959991,315.01001,315.209991,685200,309.787799
"87",313.390015,316.029999,308.5,308.869995,795700,303.556863
"88",309.540009,311.290009,303.730011,303.910004,578300,298.682192
"89",305,309.200012,304,306.73999,816700,301.463498
"90",305.5,313.26001,293.390015,310.369995,1566900,305.03106
"91",302.480011,315.73999,302.01001,310.690002,916800,305.345562
"92",314.369995,319.809998,312.380005,315.679993,698900,310.249716
"93",313.73999,315.559998,312,313.130005,782800,307.743592
"94",316.070007,320.480011,315.220001,319.160004,769700,313.669864
"95",319,320.040009,315.700012,315.880005,716300,310.446287
"96",320.459991,324.200012,319.839996,322.079987,540400,316.539618
"97",321.630005,325.359985,321.429993,324.869995,378200,319.281633
"98",323.369995,325.26001,322.070007,324.790009,426000,319.203022
"99",327.170013,329.390015,325.859985,329.380005,406500,323.714062
"100",328.950012,332.829987,326.880005,331.98999,681700,326.279151
"101",330.019989,334.309998,330,333.230011,601500,327.497841
"102",336.029999,342.220001,335.380005,341.109985,761400,335.242266
"103",342.940002,344,337.049988,338.799988,669800,332.972004
"104",338.380005,342.890015,337.440002,341.529999,753700,335.655054
"105",345.75,347.359985,343.820007,344.25,691900,338.328266
"106",345.290009,348.25,344.25,347.630005,481700,341.650129
"107",348.26001,352.549988,346.160004,351.480011,732300,345.433908
"108",351.5,351.920013,350.040009,350.700012,542900,344.667326
"109",351.559998,352.549988,350.230011,351.190002,323200,345.148888
"110",349.299988,350.980011,347.839996,349.899994,456700,343.88107
"111",350.320007,350.799988,346.100006,348.579987,395800,342.583769
"112",349.970001,350.100006,347.329987,347.709991,234900,341.72874
