"","CTXS.Open","CTXS.High","CTXS.Low","CTXS.Close","CTXS.Volume","CTXS.Adjusted"
"1",62.82,64.510002,62.650002,64.150002,5679400,64.150002
"2",63.889999,64.639999,63.59,64.589996,2351800,64.589996
"3",64.220001,64.440002,63.5,63.639999,3466400,63.639999
"4",63.639999,63.849998,63.139999,63.669998,2828500,63.669998
"5",63.540001,64.330002,63.220001,64.199997,2219600,64.199997
"6",64.089996,64.959999,63.860001,64.760002,2695800,64.760002
"7",64.699997,65.239998,64.25,65.160004,3328500,65.160004
"8",65.370003,65.720001,64.580002,64.959999,2921200,64.959999
"9",65.110001,65.300003,64.660004,64.93,4772400,64.93
"10",64.800003,65.239998,64.400002,65.059998,2109500,65.059998
"11",65.07,65.169998,64.169998,64.330002,2407500,64.330002
"12",64.440002,64.82,64.169998,64.599998,1842300,64.599998
"13",64.699997,64.879997,63.689999,64.360001,1882400,64.360001
"14",64.050003,64.419998,63.369999,64.199997,2833600,64.199997
"15",63.950001,64.099998,62.450001,62.549999,4943000,62.549999
"16",62.880001,63.5,62.639999,63.16,2971000,63.16
"17",63.380001,63.93,63.209999,63.5,1962900,63.5
"18",63.720001,64.190002,63.439999,63.540001,1436300,63.540001
"19",63.349998,63.639999,63.07,63.450001,1700000,63.450001
"20",63.290001,63.389999,62.360001,62.610001,2554300,62.610001
"21",62.709999,63.259998,62.52,62.82,1979400,62.82
"22",61.939999,62.830002,61.830002,62.75,2244800,62.75
"23",62.790001,63.369999,62.52,62.82,1716700,62.82
"24",63.34,63.630001,62.970001,63.400002,1906000,63.400002
"25",63.16,64,63.130001,63.599998,1653300,63.599998
"26",63.84,64.400002,63.290001,63.419998,2768400,63.419998
"27",63.299999,64.029999,63.02,63.34,2287100,63.34
"28",63.68,63.82,62.990002,63.619999,2318600,63.619999
"29",63.66,63.880001,63.130001,63.400002,1270700,63.400002
"30",63.560001,64.68,63.560001,64.080002,2677300,64.080002
"31",63.919998,64.489998,63.860001,64.099998,3137300,64.099998
"32",65.900002,67.580002,65.900002,66.82,6108100,66.82
"33",66.669998,68.400002,66.440002,67.370003,3592400,67.370003
"34",67.510002,68.970001,67.349998,68.639999,4148900,68.639999
"35",68.639999,69.690002,68.57,69.169998,4202400,69.169998
"36",69.510002,70.25,68.940002,68.989998,3414000,68.989998
"37",68.440002,68.849998,67.589996,67.730003,3137700,67.730003
"38",67.730003,68.129997,66.900002,67.400002,1990400,67.400002
"39",67.139999,68.019997,67.089996,67.879997,2139100,67.879997
"40",67.690002,68.32,67.32,67.980003,1696900,67.980003
"41",67.5,68.669998,67.010002,68.480003,2014100,68.480003
"42",68.699997,69.120003,68.400002,68.660004,2175000,68.660004
"43",68.32,68.889999,68.230003,68.389999,2147300,68.389999
"44",68.699997,69.300003,68.540001,68.989998,1677500,68.989998
"45",68.860001,68.940002,68.339996,68.610001,1437200,68.610001
"46",68.25,69.400002,68.25,69.290001,1864000,69.290001
