"","MU.Open","MU.High","MU.Low","MU.Close","MU.Volume","MU.Adjusted"
"1",29,29.540001,28.59,29.51,24108900,29.51
"2",30.65,31.6,30.120001,30.99,55472400,30.99
"3",31.07,31.219999,30.559999,30.860001,28152900,30.860001
"4",31.139999,31.469999,31.059999,31.17,23275600,31.17
"5",31.43,32.189999,31.280001,31.91,35496500,31.91
"6",32,32.400002,31.950001,32.25,25195500,32.25
"7",32.380001,32.43,31.700001,32.060001,30089900,32.060001
"8",32.09,32.169998,31.549999,31.809999,22402300,31.809999
"9",31.879999,31.93,31.4,31.85,28266500,31.85
"10",32.290001,32.299999,31.25,31.26,48594600,31.26
"11",31.51,32.970001,31.16,32.5,59689500,32.5
"12",32.349998,32.740002,31.889999,32.34,29796700,32.34
"13",32.310001,32.400002,31.799999,32,20353300,32
"14",31.879999,31.93,31.450001,31.51,46770900,31.51
"15",32.060001,33.049999,31.9,32.950001,31058200,32.950001
"16",33.240002,34.5,33.07,33.98,36348500,33.98
"17",34,34.27,33.540001,33.759998,26620500,33.759998
"18",34.09,34.279999,33.650002,33.73,13883900,33.73
"19",33.610001,33.650002,32.77,32.860001,21383200,32.860001
"20",32.799999,33.27,32.119999,33.130001,34637500,33.130001
"21",32.59,32.939999,31.860001,32.889999,39287700,32.889999
"22",32.18,33.099998,31.799999,32.77,32916800,32.77
"23",32.84,33.169998,32.639999,32.799999,18868300,32.799999
"24",33.130001,33.73,32.93,33.59,20349500,33.59
"25",33.720001,34.16,33.380001,34.02,27186500,34.02
"26",34.419998,34.849998,34.23,34.639999,30799100,34.639999
"27",33.830002,34,32.990002,33.049999,36943500,33.049999
"28",33.18,33.75,33,33.150002,28525600,33.150002
"29",33,33.349998,32.599998,33.07,15789100,33.07
"30",33.349998,33.689999,33.009998,33.630001,14366200,33.630001
"31",33.549999,33.779999,33.25,33.68,20897100,33.68
"32",33.869999,34.279999,33.630001,33.880001,22684000,33.880001
"33",33.689999,33.82,33.23,33.419998,19655100,33.419998
"34",33.34,33.459999,31.91,31.98,34203200,31.98
"35",32.139999,32.509998,31.959999,32.130001,19377500,32.130001
"36",32.380001,32.740002,32.279999,32.529999,16001600,32.529999
"37",31.17,31.25,29.85,30.549999,64996200,30.549999
"38",30.879999,31.370001,30.549999,31.09,26175300,31.09
"39",31.209999,31.860001,31.049999,31.690001,21821600,31.690001
"40",31.360001,32.099998,30.9,31.09,31699300,31.09
"41",31.059999,31.18,30.110001,30.68,34903400,30.68
"42",30.9,31.190001,29.379999,29.68,35983600,29.68
"43",29.85,30.25,29.620001,30.040001,22893300,30.040001
"44",30.32,30.84,30.15,30.74,20600100,30.74
"45",30.559999,30.940001,30.209999,30.700001,21496400,30.700001
"46",30.889999,31.58,30.889999,31.379999,17832900,31.379999
"47",30.870001,31.24,30.799999,31.040001,16873700,31.040001
"48",31.4,31.73,31.16,31.49,20560700,31.49
"49",31.690001,32.09,31.41,32.040001,17508600,32.040001
