"","HSY.Open","HSY.High","HSY.Low","HSY.Close","HSY.Volume","HSY.Adjusted"
"1",97.129997,97.360001,96.739998,97.029999,656400,94.908304
"2",97,97.089996,96.32,96.940002,703800,94.820275
"3",96.900002,96.989998,96.370003,96.940002,769100,94.820275
"4",96.82,97.660004,96.43,97.639999,794400,95.504966
"5",97.370003,98.239998,97.18,98.050003,1068200,95.906004
"6",97.660004,98.57,97.550003,98.339996,992100,96.189656
"7",98.089996,99.32,97.93,99.25,864800,97.079762
"8",99.25,100,99.25,99.739998,778900,97.559045
"9",100.040001,100.160004,99.699997,100.129997,1611000,97.940517
"10",100,100.120003,98.580002,98.790001,829800,96.629821
"11",98.43,98.620003,97.809998,97.949997,844200,95.808185
"12",97.739998,97.949997,97.010002,97.190002,779800,95.064809
"13",97.339996,97.440002,96.449997,96.559998,915200,94.44858
"14",96.449997,97.120003,95.970001,96.919998,941700,94.800709
"15",96.879997,97.540001,96.669998,97.370003,871500,95.240873
"16",97.739998,97.739998,96.620003,96.910004,1065900,94.790933
"17",96.900002,96.989998,96.040001,96.769997,819800,94.653987
"18",96.769997,96.889999,96.220001,96.629997,635200,94.517049
"19",96.709999,97.440002,96.650002,96.809998,654700,94.693113
"20",96.800003,97.410004,96.279999,96.93,925900,94.810492
"21",96.910004,97.309998,96.5,96.639999,782800,94.526832
"22",96.089996,96.43,95.75,96.279999,713600,94.174704
"23",96.150002,96.760002,95.959999,96.449997,666100,94.340985
"24",96.489998,96.82,94.440002,94.989998,2192300,92.91291
"25",94.589996,95.540001,94.580002,94.660004,1338100,92.590132
"26",93.199997,94.160004,91.080002,92.339996,4479400,90.320855
"27",92.150002,92.580002,91.730003,92.169998,1438500,90.154574
"28",92.629997,94.080002,92.360001,93.849998,1391000,91.797839
"29",93.5,93.889999,92.989998,93.279999,781800,91.240303
"30",93.410004,93.730003,93.019997,93.510002,829400,91.465277
"31",93.510002,94.059998,93.510002,94,1089900,91.94456
"32",93.510002,93.790001,91.809998,92.339996,1728100,90.320855
"33",92.339996,92.57,91.339996,92.529999,1596700,90.506703
"34",92.470001,92.75,91.57,91.830002,953400,89.822012
"35",91.699997,92.260002,91.290001,91.290001,1521300,89.293819
"36",91.290001,91.489998,90.129997,90.360001,1306900,88.384154
"37",90.220001,90.349998,88.099998,88.150002,2098400,86.22248
"38",88.400002,89.279999,87.879997,89.099998,2020300,87.151704
"39",89.010002,89.540001,88.720001,89.419998,1386300,87.464706
"40",89.110001,89.440002,88.349998,88.519997,1320600,86.584385
"41",88.519997,90,88.480003,89.760002,1353300,87.797276
"42",89.760002,90.169998,89.400002,89.529999,1250900,87.572302
"43",89.5,90.5,89.480003,90.400002,1048600,88.423281
"44",90.360001,90.910004,90.099998,90.459999,1238000,88.481966
"45",90.400002,91.029999,90.239998,90.510002,905000,88.530876
"46",90.82,91,90.300003,90.970001,957000,88.980816
"47",90.980003,92.419998,90.970001,92.32,1906000,90.301295
"48",92.410004,92.720001,90.809998,91.419998,896500,89.420974
"49",91.449997,91.900002,91.309998,91.550003,561700,89.548136
"50",91.550003,92.089996,91.349998,91.919998,837400,89.91004
"51",92,92.139999,91.5,91.959999,805400,89.949167
"52",91.449997,92.010002,91.419998,91.900002,1198200,90.416496
"53",91.809998,91.989998,91.459999,91.989998,1069500,90.50504
"54",91.82,92.330002,91.720001,92.010002,863400,90.524721
"55",91.910004,92.239998,91.669998,91.900002,827800,90.416496
"56",91.879997,91.970001,90.889999,91.389999,1339100,89.914727
"57",91.269997,92.209999,91.269997,91.940002,694200,90.455851
"58",91.900002,91.949997,91.25,91.419998,765500,89.944241
"59",91.410004,91.970001,91.18,91.709999,954300,90.229561
"60",91.989998,92,90.82,90.900002,791700,89.432639
"61",90.800003,90.839996,89.629997,89.75,1517800,88.301201
"62",90.110001,90.629997,89.699997,90.580002,932700,89.117804
"63",90.669998,92.739998,90.519997,91.940002,2089900,90.455851
"64",91.849998,91.849998,90.589996,90.75,1080200,89.285058
"65",91,92.230003,90.75,91.800003,1487900,90.318112
"66",91.809998,92.489998,91.510002,92.370003,862500,90.87891
"67",92.349998,92.739998,92.029999,92.669998,1375300,91.174063
"68",92.739998,92.800003,92.089996,92.620003,838400,91.124874
"69",92.849998,94.410004,92.849998,93.989998,2036500,92.472754
"70",93.75,94.129997,93.290001,93.760002,1337100,92.246471
"71",94,94.239998,93.610001,94.169998,749100,92.649849
"72",94.489998,94.5,93.639999,93.860001,924900,92.344856
"73",93.93,93.959999,93.07,93.339996,602600,91.833245
"74",93.010002,93.260002,92.339996,92.459999,656600,90.967454
"75",92.459999,94.309998,92.459999,94.209999,1062000,92.689204
"76",93.730003,93.800003,92.709999,92.93,916600,91.429868
"77",92.709999,93.260002,92.400002,93.209999,766100,91.705347
"78",92.809998,94.690002,92.739998,94.5,1169000,92.974524
"79",94.849998,95.650002,94.5,95.43,1379800,93.889511
"80",95.07,95.389999,94.209999,94.330002,1517800,92.80727
"81",94.400002,94.480003,93.379997,93.910004,1022300,92.394051
"82",94.089996,94.089996,93.639999,93.690002,1322700,92.177602
"83",93.849998,94.279999,92.800003,93.5,908800,91.990666
"84",92.959999,93.400002,92.550003,92.610001,890800,91.115034
"85",92.68,94.129997,92.540001,94.099998,882500,92.580979
"86",93.830002,94.82,92.989998,93.43,916600,91.921797
"87",93.529999,94.389999,93.209999,93.220001,1086300,91.715187
"88",93.199997,93.489998,92.220001,92.239998,1031200,90.751004
"89",92.519997,93.160004,92.330002,92.629997,718800,91.134708
"90",92.040001,92.900002,91,92.57,1305900,91.075679
"91",91.370003,91.449997,89.669998,91.089996,2058800,89.619566
"92",91.489998,92.349998,90.849998,92.010002,956900,90.524721
"93",92,93.370003,91.620003,93.220001,682200,91.715187
"94",93.239998,94.480003,93.040001,94.260002,912100,92.7384
"95",94.440002,95.32,94.07,94.190002,787000,92.66953
"96",94.660004,94.949997,93.699997,93.849998,658700,92.335015
"97",94.18,94.370003,93.669998,94.129997,906300,92.610494
"98",94.300003,95.099998,94.129997,94.839996,793000,93.309032
"99",94.690002,95.550003,94.639999,95.529999,1170400,93.987896
"100",93.290001,94.290001,92.050003,94.059998,2558100,92.541624
"101",93.470001,95,92.900002,94.82,997600,93.289358
"102",95.510002,96,95.199997,95.910004,1501900,94.361766
"103",96,96.68,95.870003,96.330002,1419200,94.774984
"104",96.360001,96.470001,95.18,95.239998,992600,93.702576
