"","MDT.Open","MDT.High","MDT.Low","MDT.Close","MDT.Volume","MDT.Adjusted"
"1",62.009998,62.009998,61.41,61.860001,3030600,60.460862
"2",61.52,61.639999,60.93,61.169998,3126800,59.786466
"3",61.220001,61.32,60.619999,60.790001,3518600,59.415064
"4",61.93,61.93,60.59,60.700001,2085300,59.327099
"5",63.459999,63.900002,58.32,60.029999,65437800,58.672251
"6",61.860001,62,60.77,61.580002,28563100,60.187197
"7",61.889999,63.93,61.650002,63.77,20710500,62.327662
"8",64.019997,65.5,64,64.669998,23598400,63.207304
"9",64.980003,65.150002,63.560001,63.860001,17900300,62.415627
"10",63.810001,64.580002,63.700001,64.139999,10238600,62.689293
"11",63.740002,64.650002,63.66,64.07,9764000,62.620876
"12",64.309998,64.68,64,64.199997,8209700,62.747933
"13",64.400002,64.699997,63.720001,64.660004,10264200,63.197536
"14",64.639999,64.75,63.889999,64.120003,10748200,62.669748
"15",64.309998,64.43,63.669998,63.759998,11711600,62.317886
"16",63.290001,64.07,63.200001,63.91,7730100,62.764735
"17",63.91,64.209999,63.66,63.91,7148200,62.764735
"18",64.18,64.559998,63.810001,64.550003,4349900,63.39327
"19",63.91,64.220001,63.27,63.610001,7616000,62.470112
"20",64.080002,64.220001,63.509998,63.619999,7627800,62.479931
"21",64.059998,64.300003,63.5,63.599998,7576000,62.460289
"22",63.130001,63.57,62.650002,63.470001,5161600,62.332621
"23",63.439999,63.849998,62.880001,63.790001,7533700,62.646887
"24",64,64.089996,63.419998,64.040001,8873200,62.892407
"25",63.869999,64.349998,63.540001,63.560001,9138900,62.421009
"26",63.5,63.799999,61.970001,62.93,15113600,61.802297
"27",62.709999,62.759998,61.470001,61.52,10053000,60.417565
"28",61.919998,62.619999,61.740002,62.360001,7457300,61.242512
"29",62.209999,62.540001,61.73,62.41,5563500,61.291615
"30",62.599998,63.110001,62.48,62.709999,8613600,61.586239
"31",62.75,63.57,62.52,63.369999,8823000,62.234411
"32",63.619999,63.970001,63.209999,63.279999,9664700,62.146024
