"","IBM.Open","IBM.High","IBM.Low","IBM.Close","IBM.Volume","IBM.Adjusted"
"1",186.199997,186.220001,183.820007,184.289993,4154900,179.336405
"2",183.610001,184.199997,182.009995,182.25,4061700,177.351246
"3",182.479996,182.550003,180.910004,181.220001,4425300,176.348933
"4",182,183,181.520004,182.559998,2773600,177.652911
"5",182.399994,182.710007,181.240005,182.350006,3556200,177.448564
"6",181.899994,182.809998,181.559998,182.259995,2460900,177.360972
"7",182.039993,183.610001,181.789993,183.600006,3931800,178.664965
"8",184.119995,184.470001,182.360001,182.820007,3551100,177.905932
"9",182.589996,182.669998,181.399994,181.550003,10686800,176.670064
"10",181.919998,182.25,181,182.139999,3231700,177.244202
"11",181.5,183,180.649994,180.880005,3875400,176.018075
"12",180.25,180.970001,180.059998,180.720001,2762800,175.862372
"13",180.869995,181.369995,179.270004,180.369995,3258500,175.521774
"14",179.770004,182.460007,179.660004,181.710007,4575500,176.825767
"15",181.330002,181.929993,180.259995,181.270004,4223800,176.397592
"16",181.699997,187.270004,181.699997,186.350006,6643100,181.341046
"17",186.339996,188.990005,186.169998,188.389999,5093000,183.326206
"18",188.389999,188.809998,187.350006,188.529999,2422400,183.462442
"19",187.610001,188.270004,187.440002,188.039993,2958700,182.985608
"20",187.649994,188.080002,186.369995,187.220001,3135100,182.187657
"21",187.679993,188.899994,186.889999,188.419998,3309600,183.355399
"22",186.440002,188.050003,186.210007,187.699997,3177800,182.65475
"23",187.729996,188.350006,186.710007,188,2402500,182.94669
"24",188.550003,190.440002,188.529999,189.860001,4501100,184.756695
"25",189.539993,190.080002,188.210007,188.490005,4864700,183.423524
"26",192.240005,193.360001,190.759995,192.360001,7812600,187.189496
"27",192.360001,195.949997,192,192.490005,8872300,187.316007
"28",191.960007,193.440002,190,192.5,8166400,187.325733
"29",191.300003,191.699997,189.25,190.850006,4154400,185.72009
"30",191.589996,194.720001,191.559998,194.089996,4853000,188.872991
"31",194.110001,194.899994,193.570007,193.630005,3584200,188.425364
"32",193.949997,195.619995,193.75,195.240005,3612700,189.992089
"33",195.300003,195.899994,193.789993,194.399994,3376400,189.174656
"34",194.300003,196.399994,193.649994,195.779999,3242400,190.517567
"35",195.300003,195.889999,194.539993,194.570007,3264100,189.3401
"36",195.199997,195.990005,192.899994,194,3943800,188.785414
"37",192.839996,194.289993,191.539993,191.669998,4207500,186.518041
"38",190.5,191.5,188.860001,189.149994,5181100,184.065772
"39",189.350006,189.949997,188.600006,189.639999,2125900,184.542607
"40",188.75,189.199997,186.440002,187.100006,3307900,182.070887
"41",185.360001,186.880005,184.440002,185.970001,3847000,182.041526
"42",186.639999,186.679993,183.580002,184.300003,2708600,180.406805
"43",184.399994,186.669998,183.580002,186.630005,2781500,182.687587
"44",187.809998,188.360001,186.279999,187.470001,2527200,183.509839
"45",187.449997,188.690002,186.809998,187.339996,1858600,183.382581
"46",188,188.479996,187.369995,187.949997,1797000,183.979695
"47",187.570007,188.169998,186.929993,187.880005,1929500,183.911182
"48",187.850006,188.880005,186.789993,187.380005,2814800,183.421744
"49",188.100006,189.809998,187.759995,189.360001,2420300,185.359914
"50",190.039993,190.25,189.360001,190.070007,2040100,186.054922
"51",189.860001,190.389999,189.25,190.100006,2177600,186.084287
"52",190.899994,192.070007,190.5,191.229996,2496500,187.190407
"53",190.770004,191.880005,190.289993,190.410004,1940300,186.387736
"54",191.389999,191.809998,190.710007,191.160004,1723600,187.121893
"55",191.020004,193.529999,191.020004,192.990005,3175400,188.913238
"56",193.029999,194.130005,191.559998,192.25,2190200,188.188864
"57",191.470001,192.300003,190.660004,192,1503600,187.944145
"58",192.279999,192.75,191.139999,192.300003,2909400,188.237811
"59",192.679993,192.970001,190.929993,191.559998,2679700,187.513437
"60",192.389999,192.949997,191.860001,191.949997,1822800,187.895198
"61",191.690002,192.690002,190.059998,190.679993,2865000,186.652022
"62",190.529999,191.75,190.089996,191.199997,2260200,187.161042
"63",190.75,191.199997,189.509995,190.139999,2524200,186.123436
"64",190.339996,190.740005,189.779999,189.990005,2403600,185.97661
"65",190.119995,192.149994,190.100006,191.539993,2764000,187.493856
"66",191.080002,192.779999,190.119995,191.720001,2298500,187.670061
"67",191.470001,191.600006,190.570007,191.279999,2901000,187.239353
"68",191.419998,192.490005,190.580002,191.809998,2456400,187.758156
"69",191.25,193.570007,190.820007,192.960007,2561500,188.883873
"70",193.220001,193.639999,192.300003,192.800003,3210800,188.727249
"71",192.789993,194.130005,192.710007,193.75,2963300,189.657178
"72",194.539993,195,193.190002,194,8852000,189.901897
"73",193.720001,194.139999,192.630005,193.110001,3318000,189.030698
"74",192.75,193.070007,191.520004,191.619995,3301800,187.572168
"75",191,192.449997,189.880005,192.309998,3082600,188.247594
"76",192.050003,192.5,188.970001,189.009995,4151400,185.017301
