"","SPG.Open","SPG.High","SPG.Low","SPG.Close","SPG.Volume","SPG.Adjusted"
"1",166.710007,167.320007,165.339996,165.679993,1778600,160.716905
"2",165.669998,166.199997,164.100006,164.690002,1272800,159.756571
"3",164.720001,164.809998,163.279999,163.889999,1304600,158.980533
"4",163.970001,164.419998,162.559998,164.139999,1569100,159.223044
"5",164,164.820007,163.119995,163.509995,1100300,158.611911
"6",163.309998,164.789993,162.740005,164.789993,1436200,159.853567
"7",164.350006,166.669998,163.479996,166.5,1378900,161.512349
"8",166.130005,167.330002,165.050003,167.270004,1407000,162.259287
"9",167.979996,167.979996,165.880005,167.429993,2385600,162.414483
"10",167.169998,168.059998,166.330002,166.660004,1182800,161.667559
"11",166.25,166.979996,165.649994,166.369995,1378300,161.386238
"12",165.770004,166.710007,165.600006,166.039993,1066100,161.066122
"13",166.410004,166.470001,165.119995,165.789993,1143200,160.823611
"14",165.210007,167.289993,165.080002,167.059998,1731200,162.055571
"15",166.960007,167,165.539993,166.279999,1248300,161.298938
"16",166.869995,167.509995,165.309998,166.880005,1093100,161.88097
"17",166.699997,166.899994,165.449997,166.740005,900200,161.745165
"18",166.679993,166.679993,164.940002,166.130005,831400,161.153437
"19",166.130005,166.809998,165.800003,166.479996,1324700,161.492944
"20",165.949997,167.690002,165.860001,166.710007,1183300,161.716064
"21",165.960007,167.869995,165.070007,167.660004,1360000,162.637603
"22",166.529999,169.130005,166.529999,168.220001,1026800,163.180826
"23",167.970001,169.080002,167.550003,168.990005,837700,163.927764
"24",169.100006,169.589996,168.399994,169.410004,982100,164.335181
"25",169.449997,170.389999,168.839996,170.270004,1160400,165.169419
"26",170.25,170.979996,169.619995,170.860001,1264400,165.741742
"27",170.190002,170.929993,169.440002,169.610001,683600,164.529187
"28",170.289993,171.270004,169.679993,171.029999,866700,165.906647
"29",170.800003,170.800003,169.619995,170.410004,913900,165.305225
"30",170.029999,172.009995,170.029999,171.330002,1491100,166.197664
"31",171.350006,172.720001,168.740005,170.419998,1873000,165.31492
"32",170.880005,171.309998,169.279999,171.309998,1479500,166.178259
"33",170.690002,171.110001,168.550003,168.970001,1140900,163.908359
"34",169,171,168.809998,170.470001,820500,165.363425
"35",170.210007,171.009995,169.630005,170.100006,979900,165.004513
"36",170.089996,171.009995,169,170.160004,1217400,165.062714
"37",169.240005,169.960007,168.130005,168.190002,1293300,163.151726
"38",166.130005,169.360001,165.820007,167.669998,1428500,162.647299
"39",168.139999,168.929993,167.070007,168.380005,1228000,163.336036
"40",168.199997,168.289993,165.979996,166.360001,1440500,161.376543
"41",166.029999,166.770004,165.160004,165.300003,1569500,160.348299
"42",165.580002,166.759995,165.020004,165.270004,1721300,160.319199
"43",166.220001,166.740005,165.139999,166.279999,1628600,161.298938
"44",166.630005,168.380005,166.300003,168.039993,1097900,163.00621
"45",168.050003,168.259995,167.119995,167.130005,1250900,162.123481
"46",166.449997,168.520004,166.449997,168.520004,1455900,164.753349
"47",169.130005,169.279999,167.369995,168.25,1189200,164.48938
"48",169.089996,169.410004,167.770004,168.850006,2295400,165.075975
"49",169.089996,170.419998,168.979996,170.240005,1020200,166.434906
"50",170.199997,170.360001,169.309998,169.869995,998300,166.073166
"51",169.800003,171,168.770004,170.520004,794000,166.708646
"52",170.960007,171.490005,170.289993,170.460007,865100,166.64999
"53",170.190002,170.860001,169.270004,169.419998,1112400,165.633227
"54",169.899994,170.270004,168.789993,169.210007,943900,165.427929
"55",168.869995,170.279999,168.550003,169.25,818700,165.467028
"56",169.25,169.759995,168.75,169.509995,639500,165.721212
"57",169.080002,169.669998,168.649994,168.979996,725700,165.203059
"58",169.600006,170.429993,168.979996,170.029999,1641300,166.229593
"59",170.619995,170.740005,169.630005,170.119995,940800,166.317578
"60",170.529999,172.210007,169.679993,170.789993,829900,166.972601
"61",170.759995,172.070007,169.860001,170.300003,1066000,166.493562
