"","GAS.Open","GAS.High","GAS.Low","GAS.Close","GAS.Volume","GAS.Adjusted"
"1",53.439999,53.549999,52.799999,52.91,462800,50.90013
"2",52.889999,52.959999,52.459999,52.560001,829400,50.563427
"3",52.580002,52.73,51.900002,52.68,471700,50.678867
"4",52.73,52.950001,52.459999,52.93,330300,50.919371
"5",52.939999,53.889999,52.93,53.5,640900,51.467718
"6",53.41,53.720001,53.150002,53.279999,574400,51.256074
"7",53.32,54.009998,53.290001,53.959999,962300,51.910243
"8",54,54.549999,53.75,54.529999,691300,52.458591
"9",54.82,54.82,54.389999,54.439999,884400,52.372009
"10",54.490002,54.610001,53.939999,54.299999,334000,52.237328
"11",54.209999,54.560001,54.150002,54.18,397700,52.121888
"12",54.040001,54.75,54.040001,54.580002,463300,52.506694
"13",54.57,54.650002,54.32,54.650002,332900,52.574035
"14",54.599998,54.98,54.32,54.619999,528100,52.545172
"15",54.599998,55.099998,54.259998,55.029999,475200,52.939598
"16",55.060001,55.299999,54.84,54.889999,626400,52.804916
"17",54.869999,54.869999,53.880001,54.169998,635000,52.112265
"18",54.02,54.040001,53.259998,53.66,529500,51.62164
"19",53.790001,54.080002,53.349998,53.599998,529100,51.563918
"20",53.650002,54.549999,53.639999,54.5,602300,52.429732
"21",54.490002,54.700001,53.73,54.049999,610200,51.996825
"22",53.790001,54.830002,53.630001,54.759998,618700,52.679853
"23",54.759998,54.790001,54.110001,54.25,413700,52.189228
"24",54.470001,54.560001,54,54.16,392700,52.102647
"25",54.200001,54.790001,54.09,54.43,696700,52.362391
"26",54.48,54.549999,53.91,54.490002,378500,52.420113
"27",54.369999,54.68,54.02,54.040001,293100,51.987206
"28",54.360001,54.849998,53.919998,54.77,432700,52.689476
"29",54.599998,54.73,54.240002,54.389999,370300,52.32391
"30",54.599998,54.759998,54.200001,54.369999,345300,52.304669
"31",54.48,54.59,54.09,54.23,215900,52.169988
"32",54.23,54.459999,54,54.110001,379800,52.054547
"33",54.18,54.18,53.490002,53.540001,293300,51.5062
"34",53.509998,54.23,53.299999,54.150002,470100,52.093028
"35",54.130001,54.200001,53.52,53.52,421800,51.486959
"36",53.259998,54.049999,51.810001,52.169998,817300,50.188239
"37",52.130001,52.43,51.549999,51.639999,688800,49.678373
"38",51.509998,51.889999,51.169998,51.610001,539300,49.649513
"39",51.5,51.849998,49.869999,51.110001,1255600,49.168507
"40",51.139999,51.259998,50.41,50.66,749600,48.7356
"41",50.389999,50.560001,48.720001,49.07,1993100,47.205998
"42",49.200001,49.970001,49.080002,49.91,1091900,48.01409
"43",49.799999,51.299999,49.799999,51.27,753800,49.322429
"44",51.349998,51.68,51.049999,51.150002,549000,49.206988
"45",51.099998,51.509998,50.900002,51.139999,563300,49.197366
"46",50.889999,51.48,50.509998,51.27,645200,49.799588
"47",51.259998,51.82,51.25,51.700001,469100,50.217256
"48",51.860001,52.209999,51.439999,51.73,785200,50.246394
"49",51.959999,52.029999,51.48,51.650002,479700,50.16869
"50",51.700001,52.360001,51.540001,52.330002,411200,50.829188
"51",52.25,52.450001,52.009998,52.349998,407600,50.848612
"52",52.419998,52.610001,52.139999,52.459999,391100,50.955457
"53",52.459999,52.66,52.029999,52.32,326800,50.819473
"54",52.5,52.73,52.189999,52.5,257900,50.994311
"55",52.5,52.700001,52.049999,52.07,279500,50.576643
"56",52.060001,52.68,52.049999,52.66,608900,51.149722
"57",52.459999,52.779999,52.439999,52.709999,317200,51.198287
"58",52.650002,53.34,52.630001,53.310001,526100,51.781082
"59",53.209999,53.459999,52.889999,53.099998,793700,51.577102
"60",53.119999,53.529999,53.02,53.07,614900,51.547963
"61",53.049999,53.540001,52.939999,53.34,615000,51.81022
"62",53.43,54.27,53.27,54.27,572100,52.713548
"63",54.27,54.27,53.810001,54.09,418200,52.53871
"64",53.880001,54.060001,53.060001,53.099998,508900,51.577102
"65",53.02,53.139999,52.599998,53.029999,347900,51.50911
"66",53,53.349998,52.799999,53.299999,440300,51.771367
"67",53.110001,53.150002,52.279999,52.490002,573800,50.9846
"68",52.580002,52.810001,52.459999,52.549999,355500,51.042876
"69",52.43,53.299999,52.43,53.009998,512500,51.489683
"70",53.09,53.279999,52.759998,52.970001,431300,51.450833
"71",52.990002,53.02,52.400002,52.5,541900,50.994311
"72",52.73,52.869999,52.400002,52.43,788700,50.926319
"73",52.169998,52.220001,51.59,51.630001,623300,50.149264
"74",51.59,51.700001,51.299999,51.48,513700,50.003564
"75",51.450001,51.580002,51.049999,51.34,487100,49.86758
"76",51.330002,51.450001,51.049999,51.18,559800,49.712169
"77",51.169998,51.259998,50.709999,51.110001,358700,49.644177
"78",50.84,51.389999,50.799999,51.349998,394200,49.877291
"79",51.43,51.900002,51.150002,51.34,471100,49.86758
"80",51.349998,51.990002,51.150002,51.16,730500,49.692742
"81",51.02,51.389999,50.810001,50.950001,561300,49.488766
"82",51.16,51.360001,50.639999,51.259998,617200,49.789872
"83",51.369999,51.639999,51.040001,51.450001,483600,49.974426
"84",51.330002,51.799999,51.259998,51.389999,461600,49.916145
"85",51.389999,52.330002,51.18,52.299999,501300,50.800046
"86",52.290001,52.610001,51.279999,51.290001,537600,49.819015
"87",51.41,52.23,51.400002,51.82,554400,50.333813
"88",51.82,52.27,51.5,51.52,634500,50.042418
"89",51.740002,52.549999,51.580002,52.360001,648300,50.858327
"90",52.360001,52.459999,50.59,51.779999,953700,50.294959
"91",51.18,52.099998,50.5,51.939999,976000,50.45037
"92",52.330002,52.5,51.720001,52.09,914400,50.59607
"93",52.16,52.849998,52.119999,52.650002,855700,51.140011
"94",52.939999,54.009998,52.830002,53.950001,532100,52.402726
"95",54.029999,55,53.82,54.459999,697200,52.898098
"96",54.689999,55,54.09,54.139999,827400,52.587276
"97",54.279999,54.52,53.439999,53.82,1097500,52.276454
"98",53.59,53.990002,53.52,53.779999,434600,52.2376
"99",53.860001,54.419998,53.540001,54.419998,653300,52.859244
"100",54.560001,54.889999,53.41,54.119999,603200,52.567849
"101",54.09,54.66,53.73,54.5,1169100,52.936952
"102",54.57,54.57,53.610001,53.91,1221500,52.363872
"103",53.91,54.41,53.84,54,788900,52.451291
"104",54.029999,54.380001,53.650002,53.869999,631900,52.325019
"105",54.139999,55.290001,53.880001,55.16,930800,53.578023
"106",55.150002,55.59,54.25,54.77,813600,53.199208
"107",54.790001,55.130001,54.549999,54.93,697500,53.35462
"108",54.299999,55.41,54.16,54.310001,1266700,52.752402
"109",54.18,54.279999,53.110001,53.27,1003000,51.742228
"110",52.330002,52.330002,51.68,52.119999,1439000,51.095202
"111",52.119999,52.470001,51.540001,51.650002,871100,50.634446
"112",51.540001,51.720001,51.16,51.450001,1433300,50.438377
"113",51.48,52.330002,51.32,52.23,1291900,51.20304
"114",52.23,52.34,51.669998,51.799999,1106700,50.781494
"115",51.75,51.959999,51.34,51.400002,1367900,50.389361
"116",51.259998,51.470001,51.02,51.369999,603200,50.359949
"117",51.799999,52.09,51.650002,51.91,1030300,50.889332
"118",51.84,52,51.43,51.57,718600,50.556017
"119",51.740002,52.029999,51.540001,51.919998,847200,50.899134
"120",51.970001,52.310001,51.759998,52.119999,532100,51.095202
