"","CLF.Open","CLF.High","CLF.Low","CLF.Close","CLF.Volume","CLF.Adjusted"
"1",14.5,14.64,14.34,14.42,2734000,14.09841
"2",14.35,14.68,14.23,14.38,3664400,14.059302
"3",13.97,14.17,13.65,13.76,9961400,13.453129
"4",13.76,14.19,13.6,14.14,5833100,13.824655
"5",14.02,14.14,13.79,14.01,5503800,13.697554
"6",13.97,14.57,13.93,14.18,6244900,13.863763
"7",14.2,14.87,14.01,14.77,6442000,14.440605
"8",14.88,15.23,14.75,14.76,5529400,14.430828
"9",14.8,14.92,14.45,14.54,4258100,14.215734
"10",14.7,15.26,14.57,14.83,5766500,14.499266
"11",14.72,14.83,14.1,14.2,6339700,13.883316
"12",14.12,14.38,13.9,14.36,5107800,14.039748
"13",14.63,15.14,14.4,15.02,5751800,14.685029
"14",14.96,14.96,14.61,14.67,4809200,14.342835
"15",14.54,15.21,14.4,15.05,4696700,14.71436
"16",15.11,15.5,14.97,15,4963400,14.665475
"17",15.01,15.99,15,15.72,7677500,15.369418
"18",15.8,16.5,15.73,16.42,7050700,16.053807
"19",16.280001,16.280001,15.81,15.83,4851000,15.476964
"20",15.87,16.030001,15.43,15.47,5526500,15.124993
"21",15.56,15.77,15.44,15.55,3020300,15.203209
"22",15.26,15.32,14.75,14.81,5734500,14.479713
"23",14.82,14.96,14.65,14.73,4301000,14.401496
"24",14.82,14.87,14.45,14.59,3028300,14.264619
"25",14.59,15,14.58,14.97,5097300,14.636144
"26",15.11,16.450001,15.07,15.72,11753000,15.369418
"27",15.66,15.98,15.26,15.5,5275000,15.154324
"28",15.33,15.94,15.25,15.84,4624000,15.486742
"29",15.85,16,14.95,15.09,6285600,14.753468
"30",15.25,15.38,15.01,15.15,3226400,14.812129
"31",15.15,15.56,14.88,15.48,5490800,15.13477
"32",15.5,15.82,15.01,15.03,6962200,14.694806
"33",15.08,16.18,15.05,16.09,7208800,15.731166
"34",16.23,16.690001,16.18,16.59,6627900,16.220015
"35",16.959999,18.33,16.33,17.620001,17589900,17.227045
"36",17.66,17.75,17.030001,17.23,6598600,16.845742
"37",17.200001,17.85,16.950001,17.450001,7262700,17.060837
"38",17.290001,17.629999,16.879999,17.35,5901900,16.963066
"39",17.84,17.940001,17.139999,17.35,4190200,16.963066
"40",17.530001,17.6,16.940001,17.08,4224800,16.699087
"41",17.049999,17.33,16.93,17.15,2125700,16.767526
"42",17.530001,17.59,16.84,17.09,3049600,16.708865
"43",16.940001,17.77,16.91,17.51,4617000,17.119498
"44",17.799999,18.41,17.719999,18.18,6169500,17.774556
"45",18.1,18.18,17.57,17.690001,4457200,17.295484
"46",17.75,17.799999,17,17.41,4372300,17.167296
"47",17.32,17.42,16.700001,16.879999,4912200,16.644683
"48",16.98,17.059999,16.33,16.77,4656200,16.536218
"49",16.799999,16.940001,16.530001,16.84,2909100,16.605242
"50",16.77,16.92,16.450001,16.66,3513000,16.427751
"51",16.65,16.870001,16.48,16.73,3437400,16.496775
"52",16.709999,16.709999,15.95,16.209999,6788000,15.984023
"53",16.23,16.24,15.61,15.81,5442900,15.589601
"54",15.81,16.370001,15.46,15.94,8898100,15.717788
"55",15.92,16.450001,15.73,16.35,5477600,16.122073
"56",16.290001,16.379999,15.92,16.030001,4592700,15.806534
"57",15.76,15.81,15.03,15.06,12600900,14.850056
"58",15.06,15.15,14.68,15.07,6642800,14.859916
"59",15.06,15.08,14.52,14.55,7483500,14.347166
"60",14.6,15.27,14.32,14.43,12796000,14.228839
"61",14.4,14.57,14.1,14.14,6217800,13.942881
"62",14.11,14.16,13.83,14.06,4889800,13.863997
"63",13.96,14,13.68,13.75,5990400,13.558318
"64",13.88,14.22,13.71,13.86,6279000,13.666784
"65",14.05,14.05,13.77,13.82,4235400,13.627342
"66",13.7,13.95,13.64,13.94,4467000,13.745669
"67",13.91,14.35,13.82,14.14,7363700,13.942881
"68",14.21,15.01,14.21,14.98,9280600,14.771171
"69",14.92,15.33,14.32,15.12,8134300,14.909219
"70",15.39,15.4,14.7,15.1,9931100,14.889499
"71",15.03,15.15,14.75,14.87,5145300,14.662704
"72",14.76,14.83,13.95,14,9192300,13.804833
"73",13.76,13.77,12.73,12.82,13264700,12.641282
"74",12.98,13.23,12.58,12.65,6616800,12.473652
"75",12.84,12.88,12.33,12.53,8796700,12.355325
"76",12.44,12.45,11.31,11.44,14650300,11.28052
"77",11.44,11.64,10.87,10.94,13944300,10.78749
"78",10.74,10.84,10.26,10.33,11585800,10.185994
"79",10.32,10.73,10.19,10.38,15380100,10.235298
"80",10.32,10.62,9.57,9.77,17789000,9.633802
"81",9.8,10.09,9.24,10,18498600,9.860595
"82",9.65,9.77,8.22,8.32,33580300,8.204015
"83",8.4,8.79,7.84,8.25,18063500,8.134991
"84",8.17,8.67,7.76,7.77,15854500,7.661682
"85",7.75,8.07,7.17,7.97,21283900,7.858894
"86",7.9,7.9,7,7.39,15668800,7.286979
"87",7.33,7.71,7.06,7.32,16724900,7.217956
"88",7.6,8.57,7.51,8.25,24917800,8.134991
"89",8.39,9.96,8.35,9.07,26084300,8.943559
"90",8.67,9.32,8.16,9.32,16865900,9.190074
"91",8.99,9.55,8.57,9.5,12941700,9.367565
"92",9,9.34,8.55,8.74,12195200,8.61816
"93",8.45,9,8.44,8.94,5692300,8.815371
