"","CF.Open","CF.High","CF.Low","CF.Close","CF.Volume","CF.Adjusted"
"142",271.679993,275.880013,271.089993,273.519993,1816000,54.160203
"143",273.059998,276.350002,271.499996,272.540016,1975000,53.966156
"144",274.230003,278.719997,272.989998,277.89999,3689000,55.027495
"145",279.20002,281.940002,275.149994,276.950016,4224000,54.839389
"146",280.019989,286.519985,279.650002,282.679996,5571500,55.973993
"147",284.769993,292.719994,284.769993,290.739994,6901000,57.569968
"148",294.20002,295.130005,290.320015,294.780006,3931000,58.369938
"149",295.269985,299.399986,294.249992,297.179985,4201000,58.845163
"150",295.739994,300.79998,291.010017,297.619991,5113500,58.932289
"151",299.570007,303.09,295.010014,299.239998,4941500,59.25307
"152",296.070004,298.409996,286.000004,289.34,5592000,57.292753
"153",293.380013,296.209984,287.999992,288.739986,6182000,57.173943
"154",290,298.040009,288.459988,297.630005,4406000,58.934272
"155",302.739983,306.399994,298.390007,303.309994,5395000,60.058977
"156",303.29998,304.049988,299.780006,302.260017,1938000,59.851069
"157",303.999996,307.549992,302.000008,307.250004,2890000,60.839146
"158",307.109985,307.940006,301.450005,301.749992,2938000,59.750078
"159",300.890007,304.750004,299.619999,303.82,1520500,60.159964
"160",302.000008,308.320007,301.489983,306.209984,2736500,60.633209
"161",308.309994,308.309994,300.640011,301.149998,1484000,59.631272
"162",301.599998,307.010002,297.790012,306.790009,2644000,60.748061
"163",303.769989,310.620003,303.079987,305.380001,2503000,60.468863
"164",307.43,307.999992,299.570007,304.769993,2370500,60.348074
"165",305.040016,306.950016,298.070011,301.040001,3930000,59.609491
"166",299.14999,301.850014,296.209984,297.059994,3811000,58.821403
"167",299.640007,301.809998,296.299992,299.60001,3120000,59.324356
"168",299.790001,299.790001,292.019997,296.640015,3720000,58.738242
"169",294.920006,298.609982,293.999996,297.010002,2271000,58.811504
"170",297.450008,300.160007,293.290005,298.040009,2367000,59.015457
"171",298.630009,300.79998,296.870003,298.790016,3135500,59.163968
"172",299.500008,303.980007,297.519989,302.600002,2420500,60.220712
"173",302.459984,304.480019,300.010014,301.399994,2582000,59.981897
"174",300.19001,302.410011,296.519985,298.709984,3932500,59.446556
"175",291.599998,299.920006,291.260014,296.200008,6091500,58.947043
"176",296.489983,306.590004,295,304.379997,3864500,60.574951
"177",303.200016,308.649998,300.950012,308.390007,3010500,61.372987
"178",308.890018,313.689995,308.890018,312.679996,2911500,62.226741
"179",311.200008,314.429989,308.320007,311.879997,2399000,62.067533
"180",312.320004,313.129997,305.880013,307.23999,3061000,61.144121
"181",306.950016,308.899994,301.630001,306.609993,2460000,61.018744
"182",306.980019,308.719997,304.880009,306.230011,3321000,60.943124
"183",306.230011,313.100014,303.309994,311.369991,4309000,61.966036
"184",310.499992,312.69001,308.799992,311.230011,3154000,61.938178
"185",310.519981,313.619995,304.179993,304.939995,3243500,60.686396
"186",304.989986,306.459999,302.420006,303.290005,2231500,60.35803
"187",301.369991,302.000008,297.000008,298.040009,3336000,59.313224
"188",299.390011,305.26001,298.570004,304.269981,2410500,60.553056
"189",299.450016,301.160011,291.980019,292.920017,5369000,58.294289
"190",294.839993,295.950012,290.45002,290.769997,5811500,57.866412
"191",293.470001,295.200005,289.609985,291.899986,2365000,58.091292
"192",290.629997,293.359985,289.01001,292.640018,2303500,58.238566
"193",292.719994,295.019989,291.670017,293.010006,2199000,58.312198
"194",291.010017,293.220005,288.929996,289.429989,3147000,57.599735
"195",287.769985,296.25,284.850006,294.799995,4174500,58.668425
"196",292.619991,294.589996,290,290.030003,3447000,57.719145
"197",292.290001,293.09,288.290005,290.230007,5802000,57.758948
"198",291.000004,292.82999,289.659996,289.989986,2793000,57.711181
"199",288.55999,295.679989,287.999992,295.010014,3950000,58.710221
"200",296.410007,300.59,293.689995,293.75,2591500,58.459465
"201",293.369999,298.120003,292.640018,294.249992,3369500,58.558969
"202",293.540001,294.249992,287.959995,288.660011,2519500,57.446501
"203",289.679985,293.149986,289.679985,290.980015,2027500,57.908208
"204",287.940006,290.19001,282.739983,283.68,4118500,56.455425
"205",284.689999,285.880013,280.440006,284.140015,3446000,56.546973
"206",282.390022,285.900002,278.500004,280.219994,2750000,55.766846
"207",279.459991,283.55999,277.999992,281.32,2843000,55.985759
"208",281.519985,285,280.609989,281.25,2309500,55.971828
"209",281.499996,286.820011,281.499996,284.950008,3686000,56.70817
"210",283.120003,287.649994,283.120003,284.80999,2999000,56.680305
"211",284.80999,286.459999,281.630001,284.519997,2990000,56.622593
"212",286.239986,287.890015,283.309994,284.01001,2145500,56.5211
"213",283.719997,283.969994,278.980007,282.399998,2496000,56.20069
"214",282.339993,288.42001,282.339993,286.679993,2995500,57.052456
"215",284.980011,295.790005,284.019985,292.959995,3791000,58.302245
"216",292.230015,297.119999,290.939999,291.230011,4181000,57.95796
"217",291.450005,293.82,287.280006,287.970009,3357000,57.309183
"218",287.209988,288.950005,285.600014,285.820007,3734500,56.88131
"219",285.779991,286.980019,281.959991,285.640011,2095000,56.845488
"220",285.950012,291.410007,285.040016,289.769993,2699500,57.6674
"221",289.859982,294.769993,289.350014,294.440002,2612000,58.596783
"222",294.73999,295.549984,288.290005,288.549995,3453000,57.424607
"223",287.04998,288.810005,283.260002,287.840004,2579500,57.283311
"224",288.810005,292.700005,286.290016,291.499996,2321500,58.01169
"225",292.019997,292.140007,286.790009,287.469997,3720000,57.209676
"226",289.80999,296.05999,287.670021,294.500008,2690500,58.608725
"227",293.82,297.290001,293.380013,293.799992,2145000,58.469414
"228",294.390011,295.529995,289.780006,290.209999,2902000,57.754966
"229",290.249996,295.440006,289.880009,294.60001,3096500,58.628626
"230",294.399986,301.549988,289.640007,300.089989,5851500,59.721192
"231",310.489998,313.329983,305.340004,310.859985,5826000,61.864539
"232",311.709995,312.999992,305.809994,308.390007,4730500,61.372987
"233",306.519985,307.459984,303.109989,303.320007,3069000,60.364001
"234",301.410007,306.25,301.040001,305.340004,2431000,61.068001
"235",305.629997,306.870003,302.609978,304.290009,3494000,60.858002
"236",303.969994,307.790012,302.609978,306.730003,3747000,61.346001
"237",306.870003,309.73999,306.040001,307.57,3205500,61.514
"238",308.269997,310.410004,306.519985,310.249996,3025500,62.049999
"239",310.100002,312.999992,308.29998,310.959988,3211000,62.191998
"240",311.390018,320.569992,309.659996,317.089996,5429500,63.417999
"241",319.269981,322.390022,315.100002,320.920029,3883500,64.184006
"242",319.049988,320.540009,317.010002,319.090004,3857500,63.818001
"243",319.859982,322.099991,317.230015,321.329994,3289500,64.265999
"244",321.500015,323.190002,318.290005,321.650009,3170500,64.330002
"245",322.070007,322.670021,315.880013,315.880013,4641000,63.176003
"246",316.730003,319.989986,314.070015,316.609993,3301000,63.321999
"247",316.820011,321.329994,316.189995,319.269981,2634500,63.853996
"248",320.170021,323.689995,317.339993,321.819992,3247000,64.363998
"249",319.920006,321.899986,317.820015,318.470001,4398000,63.694
"250",317.019997,321.230011,316.000004,317.869987,3168000,63.573997
"251",317.670021,319.980011,315.079994,315.320015,1880500,63.064003
"252",314.689999,317.600002,314.139996,315.59,1668000,63.118
"253",317.290001,321.839981,316.830006,320.419998,1777000,64.084
