"","AEE.Open","AEE.High","AEE.Low","AEE.Close","AEE.Volume","AEE.Adjusted"
"1",38.950001,38.970001,38.470001,38.5,1335300,36.979229
"2",38.549999,38.66,38.07,38.099998,2116800,36.595028
"3",38.200001,38.380001,37.669998,38.27,1133900,36.758315
"4",38.25,38.560001,38.02,38.400002,1251500,36.883181
"5",38.380001,39.16,38.34,38.810001,1645900,37.276986
"6",38.630001,38.82,38.490002,38.669998,951000,37.142513
"7",38.619999,39.68,38.57,39.639999,1813500,38.074198
"8",39.68,40.16,39.669998,40.080002,1801200,38.49682
"9",40.130001,40.200001,39.720001,39.759998,1860100,38.189457
"10",39.830002,39.970001,39.470001,39.619999,856300,38.054988
"11",39.59,39.939999,39.48,39.779999,1104500,38.208668
"12",39.66,40.139999,39.66,40.080002,1588900,38.49682
"13",40.02,40.490002,39.849998,40.470001,1364600,38.871415
"14",40.48,40.799999,40.279999,40.610001,1623900,39.005884
"15",40.529999,40.990002,40.459999,40.880001,1599300,39.265219
"16",40.68,40.959999,40.5,40.77,1416500,39.159564
"17",40.57,40.75,39.720001,39.849998,1516100,38.275902
"18",39.57,39.599998,39.060001,39.279999,870400,37.728418
"19",39.279999,39.990002,39.16,39.619999,1446400,38.054988
"20",39.560001,39.919998,39.380001,39.810001,1225900,38.237485
"21",39.869999,39.959999,39.48,39.75,1298100,38.179854
"22",39.740002,40.299999,39.709999,40.200001,1083300,38.612079
"23",40.18,40.369999,39.779999,39.889999,874100,38.314323
"24",39.959999,39.959999,39.25,39.330002,1105900,37.776446
"25",39.32,39.709999,39.279999,39.48,843700,37.920518
"26",39.630001,39.740002,39.259998,39.709999,1433800,38.141433
"27",39.619999,39.849998,39.5,39.610001,1335100,38.045384
"28",39.830002,40.049999,39.709999,40.040001,1543500,38.458399
"29",40.080002,40.290001,39.82,40.119999,1075400,38.535238
"30",40.189999,40.459999,40.049999,40.209999,1102200,38.621683
"31",40.23,40.240002,40.060001,40.080002,742200,38.49682
"32",40.139999,40.259998,39.889999,40.119999,849700,38.535238
"33",40.049999,40.200001,39.669998,39.77,813100,38.199064
"34",39.709999,40.5,39.619999,40.48,1108400,38.881018
"35",40.490002,40.57,39.790001,39.98,984100,38.400768
"36",39.970001,39.990002,38.66,39,2415800,37.459479
"37",38.52,39.119999,38.439999,38.450001,1962000,36.931205
"38",38.41,38.869999,38.27,38.619999,1157600,37.094488
"39",38.599998,38.630001,37.669998,38.349998,3013600,36.835153
