"","BCR.Open","BCR.High","BCR.Low","BCR.Close","BCR.Volume","BCR.Adjusted"
"1",146.429993,146.5,140.839996,141.050003,2110900,140.274579
"2",140.979996,140.990005,137.179993,137.979996,2353600,137.221449
"3",140,141.100006,137.259995,140.979996,1928400,140.204956
"4",141.259995,142.600006,137.020004,137.419998,1442200,136.66453
"5",137.089996,139.210007,136.490005,137.850006,964300,137.092174
"6",137.75,138.940002,137.240005,137.740005,587200,136.982778
"7",136.369995,138.639999,135.800003,138.600006,673800,137.83805
"8",138.470001,139.089996,138.259995,139.080002,627000,138.315407
"9",139.669998,140.389999,139.399994,140.330002,835100,139.558536
"10",140.330002,141.130005,140.070007,140.690002,857400,139.916557
"11",140.699997,142.649994,140.25,142.139999,711500,141.358583
"12",142.259995,146.039993,141.630005,145.179993,1084800,144.381863
"13",144.809998,145.759995,143.660004,144.520004,738000,143.725503
"14",144.029999,145.419998,143.940002,144.229996,574500,143.437089
"15",144.5,144.5,142.789993,143.009995,796700,142.223795
"16",144.009995,146.029999,143.410004,145.820007,519500,145.01836
"17",145.820007,146.190002,144.610001,146.160004,438200,145.356487
"18",146.050003,146.169998,145.309998,145.699997,567100,144.899009
"19",145.529999,146.949997,145.419998,146.729996,454600,145.923345
"20",146.5,146.5,145.660004,145.910004,614100,145.107861
"21",146.5,146.869995,144.710007,145.809998,380700,145.008405
"22",144.759995,146.259995,144.410004,145.740005,437600,144.938798
"23",145.589996,146.070007,144.720001,145.720001,279100,144.918903
"24",146.25,147.050003,145.75,146.970001,582500,146.162031
"25",146.490005,147.350006,144.990005,146.149994,580900,145.346532
"26",146.649994,146.830002,144.830002,145.110001,455900,144.312256
"27",144.339996,145.309998,142.070007,142.300003,703900,141.732583
"28",143.190002,145.25,142.539993,144.910004,530300,144.332176
"29",143.869995,144.509995,141.979996,143.5,554300,142.927795
"30",144.300003,144.889999,143.630005,143.820007,477000,143.246526
"31",144.529999,146.039993,144.039993,145.830002,366800,145.248506
"32",146.25,147.300003,145.080002,146.949997,578600,146.364035
