"","TSO.Open","TSO.High","TSO.Low","TSO.Close","TSO.Volume","TSO.Adjusted"
"1",57.080002,57.130001,55.93,56.220001,2031100,55.215644
"2",56.09,57.110001,55.540001,56.919998,2117700,55.903136
"3",56.810001,58.139999,56.349998,57.540001,2562200,56.512062
"4",57.560001,57.82,57.060001,57.779999,2263000,56.747773
"5",57.599998,58.200001,57.369999,58,2054700,56.963844
"6",57.700001,58.860001,57.27,58.799999,1653300,57.749551
"7",58.73,59.849998,57.880001,59.779999,2516700,58.712043
"8",59.939999,61.130001,59.900002,60.689999,3399600,59.605786
"9",60.889999,61.5,60.34,61.450001,3112500,60.352211
"10",61.689999,62.419998,61.5,62.189999,2161600,61.078989
"11",62.299999,62.889999,60.84,60.919998,2328500,59.831677
"12",58.419998,59.25,56.439999,58.369999,7856500,57.327233
"13",58.639999,60.439999,58.32,59.939999,3367800,58.869185
"14",59.73,59.939999,59.009998,59.599998,2850000,58.535259
"15",59.419998,59.490002,58.369999,58.669998,2037200,57.621873
"16",58.599998,59.98,58.599998,59.66,2400700,58.594188
"17",59.799999,60.77,59.259998,60.529999,2121200,59.448645
"18",60.77,61.18,60.07,60.59,931900,59.507574
"19",60.259998,60.880001,60,60.040001,1601600,58.9674
"20",59.650002,59.880001,58.189999,58.23,2657400,57.189734
"21",58.209999,59.220001,57.84,59,2394300,57.945979
"22",58.360001,59.119999,57.869999,58.93,1831100,57.87723
"23",58.619999,60.119999,58.5,59.91,2366900,58.839722
"24",60.209999,60.389999,59.029999,59.380001,1791600,58.319191
"25",58.919998,61.209999,58.540001,60.740002,3295100,59.654896
"26",60.84,61,59.23,59.5,2758500,58.437047
"27",59.02,59.66,58.380001,58.43,1788600,57.386162
"28",58.790001,59.040001,58.009998,58.150002,2530900,57.111165
"29",57.959999,58.400002,57.110001,57.23,3149900,56.207599
"30",57.830002,58.560001,57.73,57.98,1995400,56.944201
"31",58.110001,59.02,57.849998,58.029999,1894100,56.993307
"32",58.110001,59.880001,58.110001,59.810001,1951500,58.74151
"33",59.779999,60.25,59.150002,60.150002,1691800,59.075436
"34",60,60.009998,58.580002,59.080002,2181700,58.024552
"35",59.59,60.5,59.200001,59.98,2646500,58.908471
"36",60.099998,60.740002,59.060001,59.389999,2221700,58.329011
"37",58.990002,62.52,58.939999,61.540001,6453900,60.440603
"38",60.470001,61.48,58.549999,59.849998,3497400,58.780792
"39",59.950001,61.349998,59.68,61.200001,2795000,60.106677
"40",60.919998,61.799999,60.470001,61.299999,2457500,60.204889
"41",61.18,62.549999,61.099998,61.869999,2770000,60.764706
"42",62.119999,63.23,61.77,62.73,3529600,61.609343
"43",63,63.43,62.59,63.310001,1919300,62.178983
"44",63.43,63.740002,61.720001,61.759998,2610500,60.656671
"45",61.82,62.82,61.599998,62.200001,2170100,61.088812
"46",62.59,63.689999,61.939999,63.43,2158600,62.296838
"47",63.560001,64.190002,63.060001,63.689999,2498700,62.552192
"48",63.880001,64.199997,62.16,62.959999,3286600,61.835234
"49",63.41,64.470001,63.16,63.970001,2777900,62.827192
"50",64.050003,64.339996,63.290001,64.260002,2105900,63.112012
"51",64.220001,64.879997,63.400002,64.690002,1920200,63.534331
"52",64.849998,64.849998,63.740002,63.98,2495600,62.837012
