"","AMZN.Open","AMZN.High","AMZN.Low","AMZN.Close","AMZN.Volume","AMZN.Adjusted"
"1",327.649994,335.5,327.5,332.410004,3663400,332.410004
"2",336,340.720001,333.880005,335.200012,4436800,335.200012
"3",335.549988,335.549988,324.660004,325.910004,4276300,325.910004
"4",327.049988,329.299988,323.529999,326.269989,2764800,326.269989
"5",324.859985,328.690002,323.519989,327.619995,2449800,327.619995
"6",327.540009,331.339996,325.230011,325.619995,2924100,325.619995
"7",328,335.75,325,334.380005,6401500,334.380005
"8",335.26001,338.899994,325.980011,327,5320600,327
"9",327.76001,328.220001,320.420013,324.200012,6054000,324.200012
"10",323.329987,327.549988,321.410004,327.23999,2604800,327.23999
"11",327.540009,329.730011,322.73999,324.160004,2626600,324.160004
"12",324.329987,328.149994,321.73999,327.440002,2327800,327.440002
"13",328.48999,328.649994,322.130005,325.690002,2699500,325.690002
"14",325.880005,326.519989,323.269989,324.570007,2416200,324.570007
"15",324.980011,326.980011,322.23999,324.779999,2671300,324.779999
"16",325.859985,333.200012,325.100006,332.390015,3173600,332.390015
"17",333.200012,336.76001,331.660004,332.850006,2681300,332.850006
"18",334.829987,338.299988,333.079987,337.48999,1944300,337.48999
"19",337.5,337.549988,332.519989,333.549988,2128900,333.549988
"20",333.100006,333.73999,321.399994,323.809998,4271600,323.809998
"21",324.709991,330.200012,323.149994,329.970001,3166100,329.970001
"22",324.339996,329.980011,322.649994,327.920013,2665000,327.920013
"23",334.709991,347,334.709991,346.200012,8300800,346.200012
"24",347.029999,355.769989,345.359985,355.320007,5609900,355.320007
"25",353.720001,355.589996,349.399994,354.440002,4170900,354.440002
"26",355.619995,359.320007,353,355.899994,3503600,355.899994
"27",353.440002,356.959991,351.380005,352.450012,3636000,352.450012
"28",354.399994,359.679993,352.079987,358.660004,3407400,358.660004
"29",358.100006,361.709991,356.720001,359.76001,2278400,359.76001
"30",355.25,362.929993,355.25,360.839996,2888900,360.839996
"31",359.049988,360.630005,356.619995,358.140015,2687300,358.140015
"32",359.980011,364.850006,358.519989,358.609985,7088700,358.609985
"33",317.299988,324.869995,314.76001,324.01001,17846500,324.01001
"34",324.25,324.820007,316.5,320.410004,5932000,320.410004
"35",321.980011,322.899994,319.5,320,2883800,320
"36",321.450012,322.730011,318.5,322.51001,3969000,322.51001
"37",320.01001,320.679993,311.859985,312.98999,5192000,312.98999
"38",313.690002,315.829987,304.589996,307.059998,7441500,307.059998
"39",308.839996,316.179993,308.5,313.649994,4200900,313.649994
"40",313.299988,314.549988,310.059998,312.320007,2852100,312.320007
"41",310.829987,315.779999,310.200012,313.890015,2296900,313.890015
"42",315.209991,315.880005,309.649994,311.450012,2935600,311.450012
"43",311.940002,317.320007,310.660004,316.799988,2705900,316.799988
"44",318.480011,320.380005,316.880005,318.329987,2468600,318.329987
"45",318.890015,321.309998,316.950012,319.320007,1915800,319.320007
"46",327.600006,331.720001,326.140015,326.279999,4945100,326.279999
"47",327.799988,334.089996,326.709991,333.209991,3420400,333.209991
"48",334,335,328.320007,333.630005,3896700,333.630005
"49",335.480011,337.799988,333.769989,334.529999,2485400,334.529999
"50",334.869995,335.809998,333.01001,335.130005,1713800,335.130005
"51",334.679993,337.160004,334.019989,335.779999,1810500,335.779999
"52",336.480011,336.579987,332.230011,332.910004,1971100,332.910004
"53",332.98999,334.079987,330.799988,331.589996,2211200,331.589996
"54",333.209991,336.769989,332.709991,334.019989,1957700,334.019989
"55",337,344.359985,334.549988,341.829987,3654700,341.829987
"56",342.089996,346.670013,341.339996,343.179993,2961600,343.179993
"57",340,341.790009,338.799988,340.019989,2252700,340.019989
"58",341.76001,341.820007,337.679993,339.040009,1939500,339.040009
"59",339.980011,342.5,337.160004,342.380005,2326000,342.380005
"60",342.540009,343.269989,337.549988,339,1993700,339
"61",343.690002,349.380005,343.579987,345.950012,3965600,345.950012
"62",346.299988,346.829987,342.5,346.380005,2107000,346.380005
"63",344.540009,345.809998,339.040009,342.339996,2955300,342.339996
"64",341.609985,341.76001,329.179993,329.75,4646800,329.75
"65",334.299988,334.980011,328.820007,331.329987,3797400,331.329987
"66",329.940002,333.01001,326.390015,330.519989,2720200,330.519989
"67",329.559998,332.890015,328.790009,331.190002,3429300,331.190002
"68",330.910004,331.329987,319,323.890015,4000400,323.890015
"69",321.070007,329.480011,320.100006,327.76001,3259900,327.76001
"70",327.76001,328,321.519989,324,4136000,324
"71",325.440002,327.100006,323.709991,325,2576900,325
"72",327.600006,332.76001,325.570007,331.320007,6886200,331.320007
"73",328.48999,329.48999,321.059998,324.5,3109700,324.5
"74",322.459991,327.600006,321.25,323.630005,2352600,323.630005
"75",324.170013,329.440002,319.559998,328.209991,2642200,328.209991
"76",327.98999,328.540009,321.399994,321.929993,2928800,321.929993
"77",320.600006,323.5,317.640015,323.209991,3638000,323.209991
"78",320.5,323.75,319,321.820007,1924600,321.820007
"79",321.359985,323.429993,318.51001,322.440002,2636200,322.440002
"80",322.040009,322.170013,315.549988,317.459991,3089100,317.459991
"81",316.920013,318.529999,311.309998,318.410004,3553900,318.410004
"82",320.359985,325.160004,319.529999,322.73999,3037400,322.73999
"83",323.5,324.130005,319.600006,322.200012,2290300,322.200012
"84",319.429993,322,316.670013,316.980011,2365400,316.980011
"85",316.579987,324.109985,314.140015,322.700012,3452800,322.700012
"86",321.48999,322.269989,314.519989,315.369995,3587900,315.369995
"87",314.019989,317.769989,311.380005,311.390015,3681900,311.390015
"88",309.869995,313.200012,303.470001,306.450012,4363900,306.450012
