"","VFC.Open","VFC.High","VFC.Low","VFC.Close","VFC.Volume","VFC.Adjusted"
"1",63.490002,63.639999,63.150002,63.189999,900700,62.11762
"2",62.939999,63.07,62.599998,62.860001,1326500,61.793223
"3",62.59,62.75,61.790001,61.919998,1258700,60.869173
"4",61.900002,61.900002,61.450001,61.639999,1169000,60.593926
"5",61.369999,62.139999,61.279999,61.700001,1482000,60.652909
"6",61.540001,62.099998,61.389999,61.84,1450900,60.790532
"7",62.040001,62.490002,61.599998,62.360001,1556800,61.301708
"8",62.470001,62.5,61.779999,62.099998,1386900,61.046118
"9",62.330002,62.43,61.990002,62.150002,2701300,61.095273
"10",62.279999,62.709999,62.009998,62.650002,1545900,61.586788
"11",62.509998,62.970001,62.189999,62.240002,1049800,61.183746
"12",62.049999,62.98,62.049999,62.84,1125000,61.773562
"13",62.830002,62.889999,62.139999,62.43,1229000,61.37052
"14",62.380001,62.91,62.18,62.720001,1203000,61.655599
"15",62.740002,63.099998,62.540001,63,1569200,61.930846
"16",63.029999,63.639999,62.970001,63.369999,1152500,62.294566
"17",63.220001,63.459999,62.900002,63.049999,1358900,61.979997
"18",63.07,63.549999,63.049999,63.369999,795700,62.294566
"19",62.950001,63.400002,62.880001,63.09,873200,62.019319
"20",62.98,63.040001,62.360001,62.59,1135100,61.527804
"21",62.700001,63.349998,62.599998,63.119999,2021500,62.048809
"22",62.639999,63.209999,62.25,62.830002,1705000,61.763733
"23",62.799999,62.93,62.09,62.200001,2419100,61.144424
"24",62.5,63.279999,62.349998,62.610001,1678300,61.547465
"25",62.380001,62.740002,62.150002,62.610001,1423300,61.547465
"26",62.779999,63.060001,62.150002,62.669998,2028400,61.606445
"27",62.369999,62.709999,61.599998,61.599998,2643300,60.554604
"28",61.689999,61.889999,60.119999,60.950001,3551900,59.915637
"29",60.900002,61,60.630001,60.740002,1699000,59.709202
"30",60.830002,60.950001,60.439999,60.66,1702500,59.630558
"31",60.740002,61.299999,60.630001,61.189999,1785200,60.151562
"32",61.400002,62.869999,61.400002,62.490002,2774300,61.429503
"33",62.259998,62.650002,61.669998,61.810001,1076000,60.761043
"34",61.82,62.080002,61.540001,61.950001,1084900,60.898666
"35",62,62.25,61.470001,61.490002,795700,60.446474
"36",61.68,62.470001,61.52,62.43,1877800,61.37052
"37",62.049999,62.259998,61.220001,61.27,1751300,60.230206
"38",60.77,61.5,60.540001,60.66,1391100,59.630558
"39",60.59,61.490002,59.82,61.279999,1948700,60.240035
"40",61.080002,61.540001,60.59,61.080002,1479000,60.043432
"41",60.799999,61.82,60.619999,61.73,1296000,60.682399
"42",62,62.189999,61.490002,61.740002,1404900,60.692231
"43",61.849998,62.529999,61.470001,62.490002,778200,61.429503
"44",62.669998,62.849998,62.490002,62.619999,945100,61.557294
"45",62.68,62.880001,62.049999,62.130001,963300,61.075612
"46",62.16,62.279999,61.549999,61.650002,1668300,60.603758
"47",61.93,62.009998,61.560001,61.939999,958500,60.888834
"48",62.189999,62.41,61.110001,61.509998,1308900,60.466131
"49",62.060001,62.529999,61.830002,62.380001,1045300,61.321369
"50",62.689999,62.900002,62.470001,62.75,1074400,61.685089
"51",62.700001,63.619999,62.509998,63.419998,1476100,62.343717
"52",63.540001,63.740002,63.259998,63.52,1495900,62.442022
"53",63.5,64.099998,63.34,63.869999,1520800,62.786081
"54",64.139999,64.43,63.939999,64.309998,1216200,63.218612
"55",64.510002,64.739998,64.230003,64.309998,910800,63.218612
"56",64.449997,64.660004,63.939999,64.309998,983100,63.218612
"57",63.900002,64.07,63.48,63.82,814900,62.73693
"58",63.830002,64.129997,63.549999,64.120003,1100400,63.031842
"59",64.139999,64.68,63.959999,64.610001,1097500,63.513524
"60",64.720001,64.870003,64.300003,64.510002,1151800,63.415223
"61",64.889999,65.599998,64.860001,65.360001,1214800,64.250796
"62",64.970001,65.360001,64.379997,65.32,1599200,64.470897
"63",65.32,65.809998,64.879997,65.330002,1021100,64.480769
"64",65.349998,65.449997,64.669998,64.730003,825700,63.88857
"65",64.790001,64.919998,64.190002,64.830002,1187800,63.987269
"66",64.769997,65.18,64.5,64.660004,1369400,63.819481
"67",64.900002,66.089996,64.790001,65.860001,2560900,65.003879
"68",65.849998,66.239998,65.559998,66.019997,1716000,65.161795
