"","HON.Open","HON.High","HON.Low","HON.Close","HON.Volume","HON.Adjusted"
"1",95.550003,95.660004,94.959999,95.339996,2635500,93.456429
"2",94.910004,95.099998,94.5,94.910004,2061200,93.034932
"3",94.849998,94.889999,93.449997,93.660004,2476100,91.809627
"4",93.699997,94.230003,93.43,93.769997,1875100,91.917447
"5",93.599998,94.080002,93.400002,93.800003,1884000,91.94686
"6",93.599998,94.480003,93.489998,94.300003,1855000,92.436982
"7",94.209999,94.32,93.339996,94.190002,2974600,92.329155
"8",94.43,94.489998,93.910004,94.440002,2350600,92.574216
"9",94.739998,94.93,94.419998,94.82,3101600,92.946706
"10",94.599998,94.839996,93.949997,94.269997,2237400,92.407569
"11",94.150002,94.190002,92.93,93.019997,2854000,91.182264
"12",92.690002,93.489998,92.589996,93.209999,2260900,91.368513
"13",93.410004,93.489998,92.599998,93.059998,1713600,91.221475
"14",92.580002,93.339996,92.510002,93.260002,2021100,91.417528
"15",93.18,93.220001,92.599998,92.949997,2354200,91.113647
"16",93.290001,94.82,93.080002,94.589996,4379500,92.721246
"17",94.239998,94.599998,93.970001,94.279999,2260800,92.417373
"18",94.779999,95.190002,94.68,94.879997,1521400,93.005518
"19",94.720001,94.760002,94.07,94.379997,2914100,92.515396
"20",94.309998,94.519997,93.860001,94.209999,2418900,92.348756
"21",94.620003,94.870003,93.949997,94.540001,1883400,92.672239
"22",93.489998,94.540001,93.269997,94.279999,2780800,92.417373
"23",94.230003,94.980003,94.080002,94.900002,2536900,93.025127
"24",95.370003,95.860001,95.089996,95.739998,3118900,93.848528
"25",95.559998,96.269997,95.379997,95.959999,4025900,94.064183
"26",96.449997,96.760002,96.190002,96.389999,3166000,94.485688
"27",95.389999,96.349998,95.160004,95.169998,3776600,93.28979
"28",96.300003,97.279999,95.650002,96.82,4488000,94.907193
"29",96.699997,97.5,96.290001,97.339996,3741400,95.416916
"30",97.93,98.089996,96.769997,97.190002,3836900,95.269886
"31",97.75,97.800003,96.589996,96.599998,3170000,94.691538
"32",96.589996,96.800003,95.919998,96.010002,2193600,94.113198
"33",95.82,96.230003,95.650002,95.760002,2245800,93.868137
"34",95.830002,96,94.360001,95.169998,3307600,93.28979
"35",95.099998,95.370003,93.690002,93.779999,3487000,91.927251
"36",94.830002,94.830002,93.339996,94.07,2636800,92.211523
"37",93.309998,93.440002,91.830002,91.830002,4108500,90.015779
"38",91.75,92.300003,90.940002,91.57,4633300,89.760914
"39",92.860001,92.860001,90.75,91.360001,3324700,89.555063
"40",90.860001,92.279999,90.589996,91.239998,4288200,89.437432
"41",90.360001,91.010002,90.18,90.559998,3886700,88.770866
"42",90.989998,91.400002,90.589996,90.959999,3588700,89.162964
"43",91.110001,92.790001,90.879997,92.709999,2923800,90.878391
"44",93,93.839996,92.959999,93.160004,2812000,91.319505
"45",92.82,93.540001,92.550003,92.910004,2197300,91.074444
"46",93.279999,94.349998,93.080002,94.269997,2236500,92.407569
"47",94.470001,94.769997,94.269997,94.389999,1957400,92.525201
"48",94.489998,94.779999,93.5,94.230003,3457900,92.368366
"49",94.620003,95.400002,94.589996,95.260002,2831300,93.378015
"50",95.07,95.150002,94.669998,94.720001,2393800,93.289373
"51",95.040001,95.980003,94.589996,95.769997,2572200,94.32351
"52",95.980003,96.330002,95.540001,95.940002,1511900,94.490948
"53",95.739998,95.889999,95.25,95.559998,1449500,94.116683
"54",96.040001,96.169998,95.709999,95.809998,1185700,94.362907
"55",95.889999,96.040001,95.459999,95.510002,1522500,94.067442
"56",95.75,95.889999,95.279999,95.57,1303900,94.126534
"57",95.139999,95.400002,94.699997,95.300003,945800,93.860615
"58",95.349998,95.57,94.830002,95.230003,1170600,93.791672
"59",95.18,95.790001,95.059998,95.5,1672800,94.057591
"60",95.860001,95.949997,95.260002,95.459999,1342000,94.018194
"61",95.480003,96.019997,94.82,94.989998,2521500,93.555292
"62",94.989998,95.809998,94.5,95.610001,1923400,94.16593
"63",95.540001,95.629997,94.980003,95.239998,2022000,93.801516
"64",95.040001,95.279999,94.330002,94.459999,2240500,93.033298
"65",94.330002,94.610001,93.800003,94.360001,2497100,92.93481
"66",94.129997,94.790001,93.940002,94.739998,1529900,93.309068
"67",94.760002,94.980003,94.269997,94.5,3024500,93.072695
"68",94.309998,94.830002,93.769997,94.650002,2711600,93.220431
"69",94.470001,95.019997,93.889999,94.860001,2237700,93.427258
"70",95.160004,95.980003,94.900002,95.540001,3133700,94.096988
"71",96,96.5,95.669998,96.389999,2636200,94.934148
"72",96.720001,96.93,96.239998,96.5,5388900,95.042487
"73",95.82,96.330002,94.559998,94.699997,2231000,93.269671
"74",94.349998,94.43,93.32,93.389999,3339500,91.979459
"75",93.309998,94.019997,93.239998,93.830002,2349100,92.412816
"76",93.529999,93.639999,92.330002,92.400002,2264200,91.004414
"77",92.43,93.349998,92.25,93.300003,2392700,91.890822
"78",92.43,93.830002,92.360001,93.529999,3054900,92.117344
"79",93.43,93.720001,92.669998,93.120003,2562700,91.713541
"80",92.75,92.849998,91.300003,91.660004,4458400,90.275593
"81",91.589996,91.870003,90.300003,91.120003,2724600,89.743748
"82",91.900002,92.110001,91.150002,91.709999,2543200,90.324834
"83",92.080002,92.739998,91.660004,91.949997,2392800,90.561207
"84",91.169998,91.360001,89.739998,89.790001,2590400,88.433835
"85",89.879997,91.519997,89.279999,91.449997,3456000,90.068758
"86",91.379997,91.580002,89.5,89.769997,2691300,88.414132
"87",89.550003,89.790001,87.889999,87.900002,4650200,86.572381
"88",88.019997,88.5,85.559998,85.660004,4122000,84.366216
"89",86,86.959999,85.709999,86.190002,5621800,84.88821
"90",85.169998,85.720001,82.889999,85.110001,7911300,83.82452
"91",83.730003,86.800003,83.480003,86.389999,6011000,85.085186
"92",89.230003,90.779999,88.889999,90.059998,7835900,88.699753
