"","TER.Open","TER.High","TER.Low","TER.Close","TER.Volume","TER.Adjusted"
"1",18.99,19.290001,18.959999,19.25,3200000,19.024405
"2",19.190001,19.23,18.99,19.219999,3304100,18.994756
"3",19.17,19.34,19.01,19.110001,956900,18.886046
"4",19.190001,19.379999,19.059999,19.120001,1007100,18.895929
"5",19.139999,19.26,18.959999,19.110001,2365900,18.886046
"6",19.1,19.290001,19,19.110001,2920400,18.886046
"7",19.16,19.16,18.85,19.139999,1714700,18.915693
"8",19.23,19.23,19.049999,19.17,1475600,18.945342
"9",19.17,19.42,18.99,19.42,3280500,19.192413
"10",19.379999,19.629999,19.360001,19.610001,2142600,19.380187
"11",19.59,19.790001,19.299999,19.34,3585800,19.11335
"12",19.27,19.370001,19.110001,19.33,2009400,19.103467
"13",19.370001,19.370001,19.040001,19.280001,1247300,19.054054
"14",19.290001,19.49,19.25,19.450001,2360400,19.222062
"15",19.42,19.610001,19.42,19.6,2244700,19.370304
"16",19.610001,19.92,19.610001,19.780001,2725600,19.548194
"17",19.74,19.98,19.74,19.9,1614700,19.666787
"18",19.940001,20.23,19.91,20.01,1760300,19.775498
"19",20.030001,20.1,19.91,20.02,1429000,19.785382
"20",19.93,19.969999,19.629999,19.91,1962300,19.67667
"21",19.92,20.120001,19.77,19.98,1790300,19.745849
"22",19.700001,20.139999,19.549999,20,1363500,19.765615
"23",19.98,20.1,19.889999,19.91,1235400,19.67667
"24",20.040001,20.09,19.83,20,1306000,19.765615
"25",20.01,20.059999,19.700001,19.84,1287600,19.607491
"26",19.92,20,19.75,19.780001,1974700,19.548194
"27",19.73,19.75,19.4,19.459999,3016600,19.231943
"28",19.52,19.700001,19.48,19.6,2104300,19.370304
"29",19.6,19.809999,19.5,19.700001,2532500,19.469132
"30",19.85,19.91,19.780001,19.84,1953200,19.607491
"31",19.84,19.85,19.23,19.26,2843900,19.034288
"32",19.24,19.24,18.02,18.120001,9243900,17.907648
"33",18.059999,18.370001,17.74,18.290001,6485400,18.075656
"34",18.280001,18.790001,18.16,18.68,6087000,18.461085
"35",18.780001,18.889999,18.540001,18.66,5229800,18.441319
"36",18.809999,18.809999,18.52,18.700001,2262700,18.480851
"37",18.57,18.719999,18.190001,18.219999,3266900,18.006475
"38",18.200001,18.370001,18.02,18.27,2227800,18.05589
"39",18.34,18.559999,18.17,18.540001,3632400,18.322726
"40",18.370001,18.77,18.32,18.57,3096900,18.352374
"41",18.43,18.84,18.43,18.76,2069700,18.540148
"42",18.84,18.84,18.469999,18.51,2407200,18.293077
"43",18.5,18.719999,18.4,18.709999,1422600,18.490732
"44",18.790001,19,18.73,18.73,1635500,18.510498
"45",18.719999,18.83,18.559999,18.77,1519600,18.550031
"46",18.82,18.940001,18.709999,18.84,1381000,18.61921
