"","TEL.Open","TEL.High","TEL.Low","TEL.Close","TEL.Volume","TEL.Adjusted"
"1",62.07,62.27,61.639999,62.119999,1209200,61.552321
"2",61.970001,62.18,61.700001,62.02,1410900,61.453237
"3",62.110001,62.23,61.5,61.75,1082200,61.185703
"4",61.880001,61.98,61.279999,61.459999,904200,60.898353
"5",61.41,61.880001,61.150002,61.52,1375800,60.957806
"6",61.490002,62.18,61.279999,61.779999,1458600,61.215428
"7",61.73,62.009998,61.209999,61.939999,855000,61.373966
"8",61.93,62.630001,61.709999,62.23,2831700,61.661317
"9",62.299999,62.509998,61.970001,62.240002,3376400,61.671227
"10",61.709999,62.459999,61.560001,61.889999,1422500,61.324423
"11",61.73,62.029999,60.93,60.939999,1183400,60.383104
"12",60.98,61.369999,60.57,61.040001,1698200,60.482193
"13",61.279999,61.419998,60.630001,61.18,900100,60.620913
"14",61.049999,61.990002,61.029999,61.939999,1116100,61.373966
"15",61.860001,62,61.419998,61.84,1538100,61.274881
"16",62.150002,63.48,62.040001,63.360001,1652200,62.780991
"17",63.25,63.84,63.130001,63.209999,1451200,62.63236
"18",63.34,63.689999,63.110001,63.66,539900,63.078249
"19",63.630001,63.779999,63.110001,63.720001,1195600,63.137702
"20",63.599998,63.68,62.950001,63.599998,1424900,63.018796
"21",63.619999,64.029999,63.23,64.010002,1417800,63.425053
"22",62.700001,63.720001,62.619999,63.330002,2322700,62.751267
"23",63.540001,63.540001,63.09,63.209999,1343500,62.63236
"24",63.450001,63.669998,63.110001,63.200001,2026900,62.622454
"25",63.220001,63.32,62.68,63.080002,1932400,62.503551
"26",63.380001,63.560001,62.889999,62.959999,1723800,62.384645
"27",62.810001,63.400002,62.549999,63.060001,1901200,62.483734
"28",63.279999,64.309998,63.209999,64.260002,1717700,63.672768
"29",63.869999,64.360001,63.639999,64.300003,1860800,63.712404
"30",64.470001,65.010002,64.400002,64.970001,2381200,64.376279
"31",63,64.699997,60.700001,62.32,5223700,61.750494
"32",62.599998,63.380001,62.310001,63.310001,3030800,62.731449
"33",63.040001,63.540001,62.779999,63.049999,2019600,62.473823
"34",63.029999,63.419998,62.700001,63.139999,1912400,62.563
"35",63.139999,63.599998,62.630001,62.73,2369500,62.156747
"36",63.02,63.599998,62.610001,63.369999,2664700,62.790898
"37",63,63.049999,61.869999,61.889999,2379500,61.324423
"38",61.860001,61.860001,60.860001,61.48,3193400,60.91817
"39",61.799999,61.93,61.560001,61.650002,1785800,61.086619
"40",61.349998,62,61.09,61.32,1680100,60.759633
"41",61.18,61.5,61,61.369999,2685900,60.809175
"42",61.84,61.84,60.790001,60.900002,1675900,60.343473
"43",60.98,61.310001,60.630001,61.290001,1342400,60.729908
"44",61.52,62.040001,61.439999,61.509998,734400,60.947895
"45",61.25,61.73,60.709999,61.150002,1443500,60.591188
"46",61.549999,62.139999,61.23,62.110001,907300,61.542414
"47",62.259998,62.459999,61.880001,62.139999,713100,61.572139
"48",62.459999,62.59,61.630001,62.150002,787200,61.58205
"49",62.75,63,62.630001,62.880001,868600,62.305378
"50",62.889999,63.240002,62.48,62.799999,1129100,62.226107
"51",62.650002,62.830002,62.099998,62.34,1781000,61.770312
"52",62.5,62.720001,62.380001,62.459999,1803100,61.889214
"53",62.25,62.52,61.98,62.119999,1969200,61.552321
"54",62.360001,63.02,62.34,62.900002,1020100,62.325196
"55",63.200001,63.200001,62.82,62.970001,850600,62.394556
"56",62.84,63,61.98,62.07,1405900,61.787331
"57",61.880001,62.139999,61.549999,62.009998,1486800,61.727603
"58",62.18,62.779999,62.119999,62.68,1446600,62.394553
"59",62.810001,62.98,62.450001,62.75,1073400,62.464234
"60",62.889999,63.139999,62.509998,63.099998,1238100,62.812639
"61",63.52,64.040001,63.02,63.07,1258600,62.782777
"62",62.990002,63.189999,62.48,62.619999,1477100,62.334825
"63",62.529999,63.060001,62.41,62.73,868600,62.444325
"64",62.509998,62.77,61.93,62.009998,1044700,61.727603
"65",61.98,62.66,61.98,62.450001,819200,62.165601
"66",62.349998,63.689999,62.130001,63.580002,1526100,63.290456
"67",63.48,63.5,62.580002,63,2090800,62.713096
"68",63.119999,63.16,62.419998,62.610001,2019500,62.324873
"69",62.32,62.450001,61.860001,62.279999,1591100,61.996374
"70",62.279999,62.740002,61.68,61.860001,1708400,61.578288
"71",62.240002,62.389999,61.799999,61.900002,2608000,61.618107
"72",61.990002,62.209999,60.889999,60.919998,2477600,60.642566
"73",60.98,61.189999,60.23,60.439999,1495300,60.164753
"74",60.389999,60.560001,59.310001,59.32,2411100,59.049854
"75",59.169998,59.709999,59.040001,59.650002,2693100,59.378353
"76",59.459999,59.650002,58.470001,58.470001,3131100,58.203727
"77",58.57,58.939999,58.380001,58.799999,1600900,58.532222
"78",58.299999,58.509998,57.84,57.869999,2362600,57.606457
"79",57.75,57.950001,54.549999,55.290001,6531200,55.038208
