"","LLL.Open","LLL.High","LLL.Low","LLL.Close","LLL.Volume","LLL.Adjusted"
"1",126.279999,127,125.389999,126.129997,1054700,123.470897
"2",126,126.18,125.32,125.82,864900,123.167434
"3",125.449997,126.300003,124.620003,125.209999,789100,122.570294
"4",125.199997,125.839996,124.760002,125.559998,796100,122.912914
"5",125.330002,125.800003,124.620003,125.029999,920300,122.394089
"6",125.150002,125.150002,123.400002,124.120003,936300,121.503277
"7",124.370003,124.419998,122.93,123.860001,922300,121.248757
"8",123.860001,124.43,122.300003,124.239998,716000,121.620743
"9",124.040001,124.800003,123.650002,123.699997,1145200,121.092126
"10",123.239998,123.849998,122.309998,122.889999,493300,120.299205
"11",122.830002,123.32,121.279999,121.360001,569000,118.801462
"12",120.809998,121.75,120.809998,121.660004,439300,119.09514
"13",121.699997,121.699997,120.839996,121.25,416300,118.693781
"14",120.989998,121.410004,120.629997,121.190002,734000,118.635048
"15",121.650002,121.650002,120.519997,120.75,547500,118.204322
"16",120.889999,121.519997,119.779999,121.18,570800,118.625257
"17",120.720001,121.650002,120.019997,120.150002,433200,117.616972
"18",120.440002,121.120003,120.269997,120.629997,352800,118.086849
"19",120.559998,120.599998,119.230003,119.370003,592000,116.853418
"20",119.190002,119.650002,118.339996,118.550003,570400,116.050706
"21",119.099998,119.709999,118.449997,119.239998,520600,116.726154
"22",118.019997,119.709999,117.910004,119.029999,468500,116.520582
"23",119.059998,120.379997,118.730003,120.220001,454400,117.685496
"24",120.900002,121.080002,120.230003,120.620003,443700,118.077065
"25",120.620003,121.730003,120.379997,120.82,567500,118.272846
"26",121.129997,121.589996,120.639999,121.349998,552700,118.791671
"27",120.699997,122.089996,120.589996,120.610001,519800,118.067274
"28",120.889999,122,120.739998,121.959999,405200,119.388811
"29",121.580002,122.610001,121.220001,122.43,381700,119.848904
"30",123.029999,123.059998,122.239998,122.849998,450700,120.260047
"31",122.769997,122.989998,121.809998,122.379997,333400,119.799955
"32",122.489998,122.489998,121.32,121.989998,337700,119.418178
"33",121.510002,121.849998,120.629997,120.849998,296100,118.302212
"34",120.870003,121.489998,119.720001,120.779999,397500,118.233688
"35",120.940002,121,119.269997,119.279999,592700,116.765311
