"","DRI.Open","DRI.High","DRI.Low","DRI.Close","DRI.Volume","DRI.Adjusted"
"165",60.150002,60.82,59.599998,60.759998,973500,59.796003
"166",60.580002,61.32,60.439999,60.66,1479200,59.697591
"167",60.919998,61.389999,60.610001,60.98,677400,60.012514
"168",60.970001,61.360001,60.419998,60.650002,561800,59.687751
"169",60.16,60.549999,59.889999,60.169998,877500,59.215364
"170",60.57,61.240002,59.419998,61.049999,778900,60.081403
"171",61.119999,61.369999,60.459999,60.810001,605200,59.845213
"172",60.560001,61.450001,59.93,61.41,1076600,60.435692
"173",61.18,61.759998,60.689999,61.720001,671100,60.740775
"174",61.509998,61.75,61.189999,61.450001,994600,60.475058
"175",61.450001,62.310001,61.369999,62.169998,1515700,61.183632
"176",62.169998,62.650002,62.009998,62.32,1154400,61.331254
"177",62.299999,62.490002,62.040001,62.209999,997400,61.222999
"178",62.400002,62.689999,62.23,62.59,705400,61.596971
"179",62.759998,63.68,62.32,63.529999,1273900,62.522056
"180",63.5,64.489998,63.450001,64.32,1021900,63.299523
"181",64.400002,64.5,64.050003,64.379997,882700,63.358568
"182",64.43,64.550003,63.93,64,1112500,62.9846
"183",64.040001,64.870003,63.880001,64.379997,932000,63.358568
"184",64.220001,64.269997,63.529999,63.889999,555500,62.876345
"185",63.450001,63.709999,62.849998,62.889999,946400,61.89221
"186",62.93,64.540001,62.93,64.209999,1087100,63.191267
"187",63.84,64,62.549999,62.709999,1246300,61.715066
"188",62.799999,63.580002,62.720001,63.360001,651300,62.354755
"189",63.080002,63.189999,62.209999,62.470001,1217100,61.478876
"190",62.470001,62.610001,61.689999,61.720001,1016800,60.740775
"191",62.099998,63.689999,61.970001,63.529999,1372400,62.522056
"192",63.610001,63.990002,62.84,63.099998,1050000,62.098878
"193",63.540001,64.959999,63.529999,64.910004,1752300,63.880166
"194",64.910004,65.599998,64.529999,65.519997,1526300,64.480481
"195",65.519997,65.75,64.620003,65.190002,2019500,64.155722
"196",65.190002,65.75,64.860001,64.870003,1893500,63.8408
"197",67.379997,67.739998,65.580002,66.75,6176500,65.69097
"198",67.75,70,67.489998,69.220001,3743100,68.121783
"199",69.080002,70.379997,69.080002,69.730003,2263600,68.623693
"200",69.790001,70,68.669998,68.709999,2432500,67.619872
"201",68.32,68.699997,67.529999,68.260002,1796500,67.177015
"202",68.440002,69.330002,68.089996,69.050003,1567600,67.954482
"203",69.339996,69.93,69.190002,69.419998,1145000,68.318607
"204",69.440002,70.239998,69.309998,69.339996,1998400,68.239874
"205",69.129997,69.18,67.360001,67.470001,1827200,66.399548
"206",67.900002,68.019997,67.279999,67.449997,1979900,66.379861
"207",67.160004,67.489998,66.449997,66.550003,1362000,65.494146
"208",66.699997,66.739998,66.010002,66.260002,2481800,65.208746
"209",65.93,67.529999,65.910004,67.489998,1612700,66.975162
"210",67.220001,67.510002,66.470001,67.18,2236000,66.66753
"211",67.610001,69.349998,67.589996,68.779999,2210900,68.255323
"212",68.360001,69.440002,68.360001,68.599998,1306100,68.076696
"213",68.489998,68.610001,67.779999,67.900002,1372400,67.382038
"214",68,68.300003,67.040001,67.050003,1184600,66.538524
"215",67.010002,67.339996,66.239998,66.43,1313300,65.923251
"216",65.959999,66.059998,64.900002,64.940002,1671500,64.444619
"217",65.309998,65.489998,65.010002,65.220001,1378600,64.722482
"218",65.220001,65.529999,64.650002,65.290001,1355000,64.791948
"219",65.290001,65.410004,64.839996,65.199997,1074600,64.70263
"220",65.480003,66,64.919998,65.809998,1746100,65.307978
"221",66.07,67.190002,65.610001,67.010002,1264500,66.498828
"222",67.010002,67.150002,65.849998,65.940002,1221400,65.436991
"223",65.779999,66.379997,65.5,66.370003,947700,65.863711
"224",65.75,65.760002,64.379997,64.43,1785000,63.938508
"225",64.129997,64.620003,63.5,63.77,1476400,63.283542
"226",64.169998,64.480003,63.869999,63.990002,1112800,63.501865
"227",64.010002,64.339996,63.119999,63.18,1128200,62.698043
"228",63.130001,63.169998,61.720001,61.75,1521800,61.278951
"229",61.91,62.259998,61.310001,61.639999,1386600,61.16979
"230",61.82,63.369999,61.66,63.07,1575200,62.588881
"231",63.59,64.82,63.59,63.959999,1200600,63.472092
"232",63.830002,64.650002,63.799999,64.160004,1292500,63.670571
"233",63.650002,63.970001,62.880001,63.68,851500,63.194229
"234",63.73,64.110001,62.66,62.759998,1465500,62.281245
"235",63.130001,63.540001,62.560001,63.389999,946900,62.90644
"236",63.619999,63.970001,63.48,63.93,657500,63.442322
"237",63.790001,64.209999,63.540001,64.07,613600,63.581253
"238",64.209999,65.400002,63.900002,65.129997,1177200,64.633165
"239",65.040001,65.040001,64.269997,64.379997,729000,63.888886
"240",64.160004,64.669998,64.059998,64.57,814000,64.077439
"241",64.709999,64.910004,64.379997,64.75,734300,64.256066
"242",64.699997,64.830002,63.799999,64.18,798800,63.690415
"243",64.660004,65.5,64.580002,64.919998,1520500,64.424768
"244",64.919998,65.599998,64.720001,64.940002,1988800,64.444619
"245",65.220001,65.760002,64.650002,65.540001,3597500,65.040041
"246",65.540001,66.040001,65.050003,65.800003,776700,65.298059
"247",65.650002,65.849998,65.010002,65.059998,1006100,64.563699
"248",65.230003,65.440002,64.75,65.32,792400,64.821718
"249",65.169998,65.269997,64.220001,64.389999,1291100,63.898812
"250",64.209999,64.879997,63.68,64.839996,699100,64.345376
"251",64.82,65.540001,64.529999,65.410004,874300,64.911035
"252",65.190002,65.370003,64.760002,65.010002,953800,64.514085
"253",65.029999,67.120003,64.910004,66.949997,1495600,66.439281
