"","MCO.Open","MCO.High","MCO.Low","MCO.Close","MCO.Volume","MCO.Adjusted"
"1",86.940002,87.489998,86.690002,86.919998,560700,85.846534
"2",86.279999,86.75,86.110001,86.610001,446900,85.540365
"3",85.410004,86.769997,85.410004,85.830002,524100,84.769999
"4",86,86.010002,85.139999,85.760002,434600,84.700864
"5",84.480003,85.809998,84.480003,85.519997,557100,84.463823
"6",85.559998,86.220001,85.260002,85.830002,489500,84.769999
"7",86.669998,86.669998,85.540001,86.489998,477100,85.421844
"8",88.410004,89.080002,84.540001,85.699997,610300,84.6416
"9",84.760002,86.629997,84.760002,86.440002,879800,85.372466
"10",86.360001,87.059998,85.889999,86.980003,607300,85.905798
"11",86.580002,87.629997,86.43,86.940002,705800,85.866291
"12",86.540001,87,86.169998,86.75,1191300,85.678636
"13",86.669998,87.059998,85.949997,86.989998,641000,85.915669
"14",86.989998,88.040001,86.989998,87.910004,708300,86.824313
"15",87.629997,87.980003,86.860001,87.660004,1063400,86.577401
"16",87.760002,90.199997,87.760002,90.050003,833100,88.937883
"17",89.769997,90.190002,88.809998,89.040001,1167200,87.940355
"18",89.519997,90.120003,89.230003,90.019997,488300,88.908248
"19",89.93,89.949997,88.980003,89.580002,624100,88.473687
"20",89.190002,89.379997,88.519997,89.059998,699200,87.960105
"21",88.57,88.949997,87.910004,88.790001,527100,87.693442
"22",87.589996,88.650002,87.519997,88.5,574700,87.407023
"23",88.610001,89.400002,88.32,89.18,532600,88.078625
"24",89.900002,90.190002,89.599998,89.739998,584600,88.631707
"25",89.599998,90.309998,89.419998,90.139999,647000,89.026768
"26",90.5,90.709999,89.720001,90.199997,494100,89.086025
"27",89.870003,90.43,89.050003,89.150002,520500,88.048997
"28",89.269997,90.559998,89.209999,90.440002,462300,89.323066
"29",89.82,90.550003,89.290001,90.339996,411000,89.224295
"30",90.57,91.209999,90.32,91.099998,540900,89.974911
"31",91.160004,91.760002,90.839996,91.610001,550800,90.478615
"32",91.75,92.540001,90.809998,92.480003,883500,91.337873
"33",94.300003,95,90.559998,91.620003,1495000,90.488494
"34",91.669998,91.769997,90.739998,91,905400,89.876148
"35",91.43,91.43,89.949997,90.129997,1006100,89.01689
"36",90.800003,90.800003,89.419998,89.910004,1105000,88.799613
"37",89.449997,89.660004,86.889999,87,1200900,85.925548
"38",86.82,88.139999,86.790001,86.989998,1866100,85.915669
"39",87.150002,88.459999,86.970001,88.199997,593800,87.110725
"40",87.720001,88.18,86.540001,86.860001,647000,85.787278
"41",86.57,87.790001,86.5,87.330002,574000,86.251474
"42",87.800003,87.970001,86.669998,86.93,1015200,85.856413
"43",87.129997,88.07,86.779999,87.900002,945200,86.814435
"44",88.389999,89.769997,87.879997,89.309998,985700,88.207017
"45",89.050003,89.949997,88.959999,89.709999,890700,88.602079
"46",90,91.199997,89.580002,90.949997,765800,89.826762
"47",91.199997,91.839996,90.959999,91.699997,729700,90.5675
"48",91.940002,92.190002,91.099998,91.360001,1486900,90.231703
"49",91.5,91.93,91.260002,91.300003,933100,90.449657
"50",91.400002,92.019997,91.059998,91.379997,638300,90.528906
"51",91.610001,92.199997,91.230003,91.900002,463000,91.044067
"52",91.989998,92.849998,91.910004,92.550003,625600,91.688014
"53",92.290001,92.769997,91.870003,91.889999,603500,91.034158
"54",92.410004,92.68,91.93,92.169998,744600,91.311549
"55",92.489998,93.339996,92.25,92.809998,683600,91.945587
"56",92.699997,93.010002,92.230003,92.879997,468200,92.014935
"57",92.599998,93.099998,92.099998,92.730003,449600,91.866338
"58",93.239998,93.989998,93.050003,93.57,676500,92.698511
"59",93.989998,94.489998,93.129997,93.199997,782500,92.331954
"60",93.980003,94.099998,92.75,93.089996,760800,92.222978
"61",93.480003,94.639999,92.970001,94.110001,727500,93.233482
"62",93.980003,95.360001,93.139999,95.220001,852800,94.333145
"63",95.120003,95.730003,94.739998,95.5,721300,94.610536
"64",95,95.550003,94.32,94.860001,732900,93.976497
"65",95.089996,95.959999,94.720001,95.690002,640600,94.798769
"66",95.360001,96.019997,95.309998,95.779999,794500,94.887927
"67",95.860001,95.860001,94.669998,95.010002,871600,94.125102
"68",95,95.059998,93.980003,94.709999,837000,93.827893
"69",94.599998,96.139999,94.279999,95.57,850600,94.679883
"70",95.660004,95.760002,94.68,95.349998,1400500,94.461931
"71",96.010002,96.010002,94.940002,95.25,1329800,94.362864
"72",95.769997,96.040001,94.510002,94.730003,1320400,93.847711
"73",94.699997,94.919998,93.830002,94.029999,721500,93.154226
"74",93.900002,94.489998,93.389999,93.389999,778400,92.520187
"75",93.370003,94.599998,93.160004,94.410004,558400,93.530691
"76",94.260002,94.279999,92.379997,92.379997,928700,91.519592
"77",92.370003,93.980003,91.620003,93.699997,694000,92.827297
"78",92.550003,94.25,92.389999,94.110001,775200,93.233482
"79",94.839996,95.040001,93.809998,94.5,1131900,93.619849
"80",94.779999,94.989998,92.419998,92.610001,1804400,91.747453
"81",92.529999,92.940002,92.010002,92.43,1275300,91.569129
"82",92.889999,94.529999,92.879997,93.980003,1060800,93.104696
"83",94.639999,94.989998,93.849998,94.510002,881000,93.629758
"84",93.949997,94,92.589996,92.599998,1065200,91.737544
"85",92.839996,96.5,92.5,96.239998,1699600,95.343641
"86",96.349998,96.389999,94.25,94.669998,1790800,93.788264
"87",94.669998,95.330002,91.989998,92.050003,2320300,91.192671
"88",92.050003,93.419998,91.300003,91.360001,1092500,90.509095
"89",91.639999,93.059998,91.419998,92.160004,761300,91.301647
"90",90.580002,91.779999,88.25,91.230003,1872800,90.380309
"91",89.68,90.949997,89.040001,90.190002,1428800,89.349994
"92",91.129997,92.379997,90.629997,91.519997,1455600,90.667601
"93",91.220001,91.760002,90.919998,91.489998,1007900,90.637882
"94",92.690002,94.379997,92.309998,94.160004,1188900,93.28302
"95",94.720001,95.300003,93.809998,93.910004,917400,93.035348
"96",95.239998,95.300003,94.029999,94.550003,1245700,93.669387
"97",95.099998,97.040001,94.470001,96.940002,1550600,96.037126
"98",96.610001,97.519997,96.389999,96.730003,1405400,95.829083
"99",97.300003,98.260002,96.839996,97.889999,922700,96.978275
"100",97.800003,98,96.970001,97.599998,783300,96.690975
"101",97.239998,98.559998,96.550003,98.099998,733000,97.186318
"102",99.529999,99.599998,98.559998,99.230003,818000,98.305799
"103",99.419998,99.620003,98.709999,99.129997,889900,98.206724
"104",99.050003,99.360001,98.629997,99.139999,919600,98.216633
"105",99.879997,99.879997,98.419998,99.370003,1365600,98.444494
"106",99.349998,99.830002,98.839996,98.989998,979900,98.068029
"107",99,99.230003,98.559998,98.949997,751000,98.0284
"108",99.199997,99.989998,98.790001,99.32,1345200,98.394957
"109",99.639999,99.849998,98.879997,99.309998,1083800,98.385048
"110",99.029999,100.419998,98.809998,100.080002,1120700,99.14788
"111",100.25,101.110001,100.18,100.900002,1224200,99.960243
"112",100.629997,100.940002,100.110001,100.470001,723500,99.534248
"113",100.379997,100.849998,99.940002,100.550003,820000,99.613504
"114",100.620003,102.239998,100.300003,101.839996,1139400,101.173216
"115",101.449997,101.529999,100.239998,100.599998,681000,99.941337
"116",100.029999,100.699997,99.860001,100.449997,624500,99.792317
"117",101.550003,101.699997,100.629997,100.940002,960400,100.279115
"118",101.419998,101.860001,101.019997,101.550003,655800,100.885121
"119",101.529999,101.75,99.800003,99.870003,2335600,99.216121
"120",99.800003,101.029999,99.730003,100.169998,1550400,99.514152
"121",100.720001,101.620003,100.720001,101.010002,766700,100.348656
"122",100.739998,101.050003,99.139999,99.669998,1659000,99.017426
"123",99.940002,100.919998,99.199997,100.529999,1588400,99.871796
"124",100.279999,101.019997,99.949997,100.169998,1093800,99.514152
"125",99.790001,100.330002,98.769997,98.970001,1329600,98.322012
"126",98.879997,99.57,98.440002,98.589996,1067700,97.944495
"127",98.639999,99.25,96.5,97.5,2038600,96.861635
"128",96.400002,97.5,95.32,96.050003,1849100,95.421132
"129",96.050003,96.589996,95.089996,95.5,2113600,94.87473
"130",96.339996,97.080002,95.980003,96.169998,1505500,95.540341
"131",95.370003,95.860001,93.459999,93.470001,1037200,92.858022
"132",94.449997,95.010002,92.809998,93.790001,1543900,93.175927
"133",93.529999,94.300003,92.32,92.379997,1153200,91.775155
"134",93.830002,96.669998,93.099998,96.669998,1883100,96.037068
"135",98.010002,98.029999,96.830002,97.75,1210500,97.109998
"136",98.290001,98.290001,96.279999,97.029999,1505700,96.394711
"137",96.910004,98.43,96.910004,98.379997,842200,97.735871
"138",98.580002,98.809998,97.949997,98,557000,97.358361
"139",97.980003,98.860001,97.629997,98.290001,289100,97.646464
"140",98.309998,98.989998,97.919998,97.949997,399400,97.308686
"141",97.529999,98.209999,97.309998,97.559998,511000,96.92124
"142",97.010002,97.25,96.480003,96.720001,690700,96.086743
"143",97.190002,97.489998,95.75,95.809998,560200,95.182698
"144",96.540001,96.93,94.959999,95.889999,930500,95.262176
