"","PLL.Open","PLL.High","PLL.Low","PLL.Close","PLL.Volume","PLL.Adjusted"
"1",86.599998,87,86.220001,86.290001,437500,85.149694
"2",85.699997,85.919998,84.860001,85.050003,421600,83.926082
"3",85.029999,85.110001,83.650002,83.959999,525000,82.850482
"4",84.150002,84.449997,83.82,84.010002,391000,82.899825
"5",84.07,84.309998,83.650002,84.050003,278800,82.939297
"6",83.75,84.739998,83.709999,84.209999,390900,83.097179
"7",84.260002,85.610001,83.839996,85.550003,783400,84.419475
"8",85.699997,85.779999,85.160004,85.620003,402600,84.488549
"9",85.349998,86.440002,85.199997,86.43,688800,85.287843
"10",86.559998,86.709999,85.470001,85.949997,311400,84.814183
"11",85.699997,86.25,84.860001,84.889999,199700,83.768193
"12",84.870003,85.540001,84.769997,85.029999,297700,83.906342
"13",85.169998,86.139999,84.589996,85.839996,507700,84.705636
"14",85.720001,86.050003,85.360001,85.699997,382200,84.567486
"15",85.529999,85.739998,84.669998,85.389999,438200,84.261585
"16",85.739998,86.040001,85.269997,85.5,445100,84.370132
"17",85.330002,85.980003,84.82,84.919998,310400,83.797795
"18",85.220001,85.660004,85.040001,85.379997,287100,84.251715
"19",85.099998,85.099998,84.330002,84.510002,368000,83.393217
"20",84.07,84.209999,83.400002,83.540001,506800,82.436034
"21",83.529999,83.93,83.169998,83.25,581000,82.149866
"22",82.419998,82.82,82.099998,82.269997,810500,81.182813
"23",82.099998,82.529999,81.800003,82.199997,565000,81.113738
"24",82.349998,82.790001,81.959999,82.190002,560600,81.103876
"25",82.199997,82.400002,81.379997,81.75,514200,80.669688
"26",82.199997,82.419998,81.639999,81.919998,495600,80.83744
"27",81.379997,81.790001,80.330002,80.349998,578500,79.288187
"28",80.68,81.459999,80.580002,81.389999,341700,80.314445
"29",81.059998,81.459999,80.739998,81.190002,333600,80.117091
"30",81.760002,82.239998,81.529999,81.629997,381800,80.551271
"31",81.769997,81.830002,81.080002,81.120003,280900,80.048016
"32",80.739998,81.279999,80.5,80.860001,321300,80.062867
"33",80.809998,81.150002,80.410004,80.800003,254000,80.003461
"34",80.739998,80.830002,79.610001,80.279999,373500,79.488583
"35",80.290001,80.769997,79.650002,79.660004,530900,78.8747
"36",79.760002,79.980003,78.900002,79.690002,398000,78.904403
"37",79.220001,79.489998,77.459999,77.470001,972800,76.706287
"38",77.43,77.959999,76.940002,77.57,598700,76.8053
"39",77.760002,77.940002,76.93,77.830002,482600,77.062739
"40",77.480003,78.400002,77.230003,77.589996,381900,76.825099
"41",77.089996,77.459999,76.589996,76.779999,808900,76.023087
"42",77.239998,77.629997,76.879997,77.199997,513000,76.438945
"43",77.389999,78.790001,77.260002,78.760002,536800,77.983571
"44",78.989998,79.760002,78.989998,79.349998,508900,78.567751
"45",79.110001,79.980003,79.110001,79.290001,600100,78.508345
"46",79.5,79.75,79.239998,79.370003,559900,78.587558
"47",79.519997,80.349998,79.279999,80.129997,526600,79.34006
"48",80.519997,80.57,79.269997,79.849998,310700,79.062822
"49",80.209999,81.18,80.120003,81.18,570700,80.379712
"50",81.300003,81.720001,81.18,81.519997,334200,80.716357
"51",81.599998,82.279999,81.489998,81.790001,675500,80.983699
"52",81.919998,82.129997,80.870003,81.010002,499400,80.21139
"53",80.730003,81.040001,80.040001,80.400002,577800,79.607403
"54",80.959999,81.43,80.510002,81.209999,420400,80.409415
"55",81.279999,81.330002,80.900002,81.110001,272600,80.310403
"56",81.099998,81.470001,80.519997,80.720001,629100,79.924248
"57",81.709999,84.260002,81.709999,83.43,2366900,82.607531
"58",83.940002,84.540001,83.529999,84.370003,1007100,83.538267
