"","STX.Open","STX.High","STX.Low","STX.Close","STX.Volume","STX.Adjusted"
"1",54.630001,54.91,54.049999,54.529999,2083500,52.696466
"2",54.639999,54.869999,54.060001,54.5,1369800,52.667476
"3",54.490002,54.650002,53.919998,54.220001,2335700,52.396892
"4",55.369999,55.73,54.91,55.360001,3423600,53.49856
"5",55.189999,55.970001,55.150002,55.91,2129000,54.030066
"6",55.639999,57.18,55.57,56.82,2598200,54.909467
"7",56.73,57.150002,56.029999,57.119999,1867400,55.199379
"8",57.029999,57.119999,56.220001,56.580002,1924600,54.677539
"9",56.799999,57.25,55.830002,56.27,4148700,54.377962
"10",56.41,56.41,55.380001,55.950001,1853700,54.068722
"11",55.790001,56.470001,55.700001,55.990002,2951900,54.107378
"12",55.650002,56.830002,55.580002,56.77,1921300,54.861149
"13",56.66,56.900002,56.310001,56.709999,1203100,54.803166
"14",56.470001,57.02,56.25,56.919998,1212800,55.006104
"15",57.119999,57.150002,56.650002,56.82,1676700,54.909467
"16",57.23,59.43,57.200001,58.880001,3610800,56.900203
"17",58.740002,59.16,58.610001,59.029999,1972600,57.045157
"18",59.169998,59.299999,58.110001,59.259998,1757300,57.267423
"19",59.150002,59.279999,58.490002,58.959999,1698600,56.977511
"20",59.119999,59.630001,58.029999,58.689999,2359700,56.716589
"21",58.720001,59.200001,58.330002,58.48,1530700,56.513651
"22",57.919998,59.150002,57.650002,58.830002,1484900,56.851885
"23",59.07,59.700001,58.580002,59.450001,1436300,57.451037
"24",59.73,59.98,59.150002,59.669998,2387800,57.663637
"25",59.950001,60.950001,59.580002,59.689999,2104100,57.682965
"26",60.259998,61.610001,60.25,61.310001,3160100,59.248496
"27",60.630001,61.150002,59.220001,59.490002,3660000,57.489693
"28",59.700001,59.77,57.75,58.790001,5444600,56.813229
"29",58.639999,59.23,58.240002,58.580002,3337900,56.610291
"30",58.959999,59.82,58.52,59.240002,3195900,57.248099
"31",59.48,59.880001,59.09,59.189999,1355600,57.199777
"32",59.580002,59.66,58.389999,59.580002,1842900,57.576666
"33",59.200001,59.709999,59.18,59.5,1050000,57.499355
"34",59.5,59.84,59.049999,59.130001,1730800,57.141797
"35",59.060001,59.66,58.5,59.389999,1401000,57.393053
"36",59.610001,60.240002,59.459999,60.09,2009200,58.069516
"37",59.029999,60.380001,58.150002,58.599998,3414500,56.629615
"38",58.380001,58.950001,57.41,58.189999,2999100,56.233401
"39",58.09,58.919998,57.66,58.700001,2225600,56.726255
"40",58.59,59,57.130001,57.380001,2397100,55.450639
"41",56.779999,57.130001,56.049999,56.939999,3584800,55.440901
"42",57.380001,57.400002,56.529999,56.84,2744900,55.343535
"43",56.869999,57.200001,56.209999,56.970001,2005700,55.470114
"44",57.209999,57.639999,56.810001,57,1236200,55.499323
"45",57,57.119999,56.27,56.799999,1356900,55.304588
"46",58.389999,58.389999,56.790001,57.93,1924500,56.404838
"47",57.73,58.689999,57.66,58.389999,1951700,56.852727
"48",58.849998,59,58.16,58.75,2358400,57.203249
"49",59.060001,59.439999,58.849998,59.220001,1444400,57.660877
"50",59.110001,59.73,59.099998,59.59,1505000,58.021134
"51",59.580002,60.16,59.52,59.830002,1445500,58.254817
"52",59.98,60.490002,59.740002,60.43,1447200,58.839019
"53",60.490002,60.740002,60.23,60.369999,1226400,58.780598
"54",60.580002,61.130001,60.459999,60.959999,1364500,59.355064
"55",60.880001,61.16,60.509998,60.66,1478300,59.062963
"56",60.630001,61.580002,60.630001,61.18,1943500,59.569273
"57",61.139999,62.189999,60.880001,62.09,2015700,60.455315
"58",62.240002,62.950001,61.889999,62.580002,1776000,60.932416
"59",62.900002,63.27,61.209999,61.82,3370600,60.192423
"60",61.900002,62.07,61.400002,61.700001,2740700,60.075584
"61",61.700001,61.830002,60.630001,60.959999,2892900,59.355064
"62",60.790001,61.369999,60.529999,61.32,1941700,59.705587
"63",62.82,62.82,61,61.290001,1292200,59.676378
"64",61.18,61.669998,60.790001,60.830002,2127800,59.22849
"65",62.709999,62.709999,60.639999,61.259998,1431800,59.647165
"66",61.07,61.299999,59.919998,60.869999,2470700,59.267434
"67",61.360001,61.700001,59.919998,61.009998,4207300,59.403747
"68",61.150002,61.25,58.790001,58.84,3891100,57.29088
