"","EFX.Open","EFX.High","EFX.Low","EFX.Close","EFX.Volume","EFX.Adjusted"
"1",72.540001,72.620003,71.949997,71.989998,411000,71.10231
"2",71.730003,72.019997,71.629997,71.769997,240800,70.885022
"3",71.639999,71.660004,71.019997,71.25,268400,70.371437
"4",71.279999,71.779999,70.870003,71.68,230900,70.796135
"5",71.57,71.870003,71.029999,71.300003,326300,70.420823
"6",71.089996,71.919998,71.050003,71.580002,230100,70.69737
"7",71.580002,71.589996,70.839996,71.519997,404400,70.638104
"8",71.559998,72.760002,71.419998,72.75,474400,71.852941
"9",72.830002,73.389999,72.410004,73.25,636400,72.346775
"10",73.220001,73.25,72.529999,72.779999,477900,71.88257
"11",72.720001,73.32,72.489998,72.510002,728500,71.615902
"12",72.209999,72.879997,71.839996,72,528900,71.112189
"13",72.07,72.389999,71.470001,72.360001,179800,71.46775
"14",72.209999,72.699997,71.959999,72.669998,854400,71.773925
"15",72.650002,73.059998,72.300003,72.540001,360700,71.645531
"16",72.830002,73,72.290001,72.360001,723000,71.46775
"17",72.389999,72.699997,72.080002,72.300003,423200,71.408493
"18",72.449997,72.949997,72.389999,72.699997,406800,71.803554
"19",72.620003,72.860001,72,72.860001,455000,71.961585
"20",72.82,72.970001,72.43,72.690002,469500,71.793683
"21",72.760002,73.300003,72.75,73.139999,4e+05,72.238131
"22",72.410004,73.660004,72,73.389999,530900,72.485049
"23",73.239998,73.379997,72.800003,73.330002,469400,72.425791
"24",73.709999,73.93,73.550003,73.610001,220000,72.702337
"25",73.610001,73.919998,73.160004,73.849998,466700,72.939375
"26",73.980003,74.190002,73.559998,73.93,284900,73.018391
"27",73.580002,74.040001,73.5,73.650002,604000,72.741845
"28",73.68,73.709999,73.220001,73.330002,619800,72.425791
"29",73.290001,73.290001,72.620003,73.089996,352700,72.188745
"30",73.639999,74.699997,73.419998,74.559998,491500,73.64062
"31",74.57,74.629997,74.230003,74.410004,415500,73.492475
"32",74.099998,76.690002,73.830002,76.610001,648300,75.665345
"33",76.489998,77,76.330002,76.779999,497100,75.833247
"34",76.709999,77.080002,76.389999,76.949997,504200,76.001149
"35",76.900002,77.25,76.599998,76.900002,638700,75.95177
"36",77.190002,77.739998,76.739998,77.190002,820100,76.238195
"37",76.82,76.970001,76.029999,76.089996,752900,75.151753
"38",76.019997,76.400002,75.199997,75.599998,550000,74.667797
"39",75.760002,75.980003,75.300003,75.889999,373100,74.954222
"40",75.639999,75.970001,75.099998,75.440002,396800,74.509774
"41",74.970001,75.260002,74.239998,74.279999,925500,73.364074
"42",74.449997,74.830002,74.110001,74.410004,535100,73.492475
"43",74.459999,75.650002,74.110001,75.610001,296000,74.677676
"44",75.730003,76.330002,75.620003,76.040001,272300,75.102374
"45",76.040001,76.489998,75.989998,76.18,338800,75.240647
"46",76.440002,76.919998,76.190002,76.839996,230600,75.892505
"47",76.949997,77.309998,76.809998,77.300003,286300,76.346839
"48",77.5,78.139999,77,77.25,520600,76.297453
"49",77.559998,78.190002,77.5,77.959999,301000,76.998697
"50",77.93,78.360001,77.919998,78.230003,262100,77.265372
"51",78.139999,78.739998,77.879997,78.57,515400,77.849963
"52",78.400002,78.660004,77.919998,78.470001,265900,77.750881
"53",78.459999,78.730003,78.129997,78.190002,278900,77.473448
"54",78.449997,78.910004,78.139999,78.779999,362300,78.058037
"55",78.980003,79.129997,78.459999,78.519997,296600,77.800418
"56",78.400002,78.400002,77.769997,78.059998,272900,77.344634
"57",77.900002,78.599998,77.639999,78.449997,238200,77.73106
"58",78.720001,79.370003,78.419998,78.760002,275200,78.038224
"59",78.93,79.309998,78.260002,78.699997,536300,77.978769
"60",78.910004,79.209999,78.709999,78.870003,266800,78.147216
"61",78.870003,79.32,78.639999,78.93,221100,78.206664
"62",78.989998,79.940002,78.830002,79.860001,361700,79.128142
"63",79.690002,79.800003,78.800003,78.809998,412200,78.087761
"64",78.75,78.75,77.959999,78.110001,384500,77.394179
"65",78.25,78.779999,78.150002,78.599998,378000,77.879687
"66",78.370003,78.709999,78.260002,78.419998,316600,77.701336
"67",78.730003,78.769997,77.830002,78.059998,365100,77.344634
"68",78.5,78.639999,77.82,78.120003,436200,77.40409
"69",78.129997,78.129997,77.580002,77.93,465100,77.215828
"70",78.029999,78.18,77.550003,77.760002,390700,77.047388
"71",78.040001,78.190002,77.650002,77.779999,343400,77.067202
"72",78.269997,78.349998,76.559998,76.769997,1120400,76.066455
"73",76.599998,76.68,75.480003,75.870003,781900,75.174709
"74",75.57,75.879997,75.239998,75.260002,403700,74.570299
"75",75.110001,75.800003,74.900002,75.449997,549500,74.758553
"76",75.300003,75.470001,73.919998,74.25,738200,73.569553
"77",74.269997,74.629997,73.809998,74.599998,918600,73.916344
"78",74.129997,74.470001,73.800003,74.309998,572400,73.629
"79",74.440002,74.989998,74.330002,74.739998,963800,74.05506
"80",74.639999,74.779999,73.110001,73.400002,496700,72.727344
"81",73.309998,73.690002,72.959999,73.360001,465700,72.687709
"82",73.720001,74.470001,73.510002,74.040001,538300,73.361478
"83",74.160004,74.529999,73.949997,74.169998,360800,73.490284
"84",73.68,73.809998,72.620003,72.650002,496200,71.984217
"85",72.93,73.889999,72.279999,73.82,455400,73.143493
"86",73.830002,73.949997,72.220001,72.300003,387700,71.637426
"87",72.43,73.059998,71.629997,71.660004,443900,71.003292
"88",71.809998,72.040001,70.599998,70.709999,599100,70.061993
"89",71.019997,71.800003,70.800003,71.220001,502800,70.567322
"90",70.279999,70.720001,69.040001,70.370003,656700,69.725113
"91",69.379997,71.949997,69.18,71.75,1088200,71.092463
"92",72.410004,73.099998,71.900002,72.879997,568300,72.212105
"93",72.5,73,72.459999,72.949997,559900,72.281463
"94",73.68,74.910004,73.330002,74.739998,744800,74.05506
"95",74.57,74.790001,73.82,73.860001,700900,73.183127
"96",74.059998,74.550003,72.620003,72.779999,1052500,72.113023
"97",72.839996,73.959999,72.459999,73.889999,983800,73.212851
"98",73.75,74.839996,73.489998,74.800003,600900,74.114515
"99",75.209999,75.760002,75.120003,75.760002,424500,75.065717
"100",75.580002,75.970001,74.410004,74.860001,576800,74.173963
"101",74.5,75.889999,74.339996,75.559998,619700,74.867545
"102",76.620003,76.68,75.370003,75.739998,569600,75.045896
"103",75.809998,76.220001,75.360001,75.949997,524000,75.25397
"104",75.860001,76.080002,75.459999,75.540001,376400,74.847732
"105",75.75,76.599998,75.540001,76.43,552500,75.729575
"106",76.690002,77.550003,76.449997,77.540001,478300,76.829403
"107",77.599998,77.769997,77.110001,77.769997,491500,77.057291
"108",77.669998,78.269997,77.57,78.260002,302500,77.542806
"109",78.25,78.650002,77.980003,78.230003,374900,77.513082
"110",78.07,78.790001,77.879997,78.650002,393300,77.929231
"111",78.650002,78.959999,78.010002,78.330002,405200,77.612164
"112",78.419998,78.589996,77.720001,78.199997,293500,77.483351
"113",77.919998,78.470001,77.650002,78.129997,347500,77.413993
"114",77.989998,79,77.699997,78.760002,545400,78.038224
"115",78.510002,78.879997,78,78.300003,541000,77.58244
"116",77.900002,78.190002,77.43,78.190002,407400,77.7216
"117",78.839996,78.940002,78.160004,78.529999,487100,78.05956
"118",78.739998,79.769997,78.160004,79.610001,638400,79.133092
"119",79.440002,79.940002,79.220001,79.669998,575000,79.19273
"120",79.93,80,79.099998,79.349998,398100,78.874647
"121",79.309998,80,79.279999,79.550003,172400,79.073454
"122",79.43,80.410004,79.080002,79.400002,701500,78.924351
"123",79.43,80,79.019997,79.989998,418200,79.510813
"124",80.349998,81.559998,80.010002,81.389999,719100,80.902427
"125",81.480003,82,80.769997,80.910004,516900,80.425307
"126",80.82,81.169998,80.790001,80.940002,573500,80.455126
"127",81.019997,81.43,80.720001,80.989998,506000,80.504822
"128",80.660004,81.410004,80.160004,81.330002,450500,80.842789
"129",81.239998,81.510002,80.339996,80.610001,638800,80.127101
"130",80.860001,81.889999,80.68,81.050003,535200,80.564468
"131",81.050003,81.25,79.610001,79.629997,705200,79.152969
"132",79.959999,80.419998,79.32,79.860001,493400,79.381594
"133",79.690002,80.809998,79.400002,79.599998,550100,79.12315
"134",79.470001,79.660004,78.339996,79.099998,1308200,78.626145
"135",79.949997,81.080002,79.68,81.040001,725400,80.554526
"136",81.32,81.32,80.75,81.059998,928000,80.574402
"137",81.25,81.889999,80.989998,81.330002,414900,80.842789
"138",81.410004,82.419998,81.349998,81.940002,408700,81.449136
"139",82.07,82.440002,81.75,82.150002,116000,81.657877
"140",82.360001,82.629997,81.900002,81.93,144600,81.439193
"141",81.68,82.040001,81.489998,81.760002,228400,81.270214
"142",81.540001,81.790001,81.419998,81.559998,255400,81.071407
"143",81.559998,81.82,80.860001,80.870003,519000,80.385546
"144",81.370003,81.75,80.610001,81.32,428700,80.832847
"145",80.720001,81.129997,80.459999,80.639999,699800,80.15692
"146",80.519997,80.970001,79.620003,80,633100,79.520755
"147",80.459999,81.480003,80.169998,81.349998,385800,80.862666
"148",81.800003,83.32,81.540001,83.089996,655600,82.59224
"149",83.339996,83.379997,82.699997,82.739998,529700,82.244339
"150",82.940002,82.989998,82.360001,82.620003,463900,82.125062
"151",83.169998,84.110001,82.419998,83.150002,474600,82.651886
"152",82.410004,83.029999,82.190002,82.980003,427100,82.482906
"153",83.139999,83.519997,82.370003,82.690002,463500,82.194643
"154",82.589996,83.360001,82.120003,83.32,744600,82.820866
"155",83.550003,83.949997,82.339996,83.599998,556200,83.099187
"156",83.599998,84.510002,83.440002,84.410004,496800,83.90434
"157",84.669998,85.660004,84.370003,85.660004,454700,85.146852
"158",85.400002,85.889999,85.239998,85.239998,329500,84.729362
"159",85.190002,85.470001,84.550003,85.18,614900,84.669724
"160",84.480003,85.940002,84.230003,85.43,628200,84.918226
